#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/32,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.95;4;None/0,ParkPod/0,RepositionPod/0,Insert/9,Extract/21,Rest/2
119.96;18;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/17,Rest/2
179.78;14;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/19,Rest/0
239.71;13;None/0,ParkPod/8,RepositionPod/0,Insert/6,Extract/18,Rest/0
299.92;12;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/19,Rest/1
359.93;14;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/20,Rest/0
419.96;15;None/0,ParkPod/9,RepositionPod/0,Insert/5,Extract/18,Rest/0
480;13;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/17,Rest/0
539.94;10;None/0,ParkPod/9,RepositionPod/0,Insert/5,Extract/18,Rest/0
599.94;10;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/18,Rest/0
659.97;15;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/19,Rest/0
719.77;13;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/21,Rest/0
779.87;13;None/0,ParkPod/9,RepositionPod/0,Insert/6,Extract/17,Rest/0
839.9;12;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/19,Rest/0
900;16;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/19,Rest/0
959.96;15;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/21,Rest/0
1019.92;15;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/18,Rest/0
1079.97;12;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/19,Rest/0
1139.66;12;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/20,Rest/0
1199.89;14;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/19,Rest/0
1259.64;14;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/19,Rest/0
1319.82;13;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/20,Rest/0
1379.68;13;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/19,Rest/0
1439.95;15;None/0,ParkPod/8,RepositionPod/0,Insert/5,Extract/19,Rest/0
1499.94;13;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/19,Rest/0
1559.6;14;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/20,Rest/0
1619.91;12;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/20,Rest/0
