#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.33
59.96;200;200;59.92;51.64;59.96;59.96;0.29;0.31
119.96;200;200;78.51;65.01;119.96;119.96;0.31;0.42
179.99;200;200;125.5;75.14;179.99;163.66;0.31;0.42
239.88;200;200;107.59;68.4;239.88;200.22;0.33;0.43
299.87;200;200;120.94;42.26;299.87;270.84;0.31;0.35
359.91;200;200;126.15;38.76;359.91;285.53;0.32;0.42
420;200;200;113.87;47.69;419.98;328.74;0.32;0.45
480;200;200;121.82;50.03;479.98;364.82;0.31;0.4
539.62;200;200;138.33;43.09;539.59;342.36;0.3;0.44
599.65;200;200;135.1;41.13;587.44;461.96;0.33;0.49
659.76;200;200;149.48;53.02;634.02;545.83;0.32;0.42
719.97;200;200;132.43;66.66;649.24;570.33;0.32;0.38
779.97;200;200;120.22;42.55;661.22;503.38;0.32;0.38
839.98;200;200;148.02;39.89;685.92;615.63;0.28;0.43
899.82;200;200;135.85;37.57;670.09;525.81;0.29;0.38
959.98;200;200;168.6;46.82;700.25;467.17;0.29;0.38
1019.94;200;200;168.22;47.07;698.21;605.9;0.34;0.33
1080;200;200;195.42;52.47;725.18;814.12;0.35;0.34
1139.62;200;200;171.51;64.38;714.41;720.18;0.36;0.32
1199.91;200;200;187.32;51.05;739.06;674.23;0.33;0.31
1259.99;200;200;189.1;52.95;744.3;971.62;0.34;0.33
1319.9;200;200;239.22;52.99;790.36;824.63;0.33;0.33
1379.96;200;200;232.84;43.23;791.4;769.62;0.35;0.3
1440;200;200;214.81;50.17;787.92;633.29;0.33;0.37
1499.99;200;200;215.83;46.06;801.4;430.08;0.32;0.39
1560;200;200;232.96;53.17;816.78;803.1;0.35;0.37
1619.88;200;200;222.46;46.33;805.7;798.24;0.34;0.38
1680;200;200;237.31;52.28;810.23;807.32;0.35;0.38
1739.68;200;200;267.22;43.63;830.72;919.79;0.35;0.32
1799.83;200;200;265.79;60.09;819.59;1009.92;0.35;0.26
1859.89;200;200;295.72;57.09;849.23;919.56;0.33;0.38
1919.9;200;200;336.32;53.13;891.88;751.77;0.32;0.34
1979.98;200;200;354.24;45.32;912.5;912.43;0.31;0.35
2039.98;200;200;300.42;43.89;863;1044.44;0.31;0.36
2099.98;200;200;316.81;48.96;878.89;1013.63;0.31;0.36
2159.92;200;200;317.68;65.91;884.76;1227.51;0.32;0.36
2219.86;200;200;347.97;49.68;922.61;1108.54;0.3;0.29
2279.96;200;200;384.86;52.16;963.44;834.59;0.32;0.38
2339.95;200;200;280.1;57.71;876.23;709.14;0.32;0.35
2399.91;200;200;287.78;54.49;895.02;795.78;0.34;0.4
2459.65;200;200;333.09;48.21;940.84;941.82;0.35;0.31
2519.96;200;200;326.23;49.91;927.81;985;0.33;0.29
2579.93;200;200;339.6;53.27;933.09;792.5;0.29;0.32
2639.98;200;200;352.96;72.38;942.59;1014.75;0.3;0.31
2700;200;200;339.17;69.64;931.18;1128.04;0.32;0.28
2759.94;200;200;385.32;56.2;974.17;885.21;0.34;0.42
2819.94;200;200;370.66;63.29;958.26;1000.47;0.36;0.34
2879.83;200;200;441.72;47.64;1028.48;882.67;0.35;0.3
2939.81;200;200;316.85;47.78;911.63;873.26;0.36;0.31
2999.97;200;200;270.32;55.56;864.16;626.01;0.36;0.32
3059.73;200;200;291.09;51.9;885.53;618.43;0.34;0.39
3119.7;200;200;296.68;39.98;897.77;772.55;0.34;0.4
3179.89;200;200;292.28;53.4;893.76;915.98;0.33;0.32
3240;200;200;256.99;54.22;860.47;953.92;0.34;0.34
3299.98;200;200;278.29;53.84;883.78;926.38;0.33;0.35
3359.98;200;200;295.14;41.16;905.32;758.75;0.33;0.3
3419.74;200;200;278.8;54.61;896.31;1200.93;0.31;0.32
3479.98;200;200;298.81;46.98;920.96;1261.65;0.32;0.27
3539.98;200;200;352.74;42.87;976.25;998.63;0.32;0.32
3599.88;200;200;361.5;57.4;989.63;760.32;0.34;0.41
3659.85;200;200;352.34;42.06;987.26;1100.6;0.35;0.38
3719.96;200;200;396.19;53.35;1031.64;732.84;0.33;0.41
3779.87;200;200;389.3;46.4;1029.85;681.35;0.32;0.4
3839.85;200;200;409.77;70.67;1052.99;830.94;0.32;0.27
3899.96;200;200;450.17;52.68;1094.63;1129.97;0.32;0.21
3959.87;200;200;523.7;60.58;1165.9;872.58;0.31;0.27
4019.91;200;200;475.87;36.54;1128.3;787.52;0.29;0.35
4079.94;200;200;410.38;48.47;1073.87;684.16;0.32;0.4
4139.9;200;200;296.76;45.98;964.97;801.18;0.33;0.33
4199.95;200;200;305.85;42.24;970.9;1009.78;0.35;0.3
4259.8;200;200;308.95;34.62;968.83;1038;0.34;0.29
4319.93;200;200;316.86;51.92;976.38;963.59;0.34;0.29
4379.82;200;200;347.77;58.22;1007.69;893.62;0.34;0.31
4439.99;198;200;385.01;50.74;1045.26;1557.15;0.32;0.34
4499.96;179;200;341.41;45.25;1007.81;1451.93;0.28;0.29
4559.77;163;200;355.06;54.38;1024.52;1227.11;0.29;0.39
4619.97;140;200;366.16;45.15;1034;978.22;0.28;0.35
4679.95;113;200;279.17;51.79;939.26;901.25;0.27;0.38
4739.75;103;200;322.93;61.34;977.56;927.24;0.28;0.24
4799.78;82;200;342.86;57.99;997.44;726.57;0.32;0.38
4859.93;68;200;391.34;44.14;1052.42;1093.13;0.35;0.33
4919.76;53;200;423.13;48.11;1085.79;1024.97;0.33;0.36
4979.72;40;200;443.39;53.05;1106.62;1091.37;0.31;0.25
5039.96;17;200;423.15;50.57;1096.45;1252.64;0.31;0.3
5100;1;200;437.58;70.41;1109.39;1301.84;0.31;0.24
5159.93;1;200;576.29;65.12;1244.24;1694.95;0.33;0.31
5219.96;1;200;637.35;48.79;1304.19;1034.55;0.35;0.39
5279.86;1;200;815.4;47.08;1477.59;1262.67;0.3;0.32
5339.98;1;200;833.66;44.81;1502.83;793.42;0.31;0.34
5399.97;1;200;1015.45;58.67;1682.8;796.05;0.35;0.36
5459.81;1;200;565.58;59.94;1226.07;612.91;0.51;0.38
5519.8;1;200;0;43.33;0;940.79;0;0.34
5579.98;1;200;0;54.95;0;1259.32;0;0.28
5639.85;0;200;11.9;54.32;1212.28;996.71;0.14;0.26
5699.9;0;200;71.94;54.53;1272.32;1129.93;0.14;0.28
5760;0;200;0;54.54;0;1087.06;0;0.3
5819.99;0;200;0;53.84;0;918.8;0;0.29
5879.94;0;200;0;75.59;0;1559.5;0;0.27
5939.96;0;200;0;40.14;0;1058.54;0;0.3
