#TimeStamp;Bot;Pod;OutputStation
32.2;4;473;3
33.46;13;779;2
36.65;0;778;1
42.66;10;626;0
46.68;0;778;1
49.77;28;474;2
54.09;6;63;3
56.73;0;778;1
60.85;5;232;0
64.08;6;63;3
66.78;3;358;1
70.89;5;232;0
72.92;27;401;2
74.17;6;63;3
76.83;3;358;1
80.94;5;232;0
82.76;27;401;2
84.21;6;63;3
86.94;18;215;1
91.09;5;232;0
93.1;14;549;2
94.38;6;63;3
97.09;18;215;1
101.28;8;409;0
103.15;14;549;2
104.84;11;326;3
107.14;18;215;1
111.24;8;409;0
113.6;14;549;2
114.88;11;326;3
117.18;18;215;1
121.59;8;409;0
123.68;14;549;2
124.87;11;326;3
127.24;23;177;1
131.82;8;409;0
133.82;14;549;2
134.95;11;326;3
137.37;23;177;1
141.99;8;409;0
143.87;14;549;2
144.67;11;326;3
147.66;23;177;1
151.95;29;564;0
153.92;7;387;2
154.92;25;6;3
157.92;23;177;1
161.92;29;564;0
164.05;7;387;2
164.92;25;6;3
168.01;23;177;1
171.64;29;564;0
174.17;7;387;2
174.88;25;6;3
178.08;23;177;1
182.03;29;564;0
183.96;7;387;2
184.99;25;6;3
188.07;24;468;1
192.11;16;201;0
194.2;7;387;2
195.03;17;247;3
198.17;24;468;1
202.16;16;201;0
204.11;13;293;2
205.08;17;247;3
208.38;24;468;1
212.21;16;201;0
214.29;13;293;2
215.12;17;247;3
218.51;24;468;1
222.3;10;36;0
224.34;13;293;2
225.17;4;424;3
230.87;0;184;1
232.24;10;36;0
234.38;27;486;2
235.21;4;424;3
240.75;0;184;1
242.43;10;36;0
244.43;27;486;2
245.11;4;424;3
251.06;0;184;1
252.75;10;36;0
254.48;28;89;2
255.11;4;424;3
261.41;0;184;1
262.98;5;391;0
264.54;28;89;2
265.32;4;424;3
271.46;0;184;1
273.03;5;391;0
274.58;14;289;2
275.46;6;514;3
281.5;0;184;1
282.95;5;391;0
284.7;14;289;2
285.56;6;514;3
291.54;0;184;1
293.07;5;391;0
294.74;14;289;2
295.55;6;514;3
301.65;18;357;1
303.02;5;391;0
304.63;14;289;2
305.57;11;196;3
312.07;18;357;1
313.12;8;405;0
314.54;7;513;2
315.62;11;196;3
322.12;18;357;1
323.2;8;405;0
324.78;7;513;2
328.51;17;599;3
332.51;18;357;1
333.25;29;290;0
334.83;7;513;2
338.68;25;51;3
342.6;18;357;1
343.29;29;290;0
344.84;7;513;2
348.72;25;51;3
352.64;18;357;1
353.34;29;290;0
354.89;7;513;2
358.97;25;51;3
362.69;18;357;1
363.18;29;290;0
364.92;13;181;2
369.05;25;51;3
372.77;18;357;1
373.4;29;290;0
375.01;13;181;2
378.98;4;0;3
382.81;3;140;1
383.68;29;290;0
384.99;13;181;2
389.13;4;0;3
392.85;3;140;1
393.74;10;496;0
395.06;13;181;2
399.18;4;0;3
403.48;10;496;0
405.11;13;181;2
409.01;4;0;3
413.43;10;496;0
415.31;13;181;2
418.05;24;502;1
419.23;17;342;3
423.79;16;218;0
425.6;27;422;2
428.29;0;352;1
429.5;17;342;3
433.78;16;218;0
435.66;27;422;2
438.58;0;352;1
439.87;17;342;3
443.83;16;218;0
445.73;28;65;2
448.73;0;352;1
449.95;17;342;3
453.82;16;218;0
455.73;28;65;2
458.79;23;510;1
460.01;17;342;3
463.88;16;218;0
465.78;28;65;2
468.88;23;510;1
470.13;17;342;3
473.92;16;218;0
476.2;28;65;2
478.91;23;510;1
480.18;17;342;3
484;16;218;0
486.62;7;277;2
489.93;6;41;3
494.19;16;218;0
496.74;7;277;2
497.97;24;174;1
500.22;6;41;3
504.23;16;218;0
506.78;14;407;2
508.04;24;174;1
510.64;6;41;3
514.21;5;541;0
517;14;407;2
520.74;6;41;3
522.83;18;514;1
524.44;5;541;0
526.92;14;407;2
530.87;6;41;3
534.52;5;541;0
537.04;14;407;2
540.92;6;41;3
544.62;29;340;0
547.08;13;435;2
550.96;6;41;3
554.86;29;340;0
557.39;13;435;2
561.25;6;41;3
565.31;8;530;0
567.56;13;435;2
571.38;6;41;3
575.28;8;530;0
577.24;13;435;2
579.36;3;775;1
581.42;11;693;3
585.3;10;295;0
587.6;13;435;2
589.4;3;775;1
591.48;11;693;3
595.46;10;295;0
597.65;13;435;2
599.6;3;775;1
601.6;11;693;3
605.58;10;295;0
608.07;13;435;2
609.65;3;775;1
611.66;11;693;3
615.25;10;295;0
618;27;525;2
619.44;3;775;1
621.7;25;361;3
625.62;10;295;0
628.17;27;525;2
629.69;3;775;1
631.74;25;361;3
635.95;10;295;0
638.21;27;525;2
639.74;0;89;1
641.61;25;361;3
646.21;16;118;0
648.25;27;525;2
650;0;89;1
651.78;4;49;3
656.39;5;387;0
658.3;28;50;2
660.29;0;89;1
661.85;4;49;3
666.63;5;387;0
668.49;28;50;2
670.3;0;89;1
672.27;17;699;3
676.79;5;387;0
678.53;28;50;2
682.29;17;699;3
686.72;5;387;0
688.88;28;50;2
692.06;17;699;3
695.43;18;338;1
698.93;28;50;2
702.08;17;699;3
705.47;18;338;1
708.89;28;50;2
711.51;8;66;0
712.34;17;699;3
715.48;18;338;1
719.03;7;433;2
721.52;8;66;0
722.39;17;699;3
725.52;18;338;1
729.07;7;433;2
731.42;8;66;0
732.68;6;196;3
735.57;24;625;1
739.14;14;766;2
741.33;8;66;0
742.94;11;167;3
745.63;24;625;1
749.21;14;766;2
751.54;29;446;0
753.01;11;167;3
755.71;23;527;1
759.25;14;766;2
761.59;10;115;0
763.05;25;194;3
765.63;23;527;1
769.18;13;121;2
771.75;16;326;0
773.16;25;194;3
775.76;23;527;1
779.41;13;121;2
781.85;16;326;0
783.14;25;194;3
785.76;23;527;1
789.54;13;121;2
791.79;5;567;0
793.2;25;194;3
795.78;23;527;1
799.88;13;121;2
801.9;5;567;0
803.04;25;194;3
805.83;23;527;1
809.59;13;121;2
812.32;5;567;0
813.23;4;639;3
816.23;3;139;1
819.93;27;285;2
822.35;5;567;0
823.32;4;639;3
826.27;3;139;1
833.04;8;391;0
833.36;17;0;3
836.27;7;205;2
836.32;3;139;1
843.27;8;391;0
843.48;17;0;3
846.3;7;205;2
846.35;3;139;1
853.27;8;391;0
856.29;7;205;2
856.39;0;302;1
857.44;6;616;3
863.85;29;264;0
866.35;14;657;2
866.52;0;302;1
867.76;6;616;3
873.89;29;264;0
876.45;14;657;2
876.58;0;302;1
877.54;6;616;3
883.98;29;264;0
886.5;28;429;2
886.61;0;302;1
887.7;6;616;3
896.61;18;617;1
896.61;28;429;2
897.89;6;616;3
901.21;5;404;0
906.66;18;617;1
906.66;28;429;2
908.08;6;616;3
911.26;5;404;0
916.7;13;694;2
918.09;11;648;3
918.17;23;196;1
921.48;5;404;0
927;13;694;2
928.17;23;196;1
928.17;11;648;3
931.39;5;404;0
937.43;13;694;2
938.22;24;338;1
941.53;16;525;0
947.89;13;694;2
948.26;24;338;1
951.67;16;525;0
952.35;17;419;3
957.94;13;694;2
958.19;24;338;1
962.11;10;431;0
962.4;17;419;3
968.1;13;694;2
968.28;24;338;1
972.4;10;431;0
972.44;25;476;3
978.2;3;135;1
978.2;13;694;2
982.06;10;431;0
982.53;25;476;3
988.12;3;135;1
988.32;13;694;2
992.44;8;367;0
992.54;25;476;3
998.36;13;694;2
1000.44;18;148;1
1002.5;8;367;0
1002.62;25;476;3
1008.35;13;694;2
1010.48;18;148;1
1012.39;8;367;0
1012.8;25;476;3
1020.43;0;62;1
1022.52;8;367;0
1022.77;6;563;3
1025.35;7;473;2
1030.84;0;62;1
1032.56;8;367;0
1032.84;6;563;3
1035.43;7;473;2
1042.62;8;367;0
1042.97;6;563;3
1045.49;7;473;2
1048.85;23;348;1
1052.73;29;645;0
1053.27;6;563;3
1055.6;14;285;2
1058.74;23;348;1
1062.74;5;69;0
1063.31;4;733;3
1065.69;14;285;2
1068.9;23;348;1
1072.78;5;69;0
1073.45;4;733;3
1075.58;27;618;2
1078.94;23;348;1
1082.94;5;69;0
1083.71;11;336;3
1085.7;27;618;2
1088.98;23;348;1
1092.99;5;69;0
1093.76;11;336;3
1095.68;27;618;2
1099.02;23;348;1
1103.03;5;69;0
1104.03;11;336;3
1105.75;28;629;2
1109.09;18;358;1
1113.1;10;98;0
1115.82;17;135;3
1116.08;28;629;2
1118.9;18;358;1
1123.23;10;98;0
1129.15;18;358;1
1133.09;10;98;0
1138.07;13;699;2
1139.32;24;388;1
1143.25;16;386;0
1148.38;13;699;2
1149.38;24;388;1
1150.62;25;28;3
1153.29;16;386;0
1158.48;13;699;2
1159.56;24;388;1
1160.66;25;28;3
1163.34;16;386;0
1168.51;13;699;2
1169.6;0;625;1
1170.43;25;28;3
1173.29;16;386;0
1178.54;27;387;2
1179.65;3;739;1
1180.78;25;28;3
1183.51;16;386;0
1188.59;7;538;2
1189.69;3;739;1
1190.88;6;293;3
1193.59;5;9;0
1198.87;7;538;2
1199.67;3;739;1
1201.16;6;293;3
1203.74;8;260;0
1208.88;7;538;2
1209.74;3;739;1
1211.55;6;293;3
1213.97;8;260;0
1218.89;14;351;2
1221.59;4;182;3
1224.19;8;260;0
1226.78;23;766;1
1228.94;14;351;2
1231.77;4;182;3
1236.78;23;766;1
1238.82;14;351;2
1241.77;4;182;3
1246.86;23;766;1
1248.98;13;699;2
1251.96;4;182;3
1256.86;23;766;1
1259.1;13;699;2
1261.87;11;727;3
1266.87;24;532;1
1268.9;13;699;2
1271.96;25;193;3
1275.24;29;97;0
1277;18;65;1
1278.96;28;4;2
1281.96;25;193;3
1285.04;29;97;0
