#TimeStamp;DistanceTraveled
59.96;1325.08
119.94;750.78
179.88;267.17
239.99;286.71
299.97;368.31
359.94;343.2
419.67;329.17
479.96;635.81
539.97;404.5
599.97;356.45
659.85;529.84
719.87;232.53
779.64;533.56
839.85;391.95
899.83;424.09
959.97;389.89
1019.64;403.7
1079.85;422.47
1139.58;540.62
1199.75;500.72
1259.92;514.34
1319.96;375.41
1379.98;525.2
1440;550.54
1499.98;371.63
1559.96;489.58
1619.78;437.9
1679.98;431.81
1739.61;594.26
1799.93;528.17
1859.99;451.5
1919.91;457.26
1979.83;579.26
2039.94;407.48
2099.98;532.31
2159.76;383.36
2219.6;397.03
2279.96;526.54
2339.98;576.8
2399.99;497.17
2459.91;460.31
2519.78;550.68
2579.98;628.28
2639.75;566.31
2699.73;517.59
2759.96;475.29
2819.8;492.31
2879.94;541.81
2939.92;623.93
2999.85;523.69
3059.96;409.23
3119.99;517.96
3179.91;599.46
3239.93;692.96
3299.96;534.34
3359.87;502.2
3419.99;528.68
3479.99;593.31
3539.99;621.42
3599.83;517.9
3660;440.8
3719.73;499.35
3779.88;488.1
3839.98;598.5
3899.88;572.32
3959.93;528.71
4019.97;598.14
4079.97;588.91
4139.9;567.98
4199.96;681.42
4259.98;627.4
4320;395.89
4379.9;514.52
4439.81;574.51
4500;476.44
4559.78;649.46
4619.99;576.79
4679.97;506.13
4739.97;543.19
4799.97;498.5
4859.95;568.74
4919.83;541.56
4979.8;539.77
5039.94;518.76
5099.88;444.79
5159.8;463.41
5219.97;509.76
5279.97;646.79
5339.91;555.79
5399.99;500
5459.97;570.67
5519.96;548.45
5579.88;641.41
5639.97;605.29
5699.89;505.74
5759.98;368.24
5819.87;577.68
5879.88;653.71
5939.85;675.35
5999.82;634.94
6059.79;517.67
6119.92;541.53
6179.63;574.21
6239.61;655.78
6299.72;452.12
6359.86;443.37
6419.96;675.84
6479.81;703.07
6540;704.17
6599.78;653.73
6659.98;616.15
6719.99;415.05
6779.94;657.74
6839.75;458.27
6899.99;578.23
6959.94;483.76
7019.59;478.07
7079.84;604.43
7139.87;571.86
7199.78;443.16
7259.95;488.14
7319.96;628.68
7379.96;587.22
7439.86;594.46
7499.65;544.46
7559.92;564
7619.71;388.16
7679.82;541.49
7739.93;549.99
7799.63;497.87
7859.94;604.81
7919.97;526.43
7979.93;625.34
8039.88;694.92
8099.83;428.05
8159.98;482.67
8219.8;452.4
8279.67;469.08
8339.95;689.95
8399.87;618.37
8459.93;438.68
8519.98;596.58
8579.8;468.4
8639.68;530.6
8700;724.65
8759.93;546.63
8819.62;595.62
8879.99;580.94
8939.9;713.45
9000;548.12
9059.74;495.52
9119.93;644.79
9179.78;605.69
9239.91;393.43
9299.61;667.07
9359.87;465.53
9419.9;439.9
9479.64;644.95
9539.94;675.06
9599.82;731.93
9659.83;576.38
9719.9;615.18
9779.87;499.34
9839.64;458.08
9899.93;659.84
9959.99;548.25
10019.79;502.85
10079.96;569.69
10139.71;526.88
10199.89;577.88
10259.71;494.14
10319.91;538.9
10379.92;544.86
10439.65;516.44
10499.84;414.14
10559.96;575.23
10619.7;498.12
10679.88;471.01
10739.94;525.58
10799.87;597.44
10859.98;608.7
10919.99;587.48
10979.97;588.17
11039.98;371.58
11099.97;524.72
11159.62;579.21
11219.91;570.28
11279.99;412.85
11339.96;447.41
11399.81;530.22
11460;605.74
11519.69;566.91
11579.72;563.45
11639.98;461.12
11699.61;545.32
11759.95;571.12
11819.99;761.65
11879.96;535.15
11939.96;482.51
11999.77;527.2
12059.95;528.57
12120;543.37
12179.99;636.28
12239.96;392.48
12299.89;389.18
12359.98;461.21
12419.99;542.49
12479.98;688.09
12540;692.29
12599.95;437.34
12659.94;499.5
12719.82;510.07
12779.8;806.16
12839.95;654.95
12900;514.65
12959.85;415.72
13019.73;526.55
13079.9;615.23
13139.99;716.78
13199.99;551.89
13259.94;523.62
13319.63;423.73
13379.99;698.03
13439.88;582.75
13499.96;493.78
13559.89;540.75
13619.68;387.88
13679.97;592.54
13739.73;626.64
13799.83;658.19
13859.79;616.5
13919.77;561.9
13979.96;509.38
14039.98;625.11
14099.94;653.74
14159.74;526.38
14219.85;520.28
14279.73;340.44
14339.91;549.1
14399.88;585.08
14459.98;606.97
14519.96;574.05
14579.63;485.28
14640;393.71
14699.77;748.99
14759.71;734.2
14819.89;441.2
14879.96;456.95
14939.64;490.25
14999.95;561.85
15059.9;647.56
15119.73;591.01
15179.91;539.09
15239.75;578.14
15299.99;528.04
15359.9;579.22
15419.88;558.67
15479.99;526.18
15539.82;461.63
15599.7;538.48
15659.97;570.59
15719.93;600.59
15779.92;550.04
15840;456.91
15899.85;461.8
15959.99;619.03
16019.72;607.49
16079.64;579.06
16139.98;452.94
16199.89;452.72
16259.71;525.21
16319.74;664.69
16379.93;521.23
16439.97;453.92
16499.72;359.73
16559.98;416.38
16619.83;606.97
16679.96;697.84
16739.85;415.45
16799.71;385.02
16859.95;386.54
16919.76;607.14
16979.99;688.31
17039.95;752.95
17099.82;417.14
17159.97;521.86
17219.86;551.65
17279.71;698.46
17339.99;693.55
17399.97;553.59
17459.91;448.33
17519.98;487.98
17579.95;611.74
17639.98;652.12
17699.98;562.7
17759.85;451
17819.74;402.18
17879.84;622.35
17939.64;813.64
17999.92;538.2
18059.77;355.08
18119.86;483.8
18179.88;511.85
18239.99;567.5
18299.61;624.64
18359.79;539.57
18419.96;482.5
18479.9;565.54
18539.84;587.69
18599.96;545.05
18659.97;456.01
18719.9;526.16
18779.68;585.36
18839.8;648.34
18899.92;606.3
18959.63;613.7
19019.97;449.64
19079.98;593.08
19139.81;583.65
19199.97;566.97
19259.75;607.38
19319.99;553.09
19379.99;474.18
19439.77;455.25
19499.73;523.62
19560;550.29
19619.98;490.35
19679.88;582.95
19739.95;434.05
19799.99;593.32
19859.84;611.05
19919.92;652.04
19979.99;455.28
20039.93;503.69
20099.84;488.77
20159.77;739.05
20219.99;526.71
20279.96;383.22
20339.76;545.35
20399.67;606.27
20459.89;592.11
20519.93;683.42
20579.89;574.93
20639.96;460.66
20699.74;643.86
20759.88;526.97
20819.85;404.27
20879.75;532.26
20939.98;494.72
20999.81;513.47
21059.92;801.45
21119.91;664.23
21179.97;442.46
21239.93;465.2
21299.98;281.86
21359.96;549.38
21419.89;645.13
21480;568.91
21539.9;525.49
21599.92;563.18
21660;714.77
21719.76;710.3
21779.88;625.86
21839.68;516.88
21899.91;533.94
21959.87;376.8
22019.9;555.64
22079.8;706.08
22139.98;549.35
22199.91;467.63
22259.79;476.25
22319.74;676.41
22379.92;523.95
22439.93;638.47
22499.97;666.71
22559.89;426.34
22619.97;471.4
22679.77;605.34
22739.79;708.99
22799.67;429.55
22859.7;394.5
22919.7;602.64
22979.96;555.89
23039.82;568.52
23099.99;537.98
23159.84;630.53
23219.85;573.01
23279.71;531
23339.92;721.52
23399.85;658.68
23459.98;482.21
23519.99;429.53
23579.98;510.43
23639.99;678.01
23699.72;585.27
23759.9;485.3
23819.71;471.59
23879.71;538.87
23939.64;627.05
23999.83;601.42
24059.97;588.47
24119.87;446.39
24179.91;533.29
24239.9;549.38
24299.98;533.09
24359.99;604.83
24419.92;545.99
24479.99;393.9
24539.83;382.87
24599.66;587.57
24660;601.22
24719.8;408.96
24779.81;474
24839.69;323.84
24899.97;468.4
24959.91;547.01
25019.96;682.51
25079.69;628.94
25139.81;434.11
25199.92;485.05
25259.88;572.86
25319.78;501.21
25379.99;492.85
25439.87;614.57
25499.95;509.95
25559.99;580.99
25619.98;601.25
25679.79;548.41
25739.7;353.7
25799.97;394.15
25859.88;509.23
25919.94;701.96
25979.96;613.92
26039.96;481.67
26099.95;382.9
26159.97;665.6
26219.65;627.64
26279.92;572.93
26339.87;366.63
26399.75;455.45
26459.74;525.52
26519.82;794.29
26579.7;593.05
26639.96;367.05
26700;539.63
26759.89;517
26819.99;626.76
26879.97;779.38
26939.99;594.14
26999.88;515.75
27059.7;483.57
27119.72;640.26
27179.98;516.85
27239.98;434.57
27299.87;488.53
27359.98;507.36
27419.88;676.95
27479.84;743.3
27539.98;647.23
27599.8;429.67
27659.98;433.13
27719.95;553.62
27779.92;637.63
27840;636.5
27899.97;482.46
27959.8;289.59
28019.98;589.02
28079.85;678.66
28139.97;614.79
28199.92;511.22
28259.77;470.76
28319.97;612.98
28379.89;649.34
28439.91;753.07
28500;459.72
28559.98;400.94
28619.97;554.04
28679.97;649.67
28739.98;543.04
28799.74;471.77
