#TimeStamp;Runtime;Requests
0.88;0.07;35
1.88;0.05;4
2.88;0.01;2
3.88;0.01;5
4.93;0.01;3
6.06;0.01;2
7.17;0.01;1
8.32;0.01;2
9.43;0.01;1
10.44;0.01;2
11.57;0;2
12.64;0;2
13.66;0.01;5
14.84;0.01;5
15.89;0.01;1
17.29;0.01;1
18.33;0.01;5
19.34;0.01;2
20.35;0.01;2
21.39;0.14;5
22.43;0.06;4
23.44;0.14;3
24.45;0.03;4
25.45;0.17;2
26.47;0.42;3
27.52;0.29;3
28.56;0.64;2
29.56;0.04;2
31.94;0.02;1
32.98;1;3
33.99;1;1
35.12;0.01;1
36.21;0.09;4
37.21;0.06;4
38.29;0.07;1
39.33;0.05;2
40.47;0.05;2
41.51;0.11;2
42.54;0.2;2
43.55;0.33;2
44.59;0.01;3
45.59;0.01;2
46.6;0.01;3
47.64;0.01;3
48.64;0.01;4
49.68;0.01;3
50.71;0.01;2
51.75;0.01;3
52.84;0.01;4
53.86;0.01;3
54.86;0.01;3
55.89;0.01;3
56.89;0.01;2
57.9;0.01;2
58.9;0.01;1
60.27;0.01;1
61.41;0.01;1
62.48;0.01;2
63.66;0.01;3
64.77;0;1
66.41;0.01;1
71.44;0;1
74.29;0.01;1
75.32;0.01;1
78.36;0;1
79.61;0.01;1
82.23;0.01;1
83.27;0.01;2
89.59;0;1
92.05;0;1
93.05;0;2
95.72;0;1
96.72;0;2
98.64;0.01;1
99.73;0.01;1
101.53;0;1
102.87;0;1
103.92;0;1
104.97;0;1
105.99;0;2
107.14;0;1
108.36;0;1
111.04;0;1
112.9;0;1
113.91;0;1
114.95;0;1
117.78;0;1
118.91;0.01;1
122.17;0.01;1
123.2;0.01;2
124.2;0.01;1
125.24;0.01;2
126.29;0.01;1
128.61;0.01;1
135.49;0;1
136.65;0;1
138.5;0;1
139.52;0;1
140.52;0;3
141.56;0.01;1
142.58;0.03;4
143.62;0.02;2
144.67;0.02;2
145.71;0.02;1
146.71;0.02;1
147.76;0.01;1
152.64;0.01;1
157.76;0.01;1
160.43;0;1
161.56;0;1
162.96;0;1
163.99;0;1
164.99;0;1
165.99;0;1
168.11;0;1
170.94;0;1
172.5;0;1
173.59;0;1
174.63;0;1
175.67;0;1
179.75;0;1
180.79;0;1
181.79;0;1
182.79;0;1
183.79;0;2
184.88;0;2
185.93;0;2
186.97;0;1
188.01;0;2
189.06;0;2
190.09;0.01;3
191.29;0;1
192.54;0;1
195.27;0.02;1
196.28;0;1
198.34;0.01;1
199.46;0.01;1
201.74;0.01;1
202.76;0.01;2
203.78;0.01;1
204.86;0.01;2
205.89;0.01;1
207.19;0;1
208.6;0;2
209.63;0;1
210.68;0;2
211.9;0;2
212.92;0;1
214.02;0;1
215.43;0;2
216.65;0;1
217.68;0;3
220.31;0.01;1
221.56;0.01;1
222.64;0.01;1
224.04;0.01;3
225.14;0.01;1
227.86;0.01;1
231.38;0.01;1
232.38;0.01;1
233.38;0.01;3
234.41;0.01;2
235.41;0.01;2
236.45;0.01;1
237.49;0.01;2
238.63;0.01;2
239.67;0.01;1
246.7;0.01;1
247.74;0.01;1
248.91;0.01;1
250.83;0.01;1
252.04;0;1
253.08;0.01;2
254.12;0.01;2
255.14;0.01;3
256.21;0.01;2
257.23;0.01;2
258.39;0.01;1
259.54;0.01;1
260.61;0.01;1
261.99;0.01;1
263.11;0.01;1
264.41;0.01;1
268.62;0.01;1
269.63;0.01;1
272.5;0;1
273.67;0;2
274.67;0;1
275.67;0;2
276.7;0;1
277.71;0;2
278.71;0.01;2
279.75;0.01;2
280.76;0;2
282.37;0;1
288.21;0;1
289.26;0;2
290.26;0;1
291.3;0;1
292.32;0;1
293.34;0;1
298.73;0;1
299.73;0;2
300.73;0;2
301.78;0;2
302.79;0;2
303.83;0;2
304.88;0;3
305.92;0;1
306.94;0;1
307.98;0;2
309.02;0;1
310.02;0;2
311.11;0;1
312.16;0;1
313.2;0;2
314.21;0;2
315.21;0;1
316.26;0.01;2
317.29;0;2
318.31;0.01;1
319.34;0;1
321.29;0.01;1
322.32;0.01;1
323.44;0.01;1
329.94;0.01;1
331.06;0;1
335.67;0;1
337.33;0;1
338.42;0.01;1
340.74;0.01;1
341.75;0.01;1
342.87;0.01;2
343.97;0;1
345.35;0.01;1
351.49;0;1
354.49;0;1
355.52;0;1
356.76;0;1
358.01;0;1
359.04;0;1
360.08;0;1
363.41;0;1
365.07;0;1
366.18;0;1
367.18;0;1
368.46;0;2
369.55;0;2
370.8;0.01;1
373.81;0.01;1
377.27;0.01;1
381.03;0.01;1
382.07;0.01;2
383.14;0.01;1
384.14;0.01;2
385.14;0.01;1
386.19;0.01;1
388.05;0.01;1
390.06;0.01;1
391.35;0.01;1
394.53;0.01;1
395.57;0.01;1
396.58;0.01;3
397.58;0.01;1
398.59;0.01;2
399.59;0.01;2
400.63;0.01;1
401.66;0.01;1
402.68;0.01;1
403.99;0;1
405.19;0;1
407.11;0.01;1
408.14;0;1
409.45;0;1
410.5;0;1
411.74;0;2
412.78;0;1
413.78;0;2
414.82;0;1
415.82;0;3
416.84;0.01;3
417.88;0.01;2
418.96;0.01;2
419.96;0.01;3
421.05;0.01;5
422.05;0.01;2
423.07;0.01;4
424.14;0.01;2
425.16;0.01;1
426.16;0.01;1
427.2;0.01;1
428.27;0.01;1
429.44;0.01;2
430.52;0;1
431.85;0.01;4
432.87;0.01;3
433.87;0.01;3
434.87;0.01;4
435.92;0.01;4
436.96;0.01;7
438.01;0.03;5
439.01;0.02;5
440.01;0.01;4
441.07;0.01;4
442.1;0.01;4
443.14;0.01;4
444.18;0.01;5
445.23;0.01;4
446.24;0.01;4
447.28;0.01;4
448.33;0.02;5
449.37;0.01;3
450.41;0.01;3
451.43;0.01;3
452.48;0.01;1
453.48;0.01;3
454.51;0.01;2
455.52;0.01;3
456.55;0.01;2
457.66;0.01;1
459.8;0.01;1
460.89;0.05;2
461.91;0.05;1
466.33;0.01;1
468.5;0.01;1
469.59;0.01;1
471.44;0.01;1
473.75;0.01;1
475.09;0.01;1
476.12;0.01;1
477.14;0.01;2
478.14;0.01;2
479.23;0.01;1
480.27;0.01;2
481.27;0.01;1
482.28;0.01;1
483.32;0.01;2
484.36;0.01;1
485.39;0.01;1
486.42;0.01;1
488.4;0.01;1
490.28;0.01;1
491.53;0.01;1
497.32;0.01;1
498.32;0.01;4
499.33;0.01;1
500.35;0.01;2
501.35;0.01;2
502.53;0;1
513.09;0;1
515.17;0;1
516.23;0;1
517.27;0.01;1
520.81;0;1
524.72;0;1
525.77;0.01;1
527.69;0.01;1
528.85;0.01;2
530;0.01;3
531.1;0;1
532.11;0;2
533.11;0;1
534.11;0.01;1
538.84;0.01;1
540.26;0;1
541.4;0.01;2
542.65;0.01;1
543.97;0.01;1
545;0.01;1
546.65;0.01;1
547.68;0.01;1
548.93;0.01;1
549.93;0.01;1
550.93;0.01;2
551.93;0.01;1
554.46;0;1
560.56;0;1
561.58;0;1
562.6;0.01;2
563.61;0;1
564.61;0;2
565.9;0;1
566.9;0.01;1
568.14;0;1
569.14;0;1
570.19;0;1
571.19;0.01;1
573.02;0.01;1
574.04;0;1
577.14;0;1
578.95;0;1
579.97;0;2
581;0.01;4
582.04;0.01;3
583.04;0;1
584.06;0.01;5
585.06;0.01;4
586.1;0.01;3
587.2;0.01;1
