#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;157.36;0.09;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
59.94;167.05;6.91;PP/5.32,TA/1.35,IS/0,PS/0.26,RB/0.01,OB/0.02,RP/0
119.82;165.11;7.57;PP/5.49,TA/1.8,IS/0,PS/0.51,RB/0.01,OB/0.02,RP/0
179.75;165.54;8.47;PP/5.75,TA/2.39,IS/0,PS/0.89,RB/0.01,OB/0.02,RP/0
239.97;166.1;9.02;PP/6.02,TA/2.61,IS/0,PS/0.93,RB/0.01,OB/0.03,RP/0
299.78;166.26;9.49;PP/6.19,TA/2.86,IS/0,PS/1,RB/0.01,OB/0.03,RP/0
359.81;166.18;9.97;PP/6.36,TA/3.11,IS/0,PS/1.03,RB/0.01,OB/0.04,RP/0
419.96;162.88;10.43;PP/6.63,TA/3.25,IS/0,PS/1.07,RB/0.01,OB/0.04,RP/0
479.91;164.03;11.15;PP/7.16,TA/3.37,IS/0,PS/1.12,RB/0.01,OB/0.05,RP/0
539.9;163.82;11.62;PP/7.34,TA/3.62,IS/0,PS/1.15,RB/0.01,OB/0.05,RP/0
599.98;163.98;12.41;PP/7.59,TA/4.1,IS/0,PS/1.21,RB/0.01,OB/0.06,RP/0
659.95;164.1;12.93;PP/7.91,TA/4.24,IS/0,PS/1.26,RB/0.01,OB/0.06,RP/0
719.91;164.29;13.34;PP/8.14,TA/4.38,IS/0,PS/1.3,RB/0.01,OB/0.07,RP/0
779.87;164.39;13.94;PP/8.33,TA/4.73,IS/0,PS/1.32,RB/0.01,OB/0.07,RP/0
839.93;164.66;14.41;PP/8.53,TA/4.94,IS/0,PS/1.36,RB/0.01,OB/0.08,RP/0
900;164.56;14.71;PP/8.69,TA/5.04,IS/0,PS/1.38,RB/0.01,OB/0.09,RP/0
959.89;164.22;15.18;PP/8.91,TA/5.23,IS/0,PS/1.4,RB/0.01,OB/0.09,RP/0
1019.99;164.29;15.69;PP/9.21,TA/5.38,IS/0,PS/1.46,RB/0.01,OB/0.1,RP/0
1079.97;164.55;16.27;PP/9.53,TA/5.56,IS/0,PS/1.51,RB/0.01,OB/0.1,RP/0
1139.92;164.29;16.78;PP/9.77,TA/5.78,IS/0,PS/1.53,RB/0.01,OB/0.11,RP/0
1199.96;164.48;17.26;PP/10.03,TA/5.93,IS/0,PS/1.57,RB/0.01,OB/0.12,RP/0
1259.84;165.02;17.91;PP/10.46,TA/6.09,IS/0,PS/1.64,RB/0.01,OB/0.12,RP/0
1319.99;165.44;18.34;PP/10.73,TA/6.17,IS/0,PS/1.67,RB/0.01,OB/0.13,RP/0
1379.98;166.72;19.48;PP/11.51,TA/6.47,IS/0.01,PS/1.7,RB/0.01,OB/0.14,RP/0
1439.89;166.79;20.13;PP/12.04,TA/6.53,IS/0.01,PS/1.75,RB/0.01,OB/0.14,RP/0
1499.79;166.79;20.41;PP/12.16,TA/6.64,IS/0.01,PS/1.77,RB/0.01,OB/0.14,RP/0
1559.98;167.04;21.01;PP/12.52,TA/6.81,IS/0.01,PS/1.81,RB/0.01,OB/0.15,RP/0
1619.87;167.37;21.89;PP/13.05,TA/7.08,IS/0.01,PS/1.85,RB/0.01,OB/0.16,RP/0
1679.97;169.12;22.75;PP/13.5,TA/7.38,IS/0.01,PS/1.89,RB/0.01,OB/0.17,RP/0
1739.73;169.39;23.7;PP/13.87,TA/7.82,IS/0.01,PS/1.97,RB/0.02,OB/0.18,RP/0
1799.98;169.4;24.88;PP/14.58,TA/8.18,IS/0.01,PS/2.07,RB/0.02,OB/0.19,RP/0
1859.86;169.7;25.57;PP/14.93,TA/8.42,IS/0.01,PS/2.12,RB/0.02,OB/0.2,RP/0
1919.95;169.44;26.55;PP/15.56,TA/8.68,IS/0.01,PS/2.15,RB/0.02,OB/0.21,RP/0
1979.95;169.53;27.17;PP/15.9,TA/8.87,IS/0.01,PS/2.2,RB/0.02,OB/0.22,RP/0
2039.94;169.64;28.27;PP/16.61,TA/9.08,IS/0.01,PS/2.27,RB/0.02,OB/0.23,RP/0
2099.99;170.09;29.81;PP/17.64,TA/9.42,IS/0.01,PS/2.34,RB/0.02,OB/0.25,RP/0
2159.94;169.34;30.3;PP/18.04,TA/9.46,IS/0.01,PS/2.35,RB/0.02,OB/0.25,RP/0
2219.86;169.81;30.88;PP/18.48,TA/9.53,IS/0.01,PS/2.38,RB/0.02,OB/0.26,RP/0
2279.83;169.6;31.53;PP/18.89,TA/9.7,IS/0.01,PS/2.41,RB/0.02,OB/0.27,RP/0
2339.71;169.67;32.28;PP/19.42,TA/9.85,IS/0.01,PS/2.45,RB/0.02,OB/0.27,RP/0
2399.58;169.85;32.82;PP/19.72,TA/10.03,IS/0.01,PS/2.5,RB/0.02,OB/0.28,RP/0
2459.99;170.59;33.35;PP/20.07,TA/10.13,IS/0.01,PS/2.52,RB/0.02,OB/0.28,RP/0
2519.88;170.16;33.98;PP/20.53,TA/10.24,IS/0.01,PS/2.56,RB/0.02,OB/0.29,RP/0
2579.99;170.36;34.49;PP/20.84,TA/10.38,IS/0.01,PS/2.58,RB/0.02,OB/0.29,RP/0
