#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/26,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.85;1;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/15,Rest/1
120;8;None/0,ParkPod/1,RepositionPod/0,Insert/9,Extract/15,Rest/1
179.86;9;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/13,Rest/1
240;8;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/13,Rest/3
299.91;5;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/11,Rest/3
359.97;5;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/12,Rest/1
419.91;5;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/10,Rest/5
479.87;3;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/11,Rest/4
539.93;6;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/12,Rest/3
599.65;3;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/12,Rest/2
659.78;2;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/11,Rest/4
719.92;3;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/9,Rest/4
779.79;1;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
839.98;4;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/14,Rest/1
899.86;4;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
959.72;3;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/11,Rest/3
1019.89;2;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/13,Rest/0
1079.96;4;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/15,Rest/0
1139.87;4;None/0,ParkPod/7,RepositionPod/0,Insert/8,Extract/9,Rest/2
1200;2;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/12,Rest/1
1259.73;2;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/13,Rest/2
1319.9;4;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/13,Rest/0
1379.82;5;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/12,Rest/0
1439.85;4;None/0,ParkPod/6,RepositionPod/0,Insert/9,Extract/9,Rest/2
1499.89;3;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/11,Rest/2
1559.98;1;None/0,ParkPod/8,RepositionPod/0,Insert/7,Extract/10,Rest/1
1619.96;2;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/11,Rest/2
1679.9;5;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/11,Rest/2
1739.71;3;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/12,Rest/1
1799.81;4;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/12,Rest/2
