#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
74.23;15;116;3;74.23;74.19
75.76;21;445;1;75.76;75.72
79.6;2;751;0;79.6;79.56
84.42;15;116;3;84.42;84.37
85.77;21;445;1;85.77;85.73
89.65;2;751;0;89.65;89.6
94.46;15;116;3;94.46;94.42
95.82;21;445;1;95.82;95.77
99.68;2;751;0;99.68;99.64
104.47;15;116;3;104.47;104.42
105.86;21;445;1;105.86;105.82
109.47;12;67;2;109.47;109.42
109.72;2;751;0;109.72;109.68
114.51;15;116;3;114.51;114.47
115.88;21;445;1;115.88;115.83
119.6;12;67;2;119.6;119.56
119.77;2;751;0;119.77;119.72
124.55;15;116;3;124.55;124.51
125.92;21;445;1;125.92;125.88
129.63;12;67;2;129.63;129.59
129.81;2;751;0;129.81;129.77
134.59;15;116;3;134.59;134.54
135.93;21;445;1;135.93;135.88
139.66;12;67;2;139.66;139.61
139.86;2;751;0;139.86;139.81
144.63;15;116;3;144.63;144.59
145.97;21;445;1;145.97;145.93
149.7;12;67;2;149.7;149.66
149.9;2;751;0;149.9;149.86
154.68;15;116;3;154.68;154.63
155.98;21;445;1;155.98;155.94
159.74;12;67;2;159.74;159.7
159.95;2;751;0;159.95;159.9
164.72;15;116;3;164.72;164.68
165.98;21;445;1;165.98;165.94
169.79;12;67;2;169.79;169.74
174.76;15;116;3;174.76;174.72
176.03;21;445;1;176.03;175.98
179.56;1;234;0;179.56;179.52
179.83;12;67;2;179.83;179.79
186.07;21;445;1;186.07;186.03
189.6;1;234;0;189.6;189.56
189.83;12;67;2;189.83;189.79
193.98;20;48;3;193.98;193.94
199.61;1;234;0;199.61;199.57
204.07;20;48;3;204.07;204.03
205.05;24;465;1;205.05;205
208.76;22;52;2;208.76;208.71
209.66;1;234;0;209.66;209.61
214.09;20;48;3;214.09;214.04
215.09;24;465;1;215.09;215.05
219;22;52;2;219;218.96
219.7;1;234;0;219.7;219.66
224.13;20;48;3;224.13;224.09
225.14;24;465;1;225.14;225.09
229.05;22;52;2;229.05;229
229.75;1;234;0;229.75;229.7
234.18;20;48;3;234.18;234.13
235.18;24;465;1;235.18;235.14
239.09;22;52;2;239.09;239.05
239.79;1;234;0;239.79;239.75
244.19;20;48;3;244.19;244.14
245.19;24;465;1;245.19;245.14
249.14;22;52;2;249.14;249.09
249.84;1;234;0;249.84;249.79
254.23;20;48;3;254.23;254.19
255.22;24;465;1;255.22;255.17
259.18;22;52;2;259.18;259.14
259.88;1;234;0;259.88;259.84
264.28;20;48;3;264.28;264.23
265.26;24;465;1;265.26;265.22
269.22;22;52;2;269.22;269.18
269.92;1;234;0;269.92;269.88
275.3;24;465;1;275.3;275.26
279.27;22;52;2;279.27;279.22
279.93;1;234;0;279.93;279.89
285.35;24;465;1;285.35;285.3
289.98;1;234;0;289.98;289.93
295.39;24;465;1;295.39;295.35
309.04;9;497;0;309.04;189.22
319.08;9;497;0;319.08;199.27
327.35;15;736;3;327.35;212.79
328.3;21;515;1;328.3;93.08
329.11;9;497;0;329.11;209.29
337.36;15;736;3;337.36;222.81
338.35;21;515;1;338.35;103.12
339.15;9;497;0;339.15;219.33
340.04;12;462;2;340.04;200.34
347.39;15;736;3;347.39;232.83
348.39;21;515;1;348.39;113.17
349.19;9;497;0;349.19;229.38
350.28;12;462;2;350.28;210.58
357.43;15;736;3;357.43;242.88
358.44;21;515;1;358.44;123.21
359.24;9;497;0;359.24;239.42
360.33;12;462;2;360.33;220.63
367.48;15;736;3;367.48;252.92
368.48;21;515;1;368.48;133.25
369.26;9;497;0;369.26;249.44
370.35;12;462;2;370.35;230.65
377.52;15;736;3;377.52;262.97
378.52;21;515;1;378.52;143.3
379.29;9;497;0;379.29;259.48
380.38;12;462;2;380.38;240.68
387.57;15;736;3;387.57;273.01
388.57;21;515;1;388.57;153.34
389.33;9;497;0;389.33;269.52
390.41;12;462;2;390.41;250.71
397.61;15;736;3;397.61;283.06
398.61;21;515;1;398.61;163.39
399.34;9;497;0;399.34;279.52
400.46;12;462;2;400.46;260.76
407.66;15;736;3;407.66;293.1
408.62;21;515;1;408.62;173.39
409.38;9;497;0;409.38;289.57
410.5;12;462;2;410.5;270.8
417.69;15;736;3;417.69;303.14
418.65;21;515;1;418.65;183.42
419.42;9;497;0;419.42;299.61
428.96;22;200;2;428.96;209.91
436.97;24;561;1;436.97;317.15
436.97;20;499;3;436.97;232.85
437.55;2;410;0;437.55;227.85
439.01;22;200;2;439.01;219.96
447.01;24;561;1;447.01;327.19
447.01;20;499;3;447.01;242.89
447.92;2;410;0;447.92;238.22
449.05;22;200;2;449.05;230
457.05;24;561;1;457.05;337.24
457.05;20;499;3;457.05;252.93
457.97;2;410;0;457.97;248.27
459.08;22;200;2;459.08;240.03
467.09;24;561;1;467.09;347.28
467.09;20;499;3;467.09;262.98
468.01;2;410;0;468.01;258.31
469.12;22;200;2;469.12;250.07
477.14;24;561;1;477.14;357.32
477.14;20;499;3;477.14;273.02
478.06;2;410;0;478.06;268.35
479.15;22;200;2;479.15;260.1
487.15;24;561;1;487.15;367.33
487.15;20;499;3;487.15;283.03
488.06;2;410;0;488.06;278.36
489.15;22;200;2;489.15;270.1
497.19;24;561;1;497.19;377.38
497.19;20;499;3;497.19;293.07
498.1;2;410;0;498.1;288.4
507.2;24;561;1;507.2;387.38
507.2;20;499;3;507.2;303.08
508.15;2;410;0;508.15;298.44
517.24;24;561;1;517.24;397.43
517.24;20;499;3;517.24;313.12
518.17;2;410;0;518.17;308.47
528.21;2;410;0;528.21;318.51
538.26;2;410;0;538.26;328.55
548.3;2;410;0;548.3;338.6
566.59;1;421;0;566.59;237.44
576.39;21;228;1;576.39;139.38
576.64;1;421;0;576.64;247.49
580;12;709;2;580;219.63
586.44;21;228;1;586.44;149.43
586.68;1;421;0;586.68;257.53
588.82;15;270;3;588.77;141.77
590.06;12;709;2;590.06;229.69
596.49;21;228;1;596.49;159.47
596.73;1;421;0;596.73;267.57
598.9;15;270;3;598.86;151.85
600.11;12;709;2;600.11;239.73
606.53;21;228;1;606.53;169.52
606.77;1;421;0;606.77;277.62
608.95;15;270;3;608.9;161.9
610.14;12;709;2;610.14;249.77
616.57;21;228;1;616.57;179.56
616.77;1;421;0;616.77;287.62
618.99;15;270;3;618.95;171.94
620.19;12;709;2;620.19;259.81
626.61;21;228;1;626.61;189.6
626.78;1;421;0;626.78;297.63
629.04;15;270;3;628.99;181.99
630.23;12;709;2;630.23;269.86
636.63;21;228;1;636.63;199.62
639.08;15;270;3;639.04;192.03
640.24;12;709;2;640.24;279.87
645.47;9;19;0;645.43;187.46
646.65;21;228;1;646.65;209.64
649.12;15;270;3;649.08;202.07
650.29;12;709;2;650.29;289.91
655.61;9;19;0;655.56;197.59
656.66;21;228;1;656.66;219.64
659.17;15;270;3;659.12;212.12
660.32;12;709;2;660.32;299.95
665.65;9;19;0;665.61;207.64
669.21;15;270;3;669.17;222.16
675.7;9;19;0;675.65;217.68
675.7;24;71;1;675.7;346.54
679.26;15;270;3;679.21;232.21
679.72;22;576;2;679.68;242.71
685.74;9;19;0;685.7;227.73
685.74;24;71;1;685.74;356.59
689.77;22;576;2;689.72;252.75
695.76;9;19;0;695.71;237.75
695.76;24;71;1;695.76;366.61
698.48;20;598;3;698.48;361.07
699.81;22;576;2;699.77;262.8
705.8;9;19;0;705.76;247.79
705.8;24;71;1;705.8;376.65
708.53;20;598;3;708.53;371.12
709.84;22;576;2;709.8;272.83
715.85;9;19;0;715.8;257.83
715.85;24;71;1;715.85;386.7
718.57;20;598;3;718.57;381.16
719.89;22;576;2;719.84;282.88
725.89;9;19;0;725.85;267.88
725.89;24;71;1;725.89;396.74
728.62;20;598;3;728.62;391.21
729.93;22;576;2;729.89;292.92
735.94;9;19;0;735.89;277.92
735.94;24;71;1;735.94;406.79
738.66;20;598;3;738.66;401.25
739.98;22;576;2;739.93;302.96
745.98;9;19;0;745.94;287.97
745.98;24;71;1;745.98;416.83
748.67;20;598;3;748.67;411.26
750.02;22;576;2;749.98;313.01
758.71;20;598;3;758.71;421.3
763.84;2;749;0;763.79;197.2
768.76;20;598;3;768.76;431.35
774.07;2;749;0;774.02;207.43
778.78;20;598;3;778.78;441.37
784.08;2;749;0;784.04;217.45
794.13;2;749;0;794.08;227.49
796.7;15;426;3;676.88;88.13
804.17;2;749;0;804.13;237.54
804.35;12;157;2;689.79;154.02
807.06;15;426;3;687.24;98.49
814.22;2;749;0;814.17;247.58
814.39;12;157;2;814.35;164.06
816.39;21;142;1;696.58;140.65
817.1;15;426;3;697.29;108.53
824.26;2;749;0;824.21;257.62
824.44;12;157;2;709.88;174.11
826.44;21;142;1;706.62;150.7
827.15;15;426;3;712.59;118.57
834.3;2;749;0;834.26;267.67
834.48;12;157;2;834.44;184.15
836.48;21;142;1;716.67;160.74
837.17;15;426;3;722.61;128.6
844.35;2;749;0;844.3;277.71
844.53;12;157;2;844.48;194.2
846.53;21;142;1;726.71;170.79
847.21;15;426;3;732.66;138.64
854.38;2;749;0;854.34;287.74
854.54;12;157;2;854.5;204.21
856.57;21;142;1;736.76;180.83
857.26;15;426;3;742.7;148.69
864.4;2;749;0;864.36;297.77
864.59;12;157;2;864.54;214.26
866.62;21;142;1;746.8;190.88
867.3;15;426;3;752.75;158.73
874.45;2;749;0;874.4;307.81
874.63;12;157;2;760.08;224.3
876.66;21;142;1;756.85;200.92
877.35;15;426;3;762.79;168.78
884.65;12;157;2;770.1;234.32
886.71;21;142;1;766.89;210.97
892.77;1;173;0;892.73;247.16
896.75;21;142;1;776.94;221.01
903.01;1;173;0;902.97;257.41
903.48;22;55;2;903.43;414.28
906.76;21;142;1;786.95;231.02
913.06;1;173;0;913.01;267.45
913.57;22;55;2;913.52;424.37
915.94;20;674;3;711.82;118.88
923.1;1;173;0;923.1;277.49
923.61;22;55;2;923.57;434.42
925.97;20;674;3;721.85;128.92
926.26;24;729;1;926.21;349.8
933.15;1;173;0;933.15;287.54
933.65;22;55;2;933.61;444.46
936.02;20;674;3;731.9;138.96
936.37;24;729;1;936.32;359.91
943.19;1;173;0;943.15;297.58
943.66;22;55;2;943.62;454.47
946.06;20;674;3;741.94;149
946.41;24;729;1;946.37;369.96
953.23;1;173;0;953.19;307.63
953.7;22;55;2;953.65;464.51
956.1;20;674;3;751.99;159.05
956.45;24;729;1;956.41;380
963.28;1;173;0;963.23;317.67
963.74;22;55;2;963.7;474.55
966.14;20;674;3;762.02;169.08
966.5;24;729;1;966.45;390.05
973.32;1;173;0;973.28;327.72
976.18;20;674;3;772.06;179.13
976.54;24;729;1;976.5;400.09
983.37;1;173;0;983.32;337.76
986.23;20;674;3;782.11;189.17
986.59;24;729;1;986.54;410.13
993.41;1;173;0;993.37;347.81
996.27;20;674;3;792.15;199.21
996.63;24;729;1;996.59;420.18
1005.86;12;271;2;786.82;131.19
1006.68;24;729;1;1006.63;430.22
1012.63;9;692;0;872.93;248.56
1015.95;12;271;2;796.9;141.27
1022.77;9;692;0;883.06;258.7
1026;12;271;2;816.29;151.32
1032.77;9;692;0;893.06;268.7
1036.03;12;271;2;826.32;161.35
1042.78;9;692;0;903.08;278.71
1046.03;12;271;2;826.98;171.36
1047.64;15;274;3;1047.6;438.65
1052.82;9;692;0;933.01;288.75
1052.91;21;10;1;843.21;236.47
1056.08;12;271;2;837.03;181.4
1057.68;15;274;3;1057.64;448.69
1062.87;9;692;0;923.17;298.8
1063.27;21;10;1;853.56;246.83
1066.09;12;271;2;847.04;191.41
1067.69;15;274;3;1067.64;458.7
1072.87;9;692;0;933.17;308.8
1073.31;21;10;1;863.61;256.87
1076.13;12;271;2;857.08;201.45
1077.72;15;274;3;1077.68;468.73
1082.91;9;692;0;943.21;318.84
1083.35;21;10;1;873.65;266.92
1087.77;15;274;3;1087.72;478.77
1092.93;9;692;0;953.23;328.87
1093.4;21;10;1;883.7;276.96
1097.79;15;274;3;1097.74;488.8
1103.44;21;10;1;893.74;287.01
1107.83;15;274;3;1107.79;498.84
1111.35;2;220;0;876.13;218.34
1113.49;21;10;1;903.79;297.05
1117.88;15;274;3;1117.83;508.89
1121.4;2;220;0;886.17;228.38
1123.53;21;10;1;913.83;307.09
1131.4;2;220;0;896.18;238.39
1133.58;21;10;1;923.87;317.14
1141.43;2;220;0;922.38;248.41
1143.62;21;10;1;933.92;327.18
1151.45;2;220;0;916.23;258.44
1153.18;22;215;2;1033.36;413.16
1161.47;2;220;0;926.25;268.46
1163.22;22;215;2;1043.41;423.2
1171.49;2;220;0;936.26;278.47
1173.27;22;215;2;1053.45;433.24
1175.93;24;276;1;738.92;179.61
1181.53;2;220;0;946.31;288.52
1183.31;22;215;2;1063.5;443.29
1186.08;24;276;1;749.06;189.76
1191.54;2;220;0;956.31;298.53
1193.32;22;215;2;1073.51;453.3
1196.11;24;276;1;759.1;199.79
1203.37;22;215;2;1083.55;463.35
1206.15;24;276;1;769.14;209.84
1209.94;1;43;0;872.53;216.48
1213.41;22;215;2;1093.6;473.39
1216.2;24;276;1;779.18;219.88
1219.98;1;43;0;882.57;226.53
1223.35;20;688;3;862.97;227.03
1226.24;24;276;1;789.23;229.93
1230.03;1;43;0;892.62;236.57
1231.5;12;449;2;894.09;287.79
1233.45;20;688;3;873.08;237.14
1236.29;24;276;1;799.27;239.97
1240.07;1;43;0;902.66;246.61
1241.54;12;449;2;912.39;297.83
1243.5;20;688;3;883.12;247.18
1246.3;24;276;1;809.28;249.98
1250.09;1;43;0;912.69;256.64
1251.58;12;449;2;922.43;307.88
1253.54;20;688;3;893.17;257.22
1260.13;1;43;0;922.72;266.67
1261.59;12;449;2;932.44;317.89
1263.58;20;688;3;903.21;267.27
1270.17;1;43;0;932.76;276.72
1271.62;12;449;2;942.47;327.91
1273.63;20;688;3;913.26;277.31
1276.59;21;30;1;947.44;369.78
1280.21;1;43;0;942.81;286.76
1283.67;20;688;3;923.3;287.36
1286.63;21;30;1;1051.41;379.82
1293.72;20;688;3;856.7;297.4
1296.68;21;30;1;1061.45;389.87
1303.72;20;688;3;866.71;307.4
1306.69;21;30;1;977.54;399.89
1309.44;9;269;0;862.39;236.53
1313.76;20;688;3;953.39;317.45
