#TimeStamp;Bot;Pod;OutputStation
49.44;11;779;2
52.24;4;473;3
54.15;0;778;1
58.88;23;36;0
64.19;0;778;1
68.88;23;36;0
73.77;13;6;2
74.23;0;778;1
78.85;23;36;0
82.56;17;326;3
83.81;13;6;2
90.83;5;232;0
92.52;17;326;3
100.42;18;215;1
100.87;5;232;0
102.47;17;326;3
103.6;7;387;2
110.46;18;215;1
111.3;5;232;0
113.82;7;387;2
115.65;25;549;3
120.61;18;215;1
122.98;10;626;0
124.06;7;387;2
125.42;25;549;3
130.74;18;215;1
134.47;7;387;2
137.56;6;63;3
137.8;16;201;0
142.85;3;358;1
146.79;14;401;2
147.8;6;63;3
147.94;16;201;0
152.98;3;358;1
156.81;14;401;2
157.84;6;63;3
158.03;16;201;0
165.45;19;177;1
167.96;6;63;3
168;11;474;2
168.45;16;201;0
175.09;19;177;1
178;11;474;2
178;6;63;3
181.28;8;409;0
185.49;19;177;1
188.1;11;474;2
188.1;6;63;3
191.4;8;409;0
195.44;19;177;1
198.42;11;474;2
200;4;247;3
201.44;8;409;0
205.56;19;177;1
208.46;11;474;2
210.04;4;247;3
211.48;8;409;0
216.94;18;352;1
218.51;11;474;2
221.49;17;79;3
221.53;8;409;0
227;18;352;1
228.6;11;474;2
231.53;17;79;3
232.89;23;564;0
237.09;18;352;1
240.27;13;486;2
241.27;17;79;3
242.94;23;564;0
246.98;18;352;1
250.38;13;486;2
251.22;17;79;3
253.01;23;564;0
257.22;18;352;1
260.77;13;486;2
263.31;23;564;0
267.62;18;352;1
270.71;13;486;2
273.43;23;564;0
277.66;18;352;1
280.81;13;486;2
283.41;23;564;0
283.86;25;658;3
287.81;18;352;1
292.32;7;217;2
293.46;23;564;0
293.92;25;658;3
299.32;0;468;1
302.41;7;217;2
304.32;25;658;3
304.45;5;391;0
309.39;0;468;1
314.41;25;658;3
314.79;5;391;0
314.79;14;293;2
319.76;0;468;1
324.84;5;391;0
324.84;14;293;2
326.6;4;167;3
331.51;3;196;1
334.9;14;293;2
335.04;5;391;0
336.62;4;167;3
341.89;3;196;1
344.98;14;293;2
345.12;5;391;0
346.7;4;167;3
351.84;3;196;1
355.04;5;391;0
355.04;14;293;2
358.72;6;139;3
361.83;3;196;1
368.79;6;139;3
368.86;11;336;2
373;19;599;1
378.9;11;336;2
383.05;19;599;1
388.78;11;336;2
394.37;18;411;1
398.41;10;66;0
399;11;336;2
408.33;10;66;0
409.05;11;336;2
418.21;10;66;0
419.09;11;336;2
428.24;10;66;0
428.72;25;342;3
429.39;0;50;1
431.05;13;49;2
438.19;10;66;0
439.03;25;342;3
439.63;0;50;1
441.1;13;49;2
449.03;25;342;3
449.77;0;50;1
451.27;8;247;0
451.52;13;49;2
459.01;25;342;3
459.8;0;50;1
461.35;8;247;0
463.74;7;720;2
469.12;25;342;3
469.88;0;50;1
473.71;16;600;0
473.76;7;720;2
479.41;25;342;3
480.04;0;50;1
483.5;16;600;0
483.87;7;720;2
489.45;25;342;3
490.14;0;50;1
493.76;16;600;0
495.44;14;186;2
500.8;17;510;3
501.79;3;232;1
503.61;16;600;0
505.53;14;186;2
510.84;17;510;3
511.84;3;232;1
513.82;16;600;0
517.28;11;446;2
521.16;17;510;3
522;3;232;1
525.43;23;762;0
527.5;11;446;2
532.12;3;232;1
532.7;4;469;3
537.19;5;653;0
537.74;11;446;2
542.82;4;469;3
543.78;19;275;1
547.28;5;653;0
552.86;4;469;3
553.58;19;275;1
557.36;5;653;0
562.76;4;469;3
563.55;19;275;1
564.21;13;193;2
567.46;5;653;0
572.91;4;469;3
573.55;19;275;1
574.35;13;193;2
579.08;8;441;0
583.09;4;469;3
584.5;13;193;2
584.76;18;363;1
589.07;8;441;0
593.07;4;469;3
594.51;13;193;2
594.92;18;363;1
599.18;8;441;0
603.02;4;469;3
604.67;18;363;1
604.67;13;193;2
609.35;8;441;0
615.03;18;363;1
615.03;13;193;2
615.11;6;693;3
621.19;10;39;0
625.16;6;693;3
626.44;0;739;1
626.44;7;398;2
631.21;10;39;0
636.48;0;739;1
636.48;7;398;2
641.21;10;39;0
642.16;17;280;3
646.9;7;398;2
652.23;16;720;0
652.32;17;280;3
657.07;7;398;2
662.36;17;280;3
663.39;3;433;1
668.73;14;82;2
673.27;3;433;1
673.93;25;0;3
675.78;23;338;0
678.77;14;82;2
683.57;3;433;1
684.01;25;0;3
685.83;23;338;0
688.8;14;82;2
693.88;3;433;1
694.06;25;0;3
695.85;23;338;0
698.85;14;82;2
703.87;3;433;1
704.1;25;0;3
705.84;23;338;0
708.89;14;82;2
713.97;3;433;1
714.49;25;0;3
715.68;23;338;0
718.96;14;82;2
725.22;19;37;1
725.83;23;338;0
726.88;4;770;3
730.82;11;387;2
735.73;23;338;0
740.88;11;387;2
745.92;23;338;0
748.1;6;629;3
749.11;18;121;1
750.87;11;387;2
755.74;23;338;0
758.15;6;629;3
759.19;18;121;1
761.06;11;387;2
768.53;6;629;3
769.15;5;104;0
769.53;18;121;1
771.03;11;387;2
778.19;6;629;3
779.19;5;104;0
779.95;18;121;1
781.19;11;387;2
788.57;6;629;3
789.57;5;104;0
791.39;0;362;1
795.43;13;298;2
799.9;17;424;3
801.52;0;362;1
805.69;13;298;2
809.97;17;424;3
811.62;0;362;1
815.8;10;190;0
815.89;13;298;2
820.11;17;424;3
821.58;0;362;1
825.85;10;190;0
830.24;17;424;3
831.49;0;362;1
835.89;10;190;0
840.32;17;424;3
841.67;0;362;1
842.72;7;694;2
846.18;10;190;0
850.67;17;424;3
852.09;0;362;1
852.77;7;694;2
856.21;10;190;0
862.87;7;694;2
863.66;19;49;1
865.12;25;6;3
866.26;10;190;0
872.7;7;694;2
874.01;19;49;1
875.14;25;6;3
880.67;16;61;0
885.21;25;6;3
890.91;16;61;0
893.31;3;266;1
895.34;25;6;3
900.18;14;340;2
903.3;3;266;1
907.7;6;289;3
910.27;14;340;2
913.31;3;266;1
920.03;14;340;2
920.69;4;508;3
923.4;3;266;1
928.78;23;658;0
930.75;4;508;3
931.35;11;475;2
933.53;3;266;1
938.86;23;658;0
940.65;4;508;3
941.51;11;475;2
943.59;3;266;1
950.65;4;508;3
951.5;11;475;2
953.59;3;266;1
960.71;4;508;3
961.51;11;475;2
965.23;18;151;1
970.59;4;508;3
971.55;11;475;2
974.66;8;42;0
975.31;18;151;1
981.56;11;475;2
982.52;17;381;3
984.84;8;42;0
985.36;18;151;1
991.58;11;475;2
995.48;18;151;1
996.92;10;203;0
1001.63;11;475;2
1001.63;25;766;3
1006.46;0;401;1
1006.94;10;203;0
1011.71;11;475;2
1011.71;25;766;3
1016.74;0;401;1
1018.77;5;66;0
1021.65;11;475;2
1026.77;0;401;1
1031.47;6;387;3
1033.38;13;277;2
1036.75;0;401;1
1041.62;6;387;3
1043.47;13;277;2
1046.82;0;401;1
1053.82;13;277;2
1055.49;16;407;0
1058.7;19;439;1
1064.87;7;509;2
1065.68;16;407;0
1068.73;19;439;1
1075.16;7;509;2
1075.73;16;407;0
1076.95;4;1;3
1083.13;3;287;1
1085.2;7;509;2
1085.79;16;407;0
1087.23;4;1;3
1093.17;3;287;1
1095.44;7;509;2
1096.14;16;407;0
1097.48;4;1;3
1103.25;3;287;1
1106.14;16;407;0
1107.52;4;1;3
1107.88;14;420;2
1113.7;3;287;1
1117.69;4;1;3
1117.93;14;420;2
1123.76;3;287;1
1127.16;23;458;0
1127.93;14;420;2
1127.93;4;1;3
1133.87;3;287;1
1137.97;14;420;2
1139.66;17;169;3
1143.92;3;287;1
1147.81;14;420;2
1149.42;8;174;0
1149.7;17;169;3
1154.18;3;287;1
1159.78;17;169;3
1166.64;18;481;1
1168.81;13;571;2
1169.95;17;169;3
1170.59;5;315;0
1176.76;18;481;1
1178.86;13;571;2
1180;17;169;3
1180.63;5;315;0
1186.81;18;481;1
1188.81;13;571;2
1190.75;5;315;0
1191.85;25;204;3
1196.85;18;481;1
1198.9;13;571;2
1200.79;5;315;0
1201.9;25;204;3
1206.72;18;481;1
1210.57;11;60;2
1210.99;5;315;0
1216.94;18;481;1
1220.67;11;60;2
1221.2;5;315;0
1223.13;6;264;3
1227.03;18;481;1
1230.8;11;60;2
1231.43;5;315;0
1233.3;6;264;3
1237;18;481;1
1240.85;11;60;2
1241.65;5;315;0
1243.15;6;264;3
1248.52;0;22;1
1251.89;5;315;0
1253.16;7;388;2
1253.21;6;264;3
1258.82;0;22;1
1263.43;6;264;3
1273.6;14;148;2
1276.56;19;498;1
1278.42;4;489;3
1283.64;14;148;2
1286.6;19;498;1
1288.47;4;489;3
1293.73;14;148;2
1296.48;19;498;1
1298.24;4;489;3
1303.82;14;148;2
1306.69;19;498;1
1307.69;16;400;0
1308.44;4;489;3
1313.69;14;148;2
1318.84;3;217;1
1320.16;25;76;3
1321.73;10;607;0
1323.75;14;148;2
1329.07;3;217;1
1330.2;25;76;3
1333.88;14;148;2
1339.15;3;217;1
1340.24;25;76;3
1343.93;14;148;2
1349.11;3;217;1
1351.28;17;260;3
1355.51;13;446;2
1361.66;8;299;0
1368.16;18;162;1
1371.41;8;299;0
1373.56;11;178;2
1378.25;18;162;1
1381.7;8;299;0
1383.61;11;178;2
1389.93;0;679;1
1391.65;8;299;0
1393.5;11;178;2
1400.04;0;679;1
1402.76;23;351;0
1403.67;11;178;2
1404.18;4;169;3
1409.89;0;679;1
1412.86;23;351;0
1413.54;11;178;2
1413.95;4;169;3
1420.09;0;679;1
1422.9;23;351;0
1423.99;4;169;3
1430.45;0;679;1
1434;4;169;3
1435.58;5;327;0
1437.31;7;285;2
1445.62;5;327;0
1447.26;7;285;2
1450.68;6;103;3
1455.4;5;327;0
