#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
62.27;3;62.27;62.27;-1737.73
74.1;1;74.1;74.1;-1725.9
83.48;2;83.48;83.48;-1716.52
84.42;1;84.42;22.1;-7115.58
88.95;0;88.95;26.64;-7111.05
93.85;2;93.85;19.61;-7106.15
100.46;0;100.46;100.46;-1699.54
110.3;1;110.3;110.3;-1689.7
111.26;0;111.26;21.57;-7088.74
112.6;3;112.6;50.29;-7087.4
113.65;2;113.65;113.65;-1686.35
120.38;1;120.38;35.92;-1679.62
121.56;0;121.56;20.69;-7078.44
123.78;2;123.78;123.78;-1676.22
130.47;1;130.47;30.75;-7069.53
135.56;3;135.56;21;-7064.44
140.74;1;140.74;30.28;-7059.26
144.48;2;144.48;39.97;-7055.52
147.72;3;147.72;147.72;-1652.28
147.84;0;147.84;147.84;-1652.16
152.63;1;152.63;152.63;-1647.37
157.45;3;157.45;157.45;-1642.55
157.99;0;157.99;18.29;-7042.01
163.24;1;163.24;18.71;-7036.76
166.81;2;166.81;20.83;-7033.19
168.08;0;168.08;20.14;-7031.92
177.78;3;177.78;38.08;-7022.22
178.16;0;178.16;20.13;-7021.84
185.42;1;185.42;185.42;-1614.58
188.05;2;188.05;43.53;-7011.95
188.05;3;188.05;40.25;-7011.95
198.37;2;198.37;31.52;-7001.63
198.37;3;198.37;40.53;-7001.63
201.21;0;201.21;201.21;-1598.79
205.51;1;205.51;40.73;-6994.49
208.35;2;208.35;20.25;-6991.65
209.91;3;209.91;209.91;-1590.09
215.55;1;215.55;30.06;-6984.45
218.47;2;218.47;20.05;-6981.53
220.04;3;220.04;20.45;-6979.96
221.49;0;221.49;35.99;-1578.51
226.93;1;226.93;86.15;-1573.07
228.56;2;228.56;20.09;-6971.44
231.33;3;231.33;118.69;-1568.67
231.53;0;231.53;30.09;-6968.47
238.94;2;80.91;20.42;-7119.09
250.34;2;250.34;156.45;-6949.66
252.83;0;252.83;252.83;-1547.17
256.86;1;71.36;41;-1728.64
267.33;1;267.33;51.47;-6932.67
273.32;0;273.32;151.71;-1526.68
277.47;1;277.47;50.47;-6922.53
287.65;1;287.65;30.43;-6912.35
290.8;2;290.8;51.54;-6909.2
293.88;3;154.18;105.78;-7045.82
297.79;1;235.48;30.17;-6964.52
302.36;2;302.36;178.3;-6897.64
303.45;0;162.67;71.7;-7037.33
303.93;3;303.93;83.84;-6896.07
309.35;1;309.35;178.61;-1490.65
314.11;3;314.11;28.59;-6885.89
314.71;0;314.71;136.22;-6885.29
324.55;3;22.15;21.73;-7177.85
324.64;0;324.64;93.06;-6875.36
324.64;2;324.64;324.64;-1475.36
329.69;1;109.6;31.37;-1690.4
334.9;0;334.9;61.47;-1465.1
341.6;1;341.6;178.19;-6858.4
345.04;0;345.04;41.53;-6854.96
346.66;3;346.66;32.25;-6853.34
354.98;2;354.98;40.57;-6845.02
365.09;2;18.39;17.97;-7181.61
368.53;3;368.53;170.11;-6831.47
371.9;1;98.47;38.44;-7101.53
378.63;3;378.63;147.1;-1421.37
378.86;2;289.17;139.88;-6910.83
382.9;1;382.9;95.09;-1417.1
393.08;1;393.08;21.13;-6806.92
404.2;1;246.36;106.29;-1553.64
408.8;2;408.8;40.01;-6791.2
419.02;2;419.02;40.11;-6780.98
429.17;2;429.17;20.12;-6770.83
439.55;1;148.7;109.74;-1651.3
441.05;2;441.05;150.2;-6758.95
448.56;0;448.56;49.3;-6751.44
449.54;1;449.54;66.5;-1350.46
451.48;2;311.78;86.31;-1488.22
461.3;0;461.3;136.46;-6738.7
469.01;3;469.01;90.15;-1330.99
469.8;1;469.8;40.59;-6730.2
471.52;0;42.31;20;-1757.69
479.2;3;479.2;49.99;-6720.8
480;1;480;40.37;-6720
489.31;3;489.31;20.19;-6710.69
490.09;1;118.15;40.33;-7081.85
493.6;0;493.6;178.81;-6706.4
493.89;2;493.89;31.23;-6706.11
499.59;3;499.59;20.18;-6700.41
500.39;1;20.35;20.28;-7179.65
505.44;2;307.03;203.03;-6892.97
510.8;3;510.8;186.2;-6689.2
511.7;1;511.7;118.58;-6688.3
513.77;0;513.77;41.07;-6686.23
515.29;2;316.88;19.94;-1483.12
521;3;152.21;21.29;-7047.79
