#TimeStamp;TripTime;Type
36;13;O
39;12;O
40;15;O
46;29;O
48;37;O
61;31;I
63;35;O
64;42;O
65;31;I
68;43;I
69;39;O
74;43;I
84;54;O
86;47;O
89;52;O
89;44;O
91;66;O
97;53;I
98;60;O
99;56;I
99;69;O
102;69;O
122;60;I
124;84;O
126;94;I
138;35;O
145;20;O
150;44;O
159;26;O
184;33;O
186;37;I
201;23;O
210;35;O
224;42;O
232;26;O
251;28;O
269;46;O
273;48;O
297;32;O
308;43;I
310;64;I
320;48;I
322;48;O
325;29;O
330;47;I
353;38;O
372;30;O
374;41;O
385;29;O
394;57;I
403;47;O
406;44;O
411;55;I
415;27;O
417;65;I
418;41;O
430;45;I
431;36;O
433;26;O
433;74;O
445;30;O
449;27;O
463;44;O
475;21;O
477;56;O
481;18;O
500;32;O
520;19;O
550;34;O
552;54;O
560;72;I
566;62;I
584;40;O
587;40;O
590;87;I
604;53;I
604;40;O
619;34;O
619;35;O
628;45;O
629;40;I
640;30;O
650;38;O
652;40;O
660;52;O
664;58;I
671;26;O
673;32;O
673;32;O
683;67;I
688;28;O
701;89;I
718;32;O
755;57;I
758;53;O
759;30;O
760;21;I
776;61;O
796;53;I
805;80;O
831;30;O
833;62;I
835;30;O
851;70;O
867;34;O
870;60;I
877;85;O
877;40;I
886;36;O
889;50;O
902;70;I
902;45;I
903;27;O
905;52;O
913;55;O
918;40;O
926;27;O
931;30;O
946;35;O
962;40;O
965;40;O
974;33;O
975;46;I
984;50;I
987;25;O
1003;57;O
1013;40;O
1017;64;I
1018;55;O
1042;82;O
1048;38;I
1054;42;O
1063;17;O
1094;65;O
1100;44;O
1113;28;O
1121;47;O
1125;55;I
1126;49;I
1136;36;O
1141;61;I
1145;37;O
1156;50;O
1166;51;O
1167;63;O
1187;51;O
1196;75;I
1207;93;I
1209;46;O
1223;58;O
1227;64;I
1250;64;I
1252;36;I
1258;64;I
1260;43;O
1263;45;O
1263;36;O
1294;29;O
1294;16;O
1302;39;O
1305;26;O
1316;39;O
1323;74;O
1330;32;O
1353;78;O
1354;41;O
1355;48;O
1360;66;I
1368;41;I
1373;47;O
1393;19;O
1405;74;O
1409;46;O
1415;24;O
1419;38;I
1423;46;O
1428;51;I
1442;25;O
1445;36;O
1453;49;I
1456;34;I
1458;46;O
1466;39;O
1482;44;O
1484;47;O
1487;52;O
1489;44;I
1490;35;O
1512;36;O
1526;74;I
1530;37;O
1539;28;O
1545;38;O
1570;43;I
1587;39;O
1588;42;O
1589;16;O
1599;67;I
1605;68;O
1615;34;O
1618;44;I
1621;63;O
1629;46;O
1635;56;O
1635;42;O
1637;35;O
1647;64;O
1655;33;O
1657;33;O
1664;29;O
1669;69;I
1687;65;I
1688;38;O
1694;76;I
1711;38;O
1726;58;O
1731;31;I
1736;40;O
1742;29;O
1748;33;O
1756;49;I
1764;37;O
1775;42;O
1783;48;I
1784;48;I
1788;35;O
1798;27;O
