#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.33
59.85;200;200;59.81;59.85;59.85;59.85;0.29;0.33
119.98;200;200;80.58;73.1;119.98;115.76;0.29;0.37
179.88;200;200;118.59;81.94;179.88;158.65;0.29;0.39
239.92;200;200;102.94;84.24;239.92;209.72;0.31;0.38
299.96;200;200;130.97;53.98;299.96;264.95;0.32;0.36
359.82;200;200;140.94;41.46;359.82;294.79;0.31;0.38
419.95;200;200;159.6;61.58;419.95;335;0.32;0.47
479.65;200;200;130.31;59.6;479.64;321.68;0.28;0.43
539.66;200;200;148.03;56.44;539.64;344.85;0.26;0.37
599.97;200;200;136.22;41.21;599.94;529.56;0.27;0.34
659.85;200;200;128.72;66.56;659.81;501.42;0.3;0.33
719.66;200;200;120.92;68.2;701.49;482.77;0.3;0.42
779.93;200;200;119.82;71.48;735.7;563.24;0.3;0.38
839.69;200;200;127.64;89.86;748.09;596.76;0.32;0.36
899.75;200;200;150.67;67.93;774.73;605.57;0.34;0.37
959.62;200;200;152.02;51.28;776.64;594.89;0.35;0.43
1019.97;200;200;158.62;49.48;782.15;677.72;0.35;0.37
1079.71;200;200;159.81;61.86;781.32;760.03;0.38;0.36
1139.94;200;200;159.99;70.31;772.8;746.76;0.36;0.31
1199.75;200;200;172.37;67.02;777.28;661.27;0.35;0.4
1259.94;200;200;206.46;63.11;813.99;796.17;0.35;0.37
1319.96;200;200;225.45;53.51;832.58;811.77;0.34;0.32
1379.99;200;200;187.03;72.83;808.69;852.11;0.34;0.36
1439.77;200;200;201.75;52.65;829.26;892.83;0.34;0.34
1499.96;200;200;180.39;60.42;818.33;1043.46;0.32;0.34
1559.98;200;200;196.03;47.95;843.38;944.66;0.31;0.24
1619.9;200;200;195.73;59.6;849.22;980.16;0.34;0.35
1679.88;200;200;231.5;93.12;889.77;921.84;0.34;0.36
1739.99;200;200;229.13;60.58;904.22;812.6;0.34;0.4
1799.97;200;200;233.85;66.81;924.47;786.43;0.37;0.39
