#TimeStamp;Runtime;Requests
0.88;0.92;26
1.88;0.02;1
5.3;0.04;1
10.68;0.01;1
13.2;0.01;1
14.32;0.01;1
15.37;0.01;2
16.68;0.01;2
17.93;0.01;3
18.98;0.01;2
20;0.01;1
21.09;0.01;1
22.13;0;2
23.18;0;2
24.22;0.01;1
25.27;0.02;2
26.31;0.04;3
27.31;0.03;2
28.4;0.04;2
29.44;0.02;1
30.48;0.18;5
31.48;0.63;4
32.53;0.03;3
33.57;0.03;4
34.62;0.29;5
35.62;0.04;2
36.62;0.03;2
37.62;0.11;3
38.62;0.23;3
39.62;0.34;3
40.62;0.27;4
41.62;0.1;2
42.62;1.01;3
43.62;1;2
44.62;1;2
45.62;1;2
46.62;0.41;2
47.62;0.11;1
48.62;1.01;1
49.68;1;1
50.8;0.8;2
51.84;0.42;2
52.88;1;2
53.93;1;2
54.93;1.01;1
55.95;1;3
56.95;1;2
58;1.01;2
59.02;1;3
60.04;0.54;3
61.13;0.1;4
62.18;0.36;6
63.22;0.49;5
64.23;1.07;5
65.28;0.98;5
66.32;0.84;5
67.37;1.01;4
68.41;0.46;5
69.41;0.35;4
70.41;0.4;4
71.54;0.29;5
72.59;0.46;5
73.63;0.21;5
74.67;0.5;5
75.7;0.18;5
76.75;0.29;6
77.79;0.11;5
78.81;0.12;5
79.81;0.11;3
80.9;0.1;2
81.94;0.12;2
83.01;0.13;3
84.04;0.09;2
85.15;0.02;1
86.15;0.09;2
87.15;0.02;2
88.24;0.1;3
91.15;0.12;1
92.24;0.02;1
93.42;0.09;1
94.44;0.02;1
102.38;0.01;1
103.38;0.01;1
105.92;0.01;1
106.92;0.01;2
112.48;0.09;1
113.48;0.08;1
124.82;0.01;1
125.89;0.01;2
127.98;0.08;1
129.41;0.01;1
137.71;0.01;1
140.53;0.09;1
141.53;0.01;1
143.49;0;1
144.63;0;1
149.33;0.01;1
153.57;0.01;1
154.61;0.01;1
157.91;0.01;1
163.84;0.01;1
169.66;0.01;1
170.66;0;1
174.5;0.01;1
175.5;0.08;1
176.58;0.01;3
179.59;0.01;1
184.09;0.02;1
185.09;0.09;1
193.83;0.02;1
194.88;0.03;1
195.92;0.08;1
196.92;0.01;2
197.96;0.09;2
199.56;0.01;1
200.56;0.08;1
204.54;0.01;2
205.54;0.01;1
210.12;0.01;1
212.5;0.01;1
213.6;0.01;1
214.78;0.07;1
216.05;0.01;1
217.22;0.01;1
218.22;0.01;1
219.34;0.01;1
220.42;0.07;1
221.46;0;2
222.46;0;1
223.56;0;1
224.56;0;1
227.56;0.08;1
228.56;0.01;2
231.56;0.08;1
232.56;0.01;1
233.56;0.01;1
237.46;0.08;1
238.65;0.01;1
243.97;0.01;1
246.66;0.09;1
249.74;0.01;1
250.75;0.09;2
252.64;0.02;1
255.38;0.08;1
257.36;0.01;1
259.75;0.01;1
260.8;0.09;2
261.8;0.01;1
262.8;0.09;1
263.84;0.01;2
264.84;0.08;1
265.85;0.01;1
266.98;0.01;1
268.02;0.08;1
269.94;0.01;1
273.66;0.1;1
274.71;0.01;1
275.71;0.01;1
276.71;0.08;1
277.71;0.01;1
281.89;0.1;1
285.15;0.09;1
290.1;0.11;1
291.13;0.09;2
292.44;0.09;1
297.73;0.1;1
299.15;0.01;1
300.18;0.01;1
301.78;0.09;1
302.83;0.1;1
306.23;0.02;1
310.09;0.01;1
312.2;0.01;1
320.11;0.01;1
321.65;0.08;1
322.71;0.1;1
323.74;0.01;2
330.11;0.01;1
331.11;0.01;1
332.15;0.01;1
333.18;0.01;1
334.22;0.01;1
335.31;0.01;1
337.62;0.09;1
340.64;0.01;1
341.66;0.01;1
342.66;0.01;1
343.69;0.07;1
344.71;0.01;1
345.71;0.01;2
346.73;0.08;1
347.73;0.01;2
348.78;0.01;2
349.82;0.08;1
350.82;0.01;2
351.84;0.09;3
353.45;0.11;1
354.45;0.1;1
356.45;0.02;1
359.68;0.02;1
360.71;0.09;1
362.44;0.03;1
364.64;0.1;1
371.84;0.1;1
376.2;0.02;1
377.2;0.1;1
378.22;0.09;2
379.22;0.1;1
380.25;0.1;1
381.25;0.12;1
386.69;0.09;1
387.69;0.09;1
388.9;0.12;1
389.95;0.11;1
391.16;0.11;1
392.26;0.09;1
394.39;0.09;1
401.56;0.1;1
402.72;0.01;1
410.91;0.01;1
412.02;0.08;1
413.19;0.01;1
416.49;0.01;1
417.49;0.01;1
422.11;0.01;1
423.15;0.08;1
425.62;0.01;1
426.62;0.09;1
427.63;0.08;2
428.66;0.01;2
429.66;0.01;2
432.32;0.01;1
447.7;0.08;1
452.46;0.01;1
454.54;0.08;1
455.54;0.01;1
456.63;0.07;1
458.82;0.02;1
460;0.08;1
461.88;0.02;1
465.14;0.1;1
468.73;0.08;1
470.51;0.01;1
471.55;0.08;1
472.66;0.01;1
473.66;0.08;2
474.71;0.01;2
475.75;0.01;2
476.8;0;1
478.34;0.01;1
479.34;0.01;1
480.39;0.01;1
481.39;0.01;1
482.48;0.01;1
483.52;0.01;2
484.52;0.01;3
485.52;0.08;2
486.61;0.01;2
487.7;0;1
488.74;0.01;1
489.79;0;1
490.83;0.08;2
491.88;0.01;1
492.89;0.09;2
493.89;0.01;1
495.43;0.01;1
498.3;0.09;1
501.22;0.02;1
502.23;0.09;2
503.93;0.02;1
508.01;0.08;1
509.06;0.01;2
510.07;0.01;2
511.15;0.09;2
512.27;0.02;1
522.85;0.01;1
524.26;0.08;1
525.26;0.02;1
527.16;0.01;1
528.16;0.08;1
529.34;0.02;1
531.39;0.01;1
532.39;0.01;1
533.39;0.09;2
534.39;0.02;1
535.39;0.08;1
536.44;0.02;2
