#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
58.08;3;58.08;58.08;-1741.92
74.99;1;74.99;74.99;-1725.01
84.98;1;84.98;26.7;-7115.02
92.48;0;92.48;17.73;-7107.52
96.21;2;96.21;21.15;-7103.79
103.21;3;103.21;18.42;-7096.79
114.16;1;114.16;114.16;-1685.84
115.52;0;115.52;115.52;-1684.48
120.33;2;120.33;120.33;-1679.67
124.3;1;124.3;21.04;-7075.7
125.56;0;125.56;20.68;-7074.44
130.37;2;130.37;130.37;-1669.63
134.4;1;134.4;20.14;-7065.6
134.44;3;134.44;76.17;-7065.56
135.65;0;135.65;20.09;-7064.35
140.49;2;140.49;30.1;-7059.51
146.42;3;146.42;146.42;-1653.58
148.05;1;148.05;148.05;-1651.95
150.63;2;65.36;30.26;-7134.64
156.33;3;156.33;156.33;-1643.67
157.46;0;157.46;157.46;-1642.54
158.28;1;158.28;73.02;-1641.72
162.42;2;162.42;162.42;-1637.58
168.39;1;168.39;29.91;-7031.61
176.62;3;176.62;40.97;-7023.38
177.83;0;177.83;39.34;-1622.17
178.39;1;178.39;30.3;-7021.61
186.69;3;186.69;40.18;-7013.31
188.31;1;188.31;29.98;-7011.69
189.7;0;189.7;189.7;-1610.3
196.77;3;196.77;40.18;-7003.23
199.75;0;199.75;21.17;-7000.25
203.69;2;203.69;17.84;-6996.31
208.19;3;208.19;208.19;-1591.81
209.79;0;209.79;19.99;-6990.21
210.63;1;210.63;210.63;-1589.37
215.33;2;215.33;215.33;-1584.67
220.04;0;57.51;20.19;-7142.49
228.27;3;228.27;30.12;-6971.73
231.11;1;231.11;41.41;-6968.89
238.29;3;238.29;30.01;-6961.71
241;1;241;30.33;-6959
241.95;0;241.95;241.95;-1558.05
248.51;3;69.93;20.18;-7130.07
253.38;1;253.38;118.94;-1546.62
255.46;2;255.46;51.28;-6944.54
259.95;3;259.95;125.36;-1540.05
263.28;1;263.28;84.71;-1536.72
265.55;2;265.55;50.18;-6934.45
273.6;1;273.6;84.97;-6926.4
277.6;2;277.6;137;-1522.4
287.78;2;287.78;19.36;-6912.22
289.87;3;289.87;39.92;-6910.13
293.96;1;190.7;51.5;-7009.3
294.7;0;294.7;158.97;-6905.3
298.15;2;111.39;20.51;-7088.61
300.04;3;300.04;40.05;-6899.96
304.78;0;304.78;126.81;-6895.22
308.24;2;23.31;20.4;-7176.69
310.1;3;94.73;20.06;-7105.27
314.88;0;314.88;29.96;-6885.12
321.32;3;321.32;124.5;-6878.68
324.95;0;146.38;30.21;-7053.62
325.15;1;325.15;83.88;-6874.85
331.68;3;134.87;21.2;-7065.13
336.28;0;278;116.19;-6922
336.79;2;196.19;186.12;-7003.81
341.78;3;76.19;20.37;-7123.81
355.43;1;127.1;40.46;-7072.9
366.92;2;366.92;49.78;-6833.08
373.43;3;373.43;27.64;-6826.57
376.35;0;376.35;51.25;-6823.65
376.54;1;376.54;102.9;-6823.46
384.5;3;384.5;135.95;-1415.5
386.43;0;96.39;61.33;-7103.61
388.48;2;388.48;18.93;-6811.52
392.66;1;392.66;129.1;-6807.34
396.48;0;101.74;60.12;-7098.26
400.28;2;400.28;134.69;-6799.72
410.32;2;410.32;101.99;-1389.68
420.66;2;420.66;53.66;-1379.34
423.25;1;423.25;46.34;-6776.75
433.3;1;433.3;48.75;-6766.7
438.42;0;438.42;51.88;-6761.58
444.08;3;369.02;257.32;-1430.98
449.73;0;449.73;207.69;-6750.27
454.23;3;454.23;144.09;-6745.77
460;0;460;145.03;-6740
469.02;1;469.02;113.55;-6730.98
474.5;3;474.5;41.06;-1325.5
479.54;2;479.54;68.88;-6720.46
485.08;3;485.08;40.92;-6714.92
491.21;1;213.57;197.15;-6986.43
495.13;3;495.13;40.85;-6704.87
502.18;2;502.18;339.65;-1297.82
505.27;3;348.67;30.57;-6851.33
508.97;0;124.42;112.39;-7075.58
514.61;2;514.61;114.23;-1285.39
519.47;0;519.47;30.59;-6680.53
521.69;1;258.13;39.64;-6941.87
524.69;2;147.77;19.38;-7052.23
529.53;0;208.11;20.36;-6991.89
537.51;3;537.51;18;-6662.49
539.45;0;34.14;19.94;-7165.86
556.84;1;288.42;123.4;-1511.58
559.07;3;559.07;217.24;-6640.93
566.74;2;77.86;64.33;-7122.14
567.4;0;567.4;27.72;-1232.6
569.5;3;569.5;184.95;-6630.5
577.61;0;426.94;29.44;-1373.06
580;1;580;156.7;-1220
587.64;0;245.81;20.11;-1554.19
589.74;3;475.48;50.05;-6724.52
590.08;1;590.08;20.52;-6609.92
598.09;0;598.09;20.43;-6601.91
599.74;3;289.26;40.29;-6910.74
603.46;2;603.46;182.76;-6596.54
608.12;0;608.12;20.42;-6591.88
611.35;3;611.35;116.18;-6588.65
613.41;2;93.9;18.54;-7106.1
621.28;3;621.28;115.96;-6578.72
626.25;2;626.25;101.51;-6573.75
629.68;0;544.89;191.22;-1255.11
636.3;2;636.3;19.62;-6563.7
638.25;1;638.25;116.52;-6561.75
641.8;3;641.8;41.98;-6558.2
646.71;2;396.76;20.41;-6803.24
648.65;1;143.34;91.77;-1656.66
649.72;0;199.63;189.58;-7000.37
651.94;3;651.94;48.41;-6548.06
658.13;2;658.13;178.4;-6541.87
661.04;1;661.04;191.81;-6538.96
662.13;3;662.13;50.73;-6537.87
679.87;0;679.87;71.23;-6520.13
683.82;3;683.82;94.04;-1116.18
688.54;2;688.54;74.89;-6511.46
692.18;0;692.18;242.09;-1107.82
693.82;3;693.82;18.63;-6506.18
702.2;0;702.2;52.39;-6497.8
703.67;1;95.03;54.95;-1704.97
704.04;3;704.04;20.17;-6495.96
710.49;2;710.49;143.65;-6489.51
713.91;1;97.23;52.82;-1702.77
714.46;3;575.97;20.55;-6624.03
720.83;2;334.3;18.56;-6865.7
722.25;0;722.25;38.39;-6477.75
724.03;1;184.35;48.84;-7015.65
732.37;0;732.37;40.15;-6467.63
736.37;1;736.37;145.95;-6463.63
742.07;3;742.07;100.16;-6457.93
742.33;0;499.86;40.06;-6700.14
746.54;1;746.54;20.33;-6453.46
752.5;3;532.41;100.51;-1267.59
756.33;1;72.46;19.91;-7127.54
758.1;2;758.1;111.34;-6441.9
762.69;3;124.39;30.24;-7075.61
774.14;0;774.14;31.6;-6425.86
778.04;1;344.6;64.04;-1455.4
786.17;0;362.87;177.99;-1437.13
788.23;1;788.23;30.26;-6411.77
794.52;3;794.52;132.17;-6405.48
796.12;0;796.12;21.81;-6403.88
798.51;1;354.34;20.28;-6845.66
807.15;0;807.15;127.23;-6392.85
808.19;2;808.19;60.26;-991.81
808.83;1;306.43;20.56;-6893.57
818.6;2;818.6;60.43;-6381.4
820.61;1;360.47;182.31;-1439.53
828.55;2;828.55;20.31;-6371.45
837.07;0;837.07;104.63;-6362.93
848.79;2;648.94;30.13;-6551.06
850.93;1;850.93;38.66;-6349.07
859.32;3;859.32;106.77;-6340.68
861.08;1;725.43;40.22;-6474.57
871.25;1;391.52;20.07;-6808.48
876.88;0;603.24;48.18;-6596.76
879.44;3;195.57;40.03;-7004.43
880.88;2;406.18;192.22;-6793.82
882.57;1;161.69;158.16;-1638.31
889.48;3;187.21;30.12;-7012.79
890.8;2;890.8;169.92;-6309.2
892.87;1;160.42;136.24;-7039.58
893.61;0;583.47;86.11;-6616.53
899.52;3;48.34;20.04;-7151.66
909.34;3;28.42;19.82;-7171.58
911.26;2;911.26;60.08;-6288.74
912.83;1;528.28;38.89;-6671.72
913.96;0;913.96;31.28;-6286.04
923.15;1;170.6;40.47;-7029.4
924.01;0;924.01;30.35;-6275.99
