#TimeStamp;Bot;Pod;OutputStation
47.88;4;473;3
55.07;0;778;1
64.31;5;232;0
65.12;0;778;1
69.43;14;401;2
75.16;0;778;1
76.42;23;36;0
82.24;17;326;3
82.58;13;6;2
86.31;23;36;0
92.52;17;326;3
92.61;13;6;2
92.66;3;358;1
96.41;23;36;0
102.26;17;326;3
102.7;3;358;1
104.4;11;779;2
108.05;10;626;0
114.75;11;779;2
114.75;25;549;3
114.87;18;215;1
118.06;10;626;0
124.82;25;549;3
124.87;11;779;2
124.92;18;215;1
129.96;8;409;0
134.92;11;779;2
135.24;18;215;1
136.1;6;63;3
140.15;8;409;0
145.15;11;779;2
145.29;18;215;1
146.15;6;63;3
150.23;8;409;0
155.71;18;215;1
156.31;6;63;3
156.35;7;387;2
160.68;8;409;0
166.16;6;63;3
166.51;7;387;2
168.1;19;177;1
171.01;8;409;0
176.35;6;63;3
176.83;7;387;2
178.1;19;177;1
182.71;16;201;0
186.77;6;63;3
186.96;7;387;2
188.15;19;177;1
192.75;16;201;0
196.91;6;63;3
197.1;7;387;2
198.49;19;177;1
202.82;16;201;0
207.52;7;387;2
208.55;19;177;1
209.11;4;247;3
213.87;5;564;0
218.6;19;177;1
219.11;14;474;2
219.41;4;247;3
223.97;5;564;0
229.14;14;474;2
229.45;4;247;3
231.15;3;468;1
234.15;5;564;0
239.18;14;474;2
239.84;4;247;3
241.21;3;468;1
244.18;5;564;0
249.23;14;474;2
250.66;17;357;3
251.34;3;468;1
255.66;23;391;0
259.27;14;474;2
260.9;17;357;3
261.36;3;468;1
266.05;23;391;0
270.94;17;357;3
271.38;13;293;2
271.45;3;468;1
276.38;23;391;0
281.05;17;357;3
281.45;13;293;2
283.39;0;618;1
286.47;23;391;0
291.46;13;293;2
291.46;17;357;3
293.47;0;618;1
298.18;10;66;0
301.38;13;293;2
303.31;0;618;1
303.92;25;139;3
308.39;10;66;0
311.5;13;293;2
313.39;0;618;1
313.99;25;139;3
318.27;10;66;0
321.55;13;293;2
323.51;0;618;1
324.06;25;139;3
328.48;10;66;0
331.61;13;293;2
333.6;0;618;1
335.21;6;167;3
338.48;10;66;0
341.53;13;293;2
345.44;6;167;3
346.12;18;121;1
348.52;10;66;0
354.45;11;340;2
355.52;6;167;3
356.28;18;121;1
358.57;10;66;0
366.49;18;121;1
368.63;10;66;0
372.77;7;486;2
376.58;18;121;1
380.1;16;361;0
383.1;7;486;2
386.43;18;121;1
390.14;16;361;0
393.14;7;486;2
396.72;18;121;1
399.65;4;510;3
401.37;8;193;0
403.19;7;486;2
409.76;4;510;3
411.74;8;193;0
413.27;7;486;2
415.63;19;61;1
420;4;510;3
421.55;8;193;0
423.32;7;486;2
425.68;19;61;1
430.18;4;510;3
431.82;8;193;0
433.51;7;486;2
