#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;4;4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/9,1/6,2/7,3/6;0/0,1/0,2/0,3/0;0/9,1/6,2/7,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0
59.86;0;0;4;4;0/59.86,1/59.86,2/59.86,3/59.86;0/59.86,1/55.08,2/49.89,3/50.04;0/59.86,1/59.86,2/59.86,3/59.86;0/59.86,1/59.86,2/59.86,3/59.86;0/0,1/0,2/0,3/0;0/2,1/0,2/2,3/1;0/21,1/22,2/17,3/19;0/9,1/6,2/6,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/1,2/1,3/1
119.92;0;8;4;4;0/80.61,1/76.11,2/82.93,3/82.55;0/67.32,1/65.48,2/70.45,3/67.45;0/119.92,1/119.92,2/119.92,3/119.92;0/119.92,1/119.92,2/119.92,3/119.92;0/0,1/8,2/10,3/12;0/0,1/0,2/0,3/0;0/25,1/25,2/23,3/27;0/6,1/5,2/5,3/3;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/2,1/2,2/2,3/2;0/5,1/5,2/4,3/4;0/6,1/6,2/5,3/6
179.86;2;13;4;4;0/90.47,1/77.82,2/92.41,3/83.23;0/71.07,1/69.28,2/74.86,3/71.08;0/179.86,1/179.86,2/179.86,3/179.86;0/179.86,1/179.86,2/179.86,3/179.86;0/0,1/8,2/10,3/12;0/0,1/0,2/0,3/0;0/20,1/19,2/18,3/21;0/5,1/5,2/5,3/4;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/0,2/1,3/0;0/3,1/3,2/4,3/3;0/10,1/11,2/9,3/10;0/12,1/12,2/11,3/11
239.78;4;16;4;4;0/92.17,1/87.47,2/93.61,3/94.54;0/74.38,1/76.03,2/76.74,3/73.79;0/239.78,1/239.78,2/239.78,3/239.78;0/239.78,1/239.78,2/239.78,3/239.78;0/0,1/10,2/9,3/12;0/0,1/1,2/0,3/1;0/21,1/24,2/21,3/28;0/7,1/8,2/3,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/1,2/1,3/1;0/4,1/4,2/4,3/4;0/16,1/16,2/15,3/15;0/17,1/17,2/17,3/17
299.88;6;23;4;4;0/93.67,1/89.1,2/118.22,3/104.1;0/79.36,1/78.25,2/81.58,3/77.3;0/299.88,1/299.88,2/299.88,3/299.88;0/299.88,1/299.88,2/299.88,3/299.88;0/0,1/10,2/7,3/12;0/0,1/0,2/1,3/0;0/16,1/18,2/24,3/23;0/7,1/5,2/7,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/1,2/2,3/2;0/6,1/5,2/6,3/6;0/21,1/22,2/19,3/20;0/23,1/23,2/23,3/23
359.87;8;27;4;4;0/103.06,1/110.52,2/118.98,3/105.16;0/80.32,1/83.48,2/83.78,3/83.19;0/359.87,1/359.87,2/359.87,3/359.87;0/359.87,1/359.87,2/359.87,3/359.87;0/0,1/9,2/7,3/8;0/0,1/2,2/3,3/0;0/19,1/23,2/18,3/25;0/6,1/8,2/9,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/2,1/2,2/2,3/2;0/6,1/7,2/7,3/7;0/27,1/26,2/25,3/26;0/29,1/29,2/28,3/28
419.96;9;31;4;4;0/111.96,1/124.01,2/153.6,3/113.04;0/94.07,1/84.92,2/95.47,3/86.57;0/419.96,1/419.96,2/419.96,3/419.96;0/419.96,1/419.96,2/419.96,3/419.96;0/9,1/9,2/7,3/8;0/2,1/3,2/1,3/1;0/23,1/19,2/16,3/20;0/8,1/8,2/6,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/3,1/2,2/2,3/2;0/7,1/7,2/9,3/8;0/32,1/30,2/27,3/31;0/33,1/34,2/33,3/34
479.78;12;35;4;4;0/115.75,1/128.87,2/167.87,3/123.38;0/102.66,1/105.11,2/154.13,3/125.14;0/479.78,1/479.78,2/479.78,3/479.78;0/479.78,1/479.78,2/479.78,3/479.78;0/0,1/9,2/7,3/8;0/0,1/1,2/0,3/0;0/18,1/22,2/18,3/23;0/5,1/5,2/8,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/3,1/3,2/3,3/3;0/8,1/9,2/9,3/9;0/37,1/36,2/32,3/37;0/39,1/39,2/33,3/36
539.92;13;40;4;4;0/140.4,1/145.55,2/184.39,3/124.74;0/110.61,1/126.5,2/167.54,3/129.3;0/539.92,1/539.92,2/539.92,3/539.92;0/539.92,1/539.92,2/539.92,3/539.92;0/6,1/9,2/7,3/15;0/0,1/0,2/0,3/0;0/20,1/18,2/14,3/24;0/7,1/6,2/5,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/4,1/3,2/3,3/3;0/10,1/10,2/10,3/10;0/41,1/40,2/36,3/43;0/44,1/42,2/38,3/42
599.97;16;46;4;4;0/147.59,1/186.15,2/191.73,3/147.91;0/114.78,1/137.22,2/171.6,3/132.58;0/599.97,1/599.97,2/599.97,3/599.97;0/599.97,1/599.97,2/599.97,3/599.97;0/0,1/9,2/7,3/7;0/0,1/0,2/1,3/3;0/15,1/25,2/17,3/21;0/5,1/5,2/6,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/4,1/4,2/4,3/4;0/12,1/12,2/11,3/11;0/46,1/42,2/42,3/46;0/50,1/47,2/44,3/48
