#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
74.86;15;116;3;74.86;74.81
75.17;21;445;1;75.17;75.13
80.46;2;751;0;80.46;80.42
85.02;15;116;3;85.02;84.97
85.22;21;445;1;85.22;85.17
90.57;2;751;0;90.57;90.53
95.06;15;116;3;95.06;95.02
95.22;21;445;1;95.22;95.17
99.15;22;52;2;99.15;99.11
100.61;2;751;0;100.61;100.57
105.1;15;116;3;105.1;105.06
105.26;21;445;1;105.26;105.22
109.2;22;52;2;109.2;109.15
110.66;2;751;0;110.66;110.61
115.15;15;116;3;115.15;115.1
115.31;21;445;1;115.31;115.26
119.22;22;52;2;119.22;119.18
120.7;2;751;0;120.7;120.66
125.19;15;116;3;125.19;125.15
125.35;21;445;1;125.35;125.31
129.27;22;52;2;129.27;129.22
130.72;2;751;0;130.72;130.68
135.24;15;116;3;135.24;135.19
135.4;21;445;1;135.4;135.35
139.31;22;52;2;139.31;139.27
140.76;2;751;0;140.76;140.72
145.27;15;116;3;145.27;145.23
145.44;21;445;1;145.44;145.4
149.32;22;52;2;149.32;149.27
150.81;2;751;0;150.81;150.76
155.32;15;116;3;155.32;155.27
155.49;21;445;1;155.49;155.44
159.36;22;52;2;159.36;159.32
160.85;2;751;0;160.85;160.81
165.36;15;116;3;165.36;165.32
165.53;21;445;1;165.53;165.49
169.36;22;52;2;169.36;169.32
175.4;15;116;3;175.4;175.36
175.54;21;445;1;175.54;175.5
179.68;1;234;0;179.68;179.63
185.59;21;445;1;185.59;185.54
188.44;12;67;2;188.44;188.39
189.91;1;234;0;189.91;189.87
193.75;20;48;3;193.75;193.71
198.81;12;67;2;198.81;198.77
199.96;1;234;0;199.96;199.91
203.88;20;48;3;203.88;203.84
204.85;24;465;1;204.85;204.81
208.85;12;67;2;208.85;208.81
210;1;234;0;210;209.96
213.93;20;48;3;213.93;213.88
215;24;465;1;215;214.96
218.9;12;67;2;218.9;218.85
220.05;1;234;0;220.05;220
223.96;20;48;3;223.96;223.91
225.05;24;465;1;225.05;225
228.94;12;67;2;228.94;228.9
230.09;1;234;0;230.09;230.05
234;20;48;3;234;233.95
235.09;24;465;1;235.09;235.05
238.99;12;67;2;238.99;238.94
240.14;1;234;0;240.14;240.09
244.03;20;48;3;244.03;243.99
245.14;24;465;1;245.14;245.09
249.03;12;67;2;249.03;248.99
250.17;1;234;0;250.17;250.12
254.08;20;48;3;254.08;254.03
255.17;24;465;1;255.17;255.12
259.08;12;67;2;259.08;259.03
260.21;1;234;0;260.21;260.17
264.11;20;48;3;264.11;264.06
265.21;24;465;1;265.21;265.17
269.12;12;67;2;269.12;269.08
270.25;1;234;0;270.25;270.21
275.25;24;465;1;275.25;275.21
280.3;1;234;0;280.3;280.25
285.3;24;465;1;285.3;285.25
287.52;22;497;2;287.52;168.25
290.34;1;234;0;290.34;290.3
295.34;24;465;1;295.34;295.3
297.57;22;497;2;297.57;178.3
307.61;22;497;2;307.61;188.34
309;9;462;0;309;189.73
317.65;22;497;2;317.65;198.38
319.32;9;462;0;319.32;200.05
322.36;15;736;3;322.36;207.17
327.7;22;497;2;327.7;208.43
329.36;9;462;0;329.36;210.1
332.44;15;736;3;332.44;217.24
337.74;22;497;2;337.74;218.47
339.39;9;462;0;339.39;220.12
342.48;15;736;3;342.48;227.29
347.78;22;497;2;347.78;228.51
349.43;9;462;0;349.43;230.16
352.53;15;736;3;352.53;237.33
357.79;22;497;2;357.79;238.52
359.48;9;462;0;359.48;240.21
362.54;15;736;3;362.54;247.35
364.47;21;515;1;364.47;129.34
367.83;22;497;2;367.83;248.56
369.52;9;462;0;369.52;250.25
372.59;15;736;3;372.59;257.39
374.69;21;515;1;374.69;139.56
377.88;22;497;2;377.88;258.61
379.56;9;462;0;379.56;260.29
382.59;15;736;3;382.59;267.39
384.74;21;515;1;384.74;149.6
387.92;22;497;2;387.92;268.65
392.63;15;736;3;392.63;277.44
394.78;21;515;1;394.78;159.65
397.96;2;410;0;397.96;187.91
397.96;22;497;2;397.96;278.69
402.65;15;736;3;402.65;287.46
404.82;21;515;1;404.82;169.69
408;2;410;0;408;197.95
412.69;15;736;3;412.69;297.5
414.87;21;515;1;414.87;179.73
416.54;12;200;2;416.54;197.6
418.04;2;410;0;418.04;208
424.91;21;515;1;424.91;189.78
426.58;12;200;2;426.58;207.64
428.06;2;410;0;428.06;218.01
431.81;20;499;3;431.81;227.88
434.96;21;515;1;434.96;199.82
436.63;12;200;2;436.63;217.68
438.11;2;410;0;438.11;228.06
442.02;20;499;3;442.02;238.09
445;21;515;1;445;209.87
446.67;12;200;2;446.67;227.73
448.15;2;410;0;448.15;238.1
452.06;20;499;3;452.06;248.13
455.05;21;515;1;455.05;219.91
456.69;12;200;2;456.69;237.74
458.19;2;410;0;458.19;248.15
462.11;20;499;3;462.11;258.18
466.73;12;200;2;466.73;247.79
468.23;2;410;0;468.23;258.18
472.15;20;499;3;472.15;268.22
474.35;24;561;1;474.35;355.08
476.77;12;200;2;476.77;257.83
478.27;2;410;0;478.27;268.22
482.19;20;499;3;482.19;278.27
484.59;24;561;1;484.59;365.32
488.31;2;410;0;488.31;278.27
492.24;20;499;3;492.24;288.31
494.59;24;561;1;494.59;375.32
498.36;2;410;0;498.36;288.31
502.28;20;499;3;502.28;298.36
504.64;24;561;1;504.64;385.37
508.4;2;410;0;508.4;298.35
512.33;20;499;3;512.33;308.4
514.68;24;561;1;514.68;395.41
524.73;24;561;1;524.73;405.46
526.54;1;71;0;526.54;207.17
