#TimeStamp;Runtime;Requests
0.88;0.1;26
1.88;0.25;3
2.88;0.21;1
7.59;0.03;2
9.01;0.04;2
10.37;0.02;2
11.41;0.08;3
12.41;0.08;2
13.54;0.02;1
14.59;0.02;1
17.29;0.02;1
18.47;0.11;1
19.51;0.08;1
20.86;0.09;1
21.87;0.01;2
22.9;0.01;6
23.9;0.01;3
24.9;0.01;2
25.92;0;3
26.92;0.01;4
27.96;0;1
29;0.01;2
30.05;0.02;2
31.08;0.07;5
32.08;0.02;1
33.17;0.02;1
34.21;0.01;3
35.21;0.01;2
36.21;0.01;4
37.25;0.01;3
38.25;0.02;3
39.25;0.07;3
40.3;0.12;2
41.31;0.16;2
42.4;0.02;1
43.45;0.01;1
44.81;0.02;4
45.82;1;4
47.87;0.33;1
49.33;0.28;1
51.24;0.1;1
52.24;0.1;1
53.29;0.09;2
54.29;0.07;2
55.29;0.22;2
56.38;0.23;2
57.38;0.22;3
58.38;0.2;2
59.42;0.21;2
60.42;0.23;3
61.6;0.22;3
62.65;0.36;4
63.69;0.3;4
64.73;0.21;4
65.78;0.11;3
66.78;0.04;3
67.78;0.04;3
68.78;0.03;3
69.92;0.03;3
70.96;0.03;3
72.01;0.03;3
73.05;0.05;4
74.09;0.04;4
75.13;0.03;3
76.13;0.03;2
77.13;0.02;1
78.48;0.02;1
89.19;0.02;1
90.8;0.01;1
97.81;0.02;2
100.66;0.01;1
102.02;0.01;1
103.06;0.02;1
114.82;0.01;1
120;0.01;1
121;0.01;2
122.15;0.01;3
123.15;0.01;1
124.23;0.01;1
125.24;0.01;2
129.31;0.01;1
130.76;0.01;1
131.76;0.01;1
132.76;0.01;1
133.77;0;1
134.77;0.01;2
135.82;0.01;1
136.82;0.01;1
137.91;0.01;1
138.91;0.01;1
140;0.01;1
141.23;0.01;1
149.85;0.01;1
150.85;0.01;2
153.51;0.01;1
159.4;0.01;1
160.65;0.01;1
162.45;0.01;1
171.24;0;1
172.78;0;1
174.87;0;1
175.87;0.01;1
179.38;0;1
180.4;0.01;2
183.89;0.01;1
185.59;0.01;1
186.68;0.01;1
190.63;0.01;1
191.63;0.01;2
194.85;0.01;1
196;0.01;1
197;0.01;3
198;0.01;1
199.05;0.01;1
200.09;0.01;1
201.14;0.01;2
202.14;0.01;1
203.19;0.01;3
206.38;0.01;1
207.88;0.01;1
208.9;0.01;1
210;0.01;2
211.81;0.01;1
212.88;0.01;1
213.88;0.01;1
214.9;0.01;1
215.96;0.01;1
216.96;0.01;1
218;0.01;1
223.16;0.01;1
224.96;0.01;1
225.96;0.01;1
227.14;0.01;1
228.57;0.01;1
235.83;0.01;1
236.88;0.01;2
246.95;0.01;1
255.93;0.01;1
256.96;0.01;2
258.51;0.01;1
260.93;0.01;1
262.56;0.01;1
266.21;0.01;1
268.51;0.01;1
273.2;0.01;1
274.51;0.01;1
276.14;0.01;1
277.3;0.01;1
279.51;0.01;1
288.43;0.01;1
289.72;0.01;1
294.75;0.01;1
295.79;0.01;1
297.74;0.01;1
299.18;0.01;1
300.18;0.01;2
301.18;0.01;1
302.18;0.01;2
305.59;0.01;1
306.59;0.01;2
311.08;0.01;1
312.23;0.01;1
313.23;0.01;1
330.08;0;1
331.08;0.01;2
332.11;0.02;4
333.12;0.01;1
334.16;0.01;1
335.16;0.01;1
336.16;0.01;1
337.21;0.01;3
338.21;0.01;1
339.3;0.01;2
340.3;0.01;1
341.55;0.02;2
342.7;0.02;1
343.73;0.01;1
344.79;0.02;1
345.79;0.02;1
346.89;0.02;2
347.89;0.02;2
349.02;0.02;1
350.02;0.03;3
351.05;0.02;2
354.54;0.02;1
356.74;0.01;1
357.74;0.02;1
359.69;0.01;1
360.72;0.01;1
361.76;0.01;1
362.81;0.01;1
364.01;0.01;1
365.23;0.02;1
366.23;0.02;1
367.36;0.02;1
368.47;0.05;2
369.52;0.02;3
370.55;0.02;1
371.93;0.02;1
373.16;0.02;2
374.21;0.02;2
375.23;0.02;1
378.61;0.01;1
379.61;0.02;1
381.35;0.02;1
384.74;0.03;1
385.93;0.02;1
387.77;0.03;1
390.08;0.03;1
392.4;0.04;1
393.42;0.03;1
394.42;0.02;1
397.87;0.02;1
398.91;0.03;1
400.66;0.03;1
401.7;0.03;1
402.91;0.02;1
403.92;0.02;1
405.08;0.08;2
406.19;0.08;1
407.58;0.14;2
408.58;0.08;2
409.58;0.08;1
410.67;0.03;3
411.72;0.02;1
416.58;0.03;1
420.18;0.02;1
422.24;0.01;1
423.24;0.01;1
424.26;0.01;1
425.26;0.01;1
426.28;0.01;2
427.28;0.01;3
428.37;0.01;2
429.42;0.01;2
430.42;0.01;2
431.47;0.01;2
432.51;0.01;2
433.54;0.01;3
434.58;0.01;1
437.19;0.01;1
438.4;0.01;1
443.56;0.01;1
448.42;0.01;1
449.46;0.01;1
450.47;0.01;1
455.37;0.01;1
457.42;0.01;1
458.46;0.01;1
462.88;0.01;1
465.22;0.01;1
469.13;0.01;1
472.88;0.01;1
476.27;0.01;1
485.72;0;1
486.74;0.01;1
487.77;0.01;4
488.8;0.01;1
489.89;0.01;1
494.02;0.02;1
495.02;0.01;1
496.16;0.01;1
503.89;0;1
507.16;0.01;1
509.2;0.01;1
511.07;0.01;1
512.11;0.01;1
513.16;0.02;1
514.16;0.01;1
515.49;0.01;1
516.49;0.01;1
518.68;0.01;1
522.58;0.01;1
524.77;0.01;1
531.16;0.01;1
532.16;0.02;3
533.2;0.01;2
534.2;0.01;3
535.23;0.02;1
536.25;0.02;2
537.25;0.01;2
538.25;0.02;3
539.25;0.01;2
540.34;0.01;2
541.38;0.09;3
542.4;0.02;1
543.4;0.1;1
544.58;0.09;2
545.58;0.02;1
546.62;0.08;1
547.62;0.02;2
548.73;0.09;2
549.77;0.02;2
550.82;0.09;3
551.86;0.1;4
552.91;0.09;3
553.95;0.02;3
555;0.08;3
556.04;0.09;4
557.04;0.02;3
558.06;0.1;3
559.1;0.09;3
560.11;0.02;3
561.11;0.02;3
562.15;0.08;3
563.19;0.02;3
564.29;0.08;3
565.38;0.12;7
566.38;0.02;4
567.42;0.1;4
568.46;0.1;4
569.5;0.02;4
570.55;0.1;4
571.59;0.02;4
572.64;0.08;4
573.68;0.02;4
574.72;0.1;3
575.77;0.02;3
576.8;0.1;3
577.85;0.02;3
578.89;0.11;4
579.94;0.01;4
580.98;0.09;4
582.02;0.01;4
583.07;0.09;4
584.11;0.01;4
585.16;0.01;4
586.2;0.02;4
587.2;0.08;5
588.2;0.01;5
589.2;0.09;4
590.2;0.01;4
591.4;0.01;3
592.44;0.01;4
593.48;0.01;3
594.53;0.01;3
595.57;0.01;3
596.62;0.08;4
597.66;0.01;4
598.71;0.09;5
599.71;0.01;4
600.8;0.02;5
601.8;0.08;4
602.8;0.09;10
603.88;0.02;5
604.91;0.09;5
606.02;0.09;5
607.06;0.09;6
608.06;0.09;5
609.06;0.02;6
610.06;0.02;7
611.06;0.09;7
612.08;0.02;7
613.13;0.09;7
614.17;0.09;8
615.17;0.03;7
616.17;0.08;7
617.2;0.02;7
