#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.33
59.98;200;200;59.94;53.15;59.98;59.98;0.29;0.34
120;200;200;77.97;91.24;120;120;0.3;0.29
179.8;200;200;126.75;76.89;179.8;174.84;0.3;0.31
239.83;200;200;108.67;70.41;239.83;235.15;0.31;0.47
299.72;200;200;136.41;67.01;299.72;279.8;0.31;0.39
359.98;200;200;121.52;80.63;359.98;316.19;0.3;0.35
419.92;200;200;150.65;52.68;419.92;352.26;0.31;0.41
479.61;200;200;128.93;59.57;479.6;419.1;0.27;0.49
539.99;200;200;138.54;70.12;539.97;441.37;0.25;0.4
599.99;200;200;153.37;54.14;599.96;464.86;0.27;0.4
659.88;200;200;139.86;68.49;659.84;538.61;0.28;0.42
719.94;200;200;125.26;68.95;697.92;521.38;0.31;0.4
779.9;200;200;130.83;70.9;723.51;531.94;0.31;0.35
839.93;200;200;164.58;60.92;764.93;531.73;0.34;0.31
899.96;200;200;151.63;55.2;763.63;654.91;0.33;0.32
959.99;200;200;148.06;50.71;767.54;583.32;0.35;0.34
1019.97;200;200;180.03;77.01;800.12;693.32;0.34;0.31
1079.93;200;200;214.96;80.18;830.2;581.94;0.36;0.24
1139.93;200;200;182.84;72.39;807.28;787.57;0.39;0.28
1199.7;200;200;222.34;82.88;844.68;838.26;0.42;0.4
1259.96;200;200;211.21;89.91;832.54;675.02;0.4;0.5
1319.98;200;200;210.14;84.63;823.55;789.53;0.38;0.45
1379.8;200;200;215.13;82.97;829.37;979.69;0.38;0.35
1439.84;200;200;207.16;56.25;825.05;965.21;0.38;0.32
1499.89;200;200;211.74;68.2;831.3;978.37;0.37;0.27
1559.94;200;200;227.82;70.71;848.47;1053.86;0.39;0.24
1619.58;200;200;237.65;71.58;857.42;1142.11;0.4;0.3
1679.66;200;200;266.35;90.98;881.9;1270.08;0.4;0.34
1739.98;200;200;298.67;95.2;913.4;1297.11;0.37;0.32
1799.78;200;200;357.82;73.68;965.6;1108.42;0.35;0.29
