#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;151.05;0.71;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.17,RP/0
59.98;147.19;16.09;PP/5.62,TA/8.85,IS/0,PS/0.98,RB/0.02,OB/0.17,RP/0
120;147.23;23.62;PP/10.25,TA/11.68,IS/0,PS/3.8,RB/0.02,OB/0.18,RP/0
179.8;147.73;28.31;PP/10.78,TA/15.46,IS/0,PS/5.83,RB/0.02,OB/0.19,RP/0
239.83;147.76;31.93;PP/11.89,TA/17.74,IS/0,PS/6.48,RB/0.02,OB/0.19,RP/0
299.72;148.7;35.22;PP/12.98,TA/19.64,IS/0,PS/6.78,RB/0.02,OB/0.2,RP/0
359.98;148.88;38.29;PP/13.96,TA/21.57,IS/0,PS/7.14,RB/0.02,OB/0.21,RP/0
419.92;148.96;40.02;PP/14.79,TA/22.28,IS/0,PS/7.29,RB/0.02,OB/0.22,RP/0
479.61;149.5;42.07;PP/15.62,TA/23.21,IS/0,PS/7.4,RB/0.02,OB/0.22,RP/0
539.99;149.63;45;PP/17.8,TA/23.83,IS/0,PS/7.68,RB/0.02,OB/0.29,RP/0
599.99;149.62;49.02;PP/19.03,TA/26.34,IS/0.01,PS/7.74,RB/0.02,OB/0.3,RP/0
659.88;149.15;51.09;PP/20.45,TA/26.8,IS/0.01,PS/7.98,RB/0.02,OB/0.31,RP/0
719.94;149.78;52.66;PP/21.16,TA/27.54,IS/0.01,PS/8.11,RB/0.02,OB/0.31,RP/0
779.9;150.07;56.02;PP/22.25,TA/29.45,IS/0.01,PS/8.27,RB/0.02,OB/0.32,RP/0
839.93;150.09;57.71;PP/22.76,TA/30.44,IS/0.01,PS/8.47,RB/0.02,OB/0.33,RP/0
899.96;150.08;59.93;PP/23.83,TA/31.43,IS/0.01,PS/8.63,RB/0.02,OB/0.34,RP/0
959.99;149.69;61.62;PP/24.51,TA/32.27,IS/0.01,PS/8.75,RB/0.02,OB/0.35,RP/0
1019.97;149.82;63.75;PP/26.18,TA/32.57,IS/0.01,PS/9.04,RB/0.02,OB/0.35,RP/0
1079.93;150.13;65.11;PP/27.18,TA/32.77,IS/0.01,PS/9.17,RB/0.02,OB/0.36,RP/0
1139.93;150.39;66.58;PP/28.18,TA/33.12,IS/0.01,PS/9.23,RB/0.02,OB/0.37,RP/0
1199.7;150.62;68.28;PP/29.33,TA/33.54,IS/0.01,PS/9.31,RB/0.02,OB/0.39,RP/0
1259.96;150.85;69.96;PP/30.42,TA/34.03,IS/0.01,PS/9.42,RB/0.02,OB/0.39,RP/0
1319.98;151.6;71.75;PP/31.94,TA/34.21,IS/0.01,PS/9.48,RB/0.02,OB/0.4,RP/0
1379.8;151.67;72.28;PP/32.23,TA/34.37,IS/0.01,PS/9.55,RB/0.02,OB/0.41,RP/0
1439.84;151.55;72.9;PP/32.54,TA/34.59,IS/0.01,PS/9.64,RB/0.02,OB/0.41,RP/0
1499.89;151.41;73.71;PP/32.91,TA/34.94,IS/0.01,PS/9.7,RB/0.02,OB/0.42,RP/0
1559.94;151.46;74.4;PP/33.44,TA/35.05,IS/0.01,PS/9.74,RB/0.02,OB/0.43,RP/0
1619.58;151.98;74.95;PP/33.76,TA/35.22,IS/0.01,PS/9.77,RB/0.02,OB/0.43,RP/0
1679.66;152.12;75.47;PP/34.04,TA/35.39,IS/0.01,PS/9.82,RB/0.02,OB/0.44,RP/0
1739.98;151.88;76.19;PP/34.61,TA/35.48,IS/0.01,PS/9.86,RB/0.02,OB/0.44,RP/0
1799.78;152.15;76.81;PP/34.98,TA/35.67,IS/0.01,PS/9.92,RB/0.03,OB/0.44,RP/0
