#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.33
60;200;200;59.95;47.02;60;60;0.29;0.34
119.82;200;200;78.92;58.34;119.82;113.76;0.3;0.38
179.79;200;200;112.55;50;179.79;173.36;0.32;0.41
239.97;200;200;109.2;46.17;239.97;226.76;0.32;0.5
299.96;200;200;109.38;43.28;299.96;247.29;0.29;0.45
359.7;200;200;126.6;38.97;359.7;316.09;0.31;0.41
419.8;200;200;118.37;40.46;419.78;334.06;0.3;0.42
479.74;200;200;127.75;55.69;479.71;410.23;0.29;0.32
539.92;200;200;141.97;47.43;539.88;435.48;0.3;0.36
599.99;200;200;128.65;49.32;584.67;527.65;0.32;0.37
659.88;200;200;130.2;48.06;633.45;404.56;0.32;0.38
719.9;200;200;145.88;41.62;660.27;507.64;0.32;0.41
779.96;200;200;149.15;48.75;670.36;538.72;0.29;0.33
839.75;200;200;171.98;38.5;691.5;558.46;0.3;0.32
899.64;200;200;180.82;58.21;708.61;500.59;0.3;0.32
959.88;200;200;178.46;51.29;710.93;584.18;0.3;0.38
1019.83;200;200;160.49;50;709.48;693.06;0.29;0.42
1079.97;200;200;157.17;47.07;717;731.25;0.28;0.34
1139.96;200;200;166.55;32.6;733.16;589.76;0.33;0.46
1199.97;200;200;179.73;43.14;749.44;899.47;0.33;0.32
1259.84;200;200;194.34;58.68;765.7;800.49;0.29;0.29
1319.96;200;200;154.3;53.34;745.76;862.57;0.29;0.3
1379.96;200;200;175.26;65.47;775.59;890.71;0.28;0.31
1439.98;200;200;180.8;53.83;786.17;960.04;0.3;0.27
1499.88;200;200;182.16;41.81;790.05;1144.51;0.3;0.29
1559.94;200;200;163.51;35.47;774.38;788.62;0.27;0.26
1619.95;200;200;170.91;45.86;774.32;999.71;0.3;0.3
1679.94;200;200;207.58;37.07;802.97;974.4;0.3;0.32
1739.88;200;200;216.89;33.59;810.45;807.2;0.34;0.32
1799.98;200;200;234.45;62.87;832.91;908.83;0.35;0.34
1859.77;200;200;236.26;55.02;833.15;799.78;0.32;0.31
1919.91;200;200;271.96;56.25;868.39;775.96;0.33;0.27
1979.92;200;200;237.79;65.39;840.44;859.5;0.29;0.31
2039.81;200;200;229.15;46.43;838.05;963.05;0.28;0.31
2099.82;200;200;197.23;73.86;815.79;956.02;0.31;0.28
2159.9;200;200;196.77;68.85;819.19;854.73;0.29;0.33
