#TimeStamp;Runtime;Requests
0.88;0.6;26
1.88;0.03;1
5.3;0.05;1
10.68;0.01;1
13.2;0.01;1
14.32;0.01;1
15.37;0;2
16.68;0;2
17.93;0;3
18.98;0.01;2
20;0;1
21.09;0;1
22.13;0;2
23.18;0.01;2
24.22;0;1
25.27;0.02;2
26.31;0.02;3
27.31;0.01;2
28.4;0.02;2
29.44;0.01;1
30.48;0.09;5
31.48;0.3;4
32.53;0.01;3
33.57;0.01;4
34.62;0.13;5
35.62;0.02;2
36.62;0.02;2
37.62;0.05;3
38.62;0.03;3
39.62;0.11;3
40.62;0.13;4
41.62;0.05;2
42.62;1;3
43.62;1;2
44.62;1;1
45.62;0.47;3
46.62;0.47;3
47.62;0.08;2
48.62;1;2
50.98;0.11;1
52.96;0.29;1
53.98;0.1;2
54.98;0.16;2
56.2;0.23;3
57.2;0.23;2
58.2;0.47;2
59.2;0.31;3
60.2;0.36;3
61.27;0.07;4
62.28;0.17;5
63.32;0.11;5
64.37;0.28;6
65.41;0.05;5
66.46;0.02;6
67.5;0.01;5
68.55;0.02;4
69.59;0.09;4
70.63;0.05;4
71.68;0.05;4
72.72;0.08;4
73.73;0.03;4
74.77;0.08;4
75.8;0.04;3
76.8;0.07;3
77.84;0.06;2
78.84;0.05;2
79.91;0.05;1
81;0.05;1
82.41;0.02;1
83.42;0.01;2
84.42;0.01;2
85.46;0.01;5
86.5;0.01;4
87.55;0.01;4
88.57;0.01;2
89.66;0.01;2
90.68;0.01;1
95.46;0.01;1
96.46;0.01;1
97.73;0.01;1
98.77;0.01;1
99.79;0.01;1
100.94;0.01;2
101.97;0.01;2
102.97;0;1
104.21;0.01;2
105.21;0.01;1
106.29;0;1
107.31;0.01;1
111.26;0;1
113.57;0.01;1
120.04;0.01;1
126.66;0;1
128.67;0.01;1
129.68;0;2
130.68;0.01;1
133.42;0.01;1
134.44;0;1
139.31;0.01;1
140.84;0;1
149.03;0;1
150.84;0;1
152.42;0;1
155.72;0.01;1
158.31;0.01;1
159.61;0.01;2
164.45;0;1
166.54;0;1
170.48;0;1
175.65;0;1
178.94;0;1
179.98;0.01;1
183.21;0;1
185.03;0;1
186.03;0;1
187.03;0.01;1
192.69;0.01;1
193.69;0.01;1
194.71;0.01;1
195.71;0.01;1
196.8;0;2
197.8;0;1
199.07;0.01;1
200.46;0;1
201.76;0.01;2
204.03;0;1
207.34;0.01;1
208.36;0.01;2
210.03;0;1
212.22;0;1
213.34;0;1
214.35;0;1
215.49;0;1
216.79;0.01;1
217.89;0;1
218.98;0.01;2
220;0;1
221.12;0;1
222.16;0;1
223.2;0;1
224.25;0;1
225.29;0;1
226.31;0;1
227.36;0.01;2
228.4;0.01;1
232.82;0;1
233.94;0;1
234.98;0;1
235.98;0;2
237.04;0.01;3
238.11;0.01;1
239.12;0.01;2
240.32;0.01;3
241.32;0.01;1
242.51;0.01;2
243.82;0.01;1
244.91;0.01;1
245.96;0.01;1
247;0.01;2
248.13;0.01;1
254.49;0.01;1
255.58;0.01;2
256.92;0.01;1
258.99;0.01;1
265.6;0.01;1
268.17;0.01;1
269.37;0.01;2
270.37;0.01;3
272.41;0.01;1
274.75;0.01;1
275.79;0.01;1
286.61;0.01;1
289.91;0.01;1
290.91;0.01;1
292.42;0.01;1
293.42;0.01;2
295.19;0.01;1
299.72;0.01;1
300.72;0.01;1
302.69;0.01;1
305.77;0.01;1
306.78;0.01;2
308.08;0.01;1
309.1;0.01;1
310.13;0.01;1
316.74;0.01;1
318.66;0;1
321.42;0;1
325.78;0;1
326.78;0;1
327.91;0.01;1
328.91;0.02;2
331.11;0.01;1
332.14;0.01;1
333.89;0;1
338.11;0.01;1
339.89;0.01;1
340.91;0.01;1
