#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;152.25;0.12;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
59.97;162.88;4.54;PP/2.76,TA/1.54,IS/0,PS/0.35,RB/0.01,OB/0.02,RP/0
119.93;158.66;5.29;PP/3.11,TA/1.88,IS/0,PS/0.69,RB/0.01,OB/0.03,RP/0
179.86;158.95;6.31;PP/3.28,TA/2.69,IS/0,PS/0.87,RB/0.01,OB/0.03,RP/0
239.87;159.21;7.2;PP/3.46,TA/3.33,IS/0,PS/1.19,RB/0.01,OB/0.03,RP/0
299.98;159.56;7.8;PP/3.76,TA/3.58,IS/0,PS/1.23,RB/0.01,OB/0.04,RP/0
359.96;159.64;8.47;PP/4.14,TA/3.82,IS/0,PS/1.31,RB/0.01,OB/0.04,RP/0
419.69;159.89;8.95;PP/4.38,TA/4.02,IS/0,PS/1.32,RB/0.01,OB/0.05,RP/0
479.73;159.58;9.39;PP/4.58,TA/4.2,IS/0,PS/1.37,RB/0.01,OB/0.05,RP/0
539.73;160.26;10.64;PP/5.56,TA/4.42,IS/0,PS/1.41,RB/0.01,OB/0.06,RP/0
599.74;161.13;12.03;PP/6.54,TA/4.76,IS/0,PS/1.46,RB/0.01,OB/0.06,RP/0
660;161.3;12.69;PP/6.92,TA/4.99,IS/0,PS/1.52,RB/0.01,OB/0.07,RP/0
719.96;161.78;13.43;PP/7.32,TA/5.29,IS/0,PS/1.59,RB/0.01,OB/0.07,RP/0
780;163.55;14.35;PP/7.91,TA/5.52,IS/0,PS/1.66,RB/0.01,OB/0.07,RP/0
839.77;163.35;15.01;PP/8.33,TA/5.69,IS/0,PS/1.72,RB/0.01,OB/0.08,RP/0
899.91;164.9;15.85;PP/8.78,TA/6.01,IS/0,PS/1.76,RB/0.01,OB/0.09,RP/0
959.99;164.84;16.67;PP/9.2,TA/6.34,IS/0,PS/1.78,RB/0.01,OB/0.09,RP/0
1019.59;164.84;17.17;PP/9.52,TA/6.47,IS/0,PS/1.82,RB/0.01,OB/0.1,RP/0
1079.97;165;17.69;PP/9.8,TA/6.66,IS/0,PS/1.83,RB/0.01,OB/0.1,RP/0
1139.96;165.12;18.49;PP/10.25,TA/6.94,IS/0,PS/1.91,RB/0.01,OB/0.1,RP/0
1199.98;166.66;19.19;PP/10.81,TA/7.02,IS/0,PS/1.94,RB/0.01,OB/0.11,RP/0
1259.71;166.44;19.73;PP/11.18,TA/7.16,IS/0,PS/1.96,RB/0.01,OB/0.11,RP/0
1319.91;167.66;20.02;PP/11.35,TA/7.22,IS/0,PS/2,RB/0.01,OB/0.12,RP/0
1379.96;168.6;20.71;PP/11.85,TA/7.36,IS/0.01,PS/2.04,RB/0.01,OB/0.12,RP/0
1439.99;168.78;21.19;PP/12.11,TA/7.53,IS/0.01,PS/2.07,RB/0.01,OB/0.12,RP/0
1499.98;169.5;21.71;PP/12.46,TA/7.64,IS/0.01,PS/2.11,RB/0.01,OB/0.13,RP/0
1559.98;169.88;22.11;PP/12.68,TA/7.78,IS/0.01,PS/2.13,RB/0.01,OB/0.13,RP/0
1619.85;169.32;22.78;PP/13.15,TA/7.92,IS/0.01,PS/2.16,RB/0.01,OB/0.14,RP/0
1679.97;169.76;23.68;PP/13.78,TA/8.14,IS/0.01,PS/2.2,RB/0.01,OB/0.14,RP/0
1739.89;169.85;24.36;PP/14.22,TA/8.31,IS/0.01,PS/2.22,RB/0.01,OB/0.14,RP/0
1799.97;170.09;24.74;PP/14.46,TA/8.39,IS/0.01,PS/2.28,RB/0.01,OB/0.15,RP/0
