#TimeStamp;TripTime;Type
36;13;O
39;12;O
40;15;O
47;29;O
56;35;O
57;47;O
61;31;I
63;35;O
64;31;I
68;43;I
69;32;O
70;40;O
74;43;I
75;41;O
76;46;O
78;42;O
80;35;I
89;64;O
95;62;I
95;50;O
99;59;O
103;73;O
118;76;I
118;79;O
131;59;I
149;35;O
152;35;O
167;25;O
170;33;O
175;26;O
185;38;I
191;22;O
227;42;O
245;32;O
254;49;O
265;36;O
267;29;O
281;41;O
284;41;O
305;47;O
308;44;I
310;6;O
314;57;I
327;38;O
329;48;I
337;41;O
342;35;O
352;54;O
354;100;O
361;60;O
371;66;I
379;32;O
388;27;I
393;56;I
412;50;I
412;42;O
420;17;O
422;41;O
423;46;O
430;43;I
436;30;O
477;36;O
496;24;O
510;38;O
511;39;O
527;36;O
528;71;O
532;63;O
541;37;O
550;66;I
566;64;O
579;76;I
588;36;O
590;44;O
599;41;O
608;34;O
609;41;O
616;77;I
633;103;I
635;64;O
643;53;O
651;67;I
653;44;O
655;59;I
656;35;O
664;48;O
671;36;O
674;59;I
688;35;O
697;37;O
704;14;O
715;54;O
716;49;O
732;36;I
738;72;I
748;41;I
752;25;O
771;51;O
796;50;I
800;56;O
804;21;O
804;25;O
806;30;O
814;32;I
819;37;O
820;42;I
831;89;O
845;32;O
845;23;O
852;68;O
880;66;I
886;51;O
902;88;O
916;34;O
921;43;I
928;36;O
932;70;O
939;50;I
943;40;O
945;26;O
956;71;I
960;41;O
971;30;O
973;22;O
992;37;O
1002;51;O
1005;15;O
1008;64;I
1009;50;I
1014;80;O
1022;44;O
1025;43;O
1028;41;O
1036;40;I
1051;51;I
1080;49;O
1080;32;O
1084;50;O
1098;55;O
1103;34;O
1114;34;O
1129;33;O
1136;30;O
1140;50;O
1142;41;O
1151;34;O
1159;63;I
1165;67;I
1177;54;I
1191;29;I
1198;24;O
1200;40;O
1208;105;I
1222;61;O
1231;80;O
1240;23;O
1246;45;O
1248;41;O
1254;69;I
1261;79;O
1271;40;O
1280;60;I
1285;14;O
1287;37;O
1288;36;O
1302;67;I
1305;21;O
1328;35;I
1336;36;O
1350;34;O
1353;54;I
1356;35;O
1384;70;O
1385;46;I
1391;16;O
1392;29;O
1406;81;I
1407;58;O
1435;63;I
1437;21;O
1444;33;O
1465;37;I
1469;29;O
1476;75;I
1485;42;O
1486;51;O
1511;25;O
1515;44;O
1515;67;O
1522;69;I
1550;61;O
1550;55;I
1563;53;I
1584;49;O
1596;58;I
1596;32;O
1600;38;O
1603;65;I
1617;31;O
1621;53;O
1642;52;O
1663;55;O
1669;30;O
1674;113;I
1680;58;O
1687;44;O
1690;59;I
1698;61;I
1705;15;O
1720;33;O
1722;34;O
1726;40;I
1731;57;I
1734;47;O
1735;37;O
1751;46;O
1757;78;I
1762;34;O
1778;32;O
1789;51;O
1791;58;I
1799;51;O
