#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/26,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
60;8;None/0,ParkPod/1,RepositionPod/0,Insert/8,Extract/16,Rest/1
119.82;8;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/11,Rest/4
179.79;5;None/0,ParkPod/4,RepositionPod/0,Insert/5,Extract/14,Rest/3
239.97;4;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/9,Rest/6
299.96;5;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/11,Rest/3
359.7;5;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/11,Rest/2
419.8;6;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/14,Rest/0
479.74;7;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/12,Rest/2
539.92;8;None/0,ParkPod/1,RepositionPod/0,Insert/9,Extract/13,Rest/3
599.99;5;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/10,Rest/4
659.88;3;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/13,Rest/2
719.9;4;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/10,Rest/5
779.96;4;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/10,Rest/3
839.75;5;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/12,Rest/2
899.64;6;None/0,ParkPod/1,RepositionPod/0,Insert/9,Extract/11,Rest/5
959.88;4;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/11,Rest/2
1019.83;4;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/11,Rest/2
1079.97;5;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/9,Rest/5
1139.96;1;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/9,Rest/5
1199.97;1;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/10,Rest/2
1259.84;4;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/10,Rest/3
1319.96;3;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/11,Rest/3
1379.96;7;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
1439.98;4;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/12,Rest/2
1499.88;3;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/11,Rest/2
1559.94;4;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/14,Rest/1
1619.95;4;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/11,Rest/3
1679.94;3;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/11,Rest/4
1739.88;5;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/12,Rest/1
1799.98;7;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/11,Rest/1
1859.77;4;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/12,Rest/2
1919.91;3;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/12,Rest/0
1979.92;3;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/11,Rest/3
2039.81;5;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/14,Rest/1
2099.82;5;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/12,Rest/2
2159.9;4;None/0,ParkPod/8,RepositionPod/0,Insert/6,Extract/12,Rest/0
2219.9;3;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/12,Rest/2
2279.93;6;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/12,Rest/2
2339.67;4;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/9,Rest/3
2399.98;5;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/12,Rest/2
2459.96;2;None/0,ParkPod/7,RepositionPod/0,Insert/8,Extract/9,Rest/2
2519.99;3;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/11,Rest/2
2580;2;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/12,Rest/2
2639.68;6;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/13,Rest/2
2699.9;5;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/14,Rest/0
2759.98;6;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/14,Rest/0
2819.98;6;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/7,Rest/6
2879.8;4;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/8,Rest/5
2939.98;1;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/10,Rest/3
2999.91;2;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/13,Rest/2
3059.96;2;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/10,Rest/3
3119.99;6;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/11,Rest/3
3179.98;3;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/12,Rest/2
3239.78;4;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/11,Rest/1
3299.96;3;None/0,ParkPod/8,RepositionPod/0,Insert/7,Extract/8,Rest/3
3359.96;3;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/13,Rest/2
3419.93;4;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/11,Rest/4
3479.88;2;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/12,Rest/1
3539.96;4;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/11,Rest/2
3599.96;4;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/12,Rest/2
3659.85;4;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/13,Rest/0
3719.97;4;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/11,Rest/2
3779.92;2;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/12,Rest/3
3839.71;6;None/0,ParkPod/8,RepositionPod/0,Insert/6,Extract/12,Rest/0
3899.77;4;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
3959.63;5;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/11,Rest/1
4019.99;3;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/11,Rest/1
4079.93;4;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/11,Rest/1
4139.97;3;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/14,Rest/1
4199.88;3;None/0,ParkPod/6,RepositionPod/0,Insert/9,Extract/11,Rest/0
4259.95;4;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/11,Rest/4
4319.97;5;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/12,Rest/2
4379.74;3;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/12,Rest/2
4439.94;6;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/12,Rest/3
4499.94;6;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/11,Rest/6
4559.89;4;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/11,Rest/2
4619.79;3;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/12,Rest/3
4679.97;2;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/11,Rest/1
4740;2;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/10,Rest/4
4799.74;1;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/12,Rest/2
4859.97;3;None/0,ParkPod/8,RepositionPod/0,Insert/5,Extract/10,Rest/3
4919.96;1;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/9,Rest/3
4979.92;6;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/13,Rest/0
5039.95;2;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/12,Rest/1
5099.99;5;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/10,Rest/4
5160;2;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/12,Rest/2
5219.7;2;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/12,Rest/2
5279.92;5;None/0,ParkPod/1,RepositionPod/0,Insert/8,Extract/13,Rest/4
5339.96;3;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/11,Rest/1
5399.98;4;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/10,Rest/5
5459.89;3;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/10,Rest/3
5519.91;0;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/10,Rest/4
5579.68;4;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/11,Rest/4
5639.96;2;None/0,ParkPod/7,RepositionPod/0,Insert/5,Extract/10,Rest/4
5699.87;4;None/0,ParkPod/3,RepositionPod/0,Insert/3,Extract/14,Rest/6
5759.97;2;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/12,Rest/9
5819.85;4;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/13,Rest/10
5879.87;2;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/16,Rest/5
5939.88;6;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/8
5999.97;2;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/11,Rest/9
6059.99;3;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/12,Rest/12
6119.96;4;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/13,Rest/8
6179.96;3;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/14,Rest/6
6239.99;6;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/14,Rest/7
6299.96;6;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/14,Rest/10
6360;3;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/16,Rest/5
6419.98;7;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/13,Rest/8
6479.82;4;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/12,Rest/8
6539.77;6;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/8
6599.84;9;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/15,Rest/9
6660;5;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/17,Rest/4
6719.75;5;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/14,Rest/7
6780;4;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/13,Rest/10
6839.7;5;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/14,Rest/8
6899.87;1;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/10,Rest/10
6959.98;5;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/13,Rest/10
7019.61;6;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/11,Rest/12
7079.93;2;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/18,Rest/5
7139.98;6;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/16,Rest/3
7199.81;7;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/12,Rest/11
7259.87;1;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/16,Rest/6
7319.62;4;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/11,Rest/11
7379.99;4;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/8
7439.98;5;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/13,Rest/9
7499.99;4;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/13,Rest/8
7559.98;3;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/12,Rest/7
7619.98;7;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/15,Rest/9
7679.6;7;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/16,Rest/5
7740;7;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/10,Rest/10
7799.85;3;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/16,Rest/6
7859.96;5;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/15,Rest/6
7919.98;1;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/15,Rest/6
7979.93;5;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/8
8039.99;4;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/12,Rest/8
8099.63;1;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/16,Rest/6
8159.94;6;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/15,Rest/6
8219.81;6;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/13,Rest/9
8279.93;3;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/12,Rest/9
8339.76;4;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/17,Rest/6
8399.96;6;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/13,Rest/8
8459.93;3;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/11,Rest/12
8519.78;4;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/15,Rest/7
8579.96;5;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/13,Rest/7
8639.93;4;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/18,Rest/5
8699.77;5;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/14,Rest/5
8759.73;4;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/16,Rest/7
8819.74;6;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/13,Rest/10
8879.98;2;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/13,Rest/7
8939.98;6;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/11,Rest/11
8999.99;4;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/13,Rest/11
9059.85;3;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/15,Rest/9
9119.98;5;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/15,Rest/5
9179.96;7;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/12,Rest/10
9239.97;2;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/11,Rest/10
9299.9;4;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/13,Rest/10
9359.57;3;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/18,Rest/3
9419.97;9;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/8
9479.89;6;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/13,Rest/9
9539.96;2;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/8,Rest/13
9599.93;2;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/13,Rest/9
9659.96;6;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/15,Rest/7
9719.92;4;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/14,Rest/5
9779.66;6;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/17,Rest/6
9839.99;7;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/13,Rest/9
9899.59;1;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/13,Rest/7
9959.92;3;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/16,Rest/7
10019.61;5;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/14,Rest/9
10079.79;2;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/17,Rest/2
10139.99;4;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/18,Rest/4
10199.55;6;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/13,Rest/8
10259.99;3;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/11,Rest/8
10319.92;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/15,Rest/9
10379.95;8;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/20,Rest/2
10439.96;10;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/16,Rest/5
10499.98;5;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/15,Rest/7
10559.98;7;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/12,Rest/9
10619.97;4;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/12,Rest/11
10679.99;2;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/18,Rest/5
10739.97;7;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/13,Rest/11
10799.72;3;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/13,Rest/7
10859.93;4;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/17,Rest/5
10919.98;8;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/13,Rest/9
10979.91;5;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/17,Rest/6
11039.92;3;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/14,Rest/9
11099.97;4;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/19,Rest/2
11159.95;7;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/15,Rest/6
11219.9;3;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/14,Rest/7
11279.98;5;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/16,Rest/7
11339.99;5;None/0,ParkPod/5,RepositionPod/0,Insert/0,Extract/13,Rest/8
