#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;152.8;0.13;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
59.85;175.68;11.16;PP/9.29,TA/1.58,IS/0,PS/0.32,RB/0.01,OB/0.02,RP/0
119.76;178.01;13.49;PP/11.23,TA/1.92,IS/0,PS/0.66,RB/0.01,OB/0.03,RP/0
179.84;178.74;14.19;PP/11.33,TA/2.49,IS/0,PS/0.81,RB/0.01,OB/0.03,RP/0
239.66;179.77;14.99;PP/11.55,TA/3.01,IS/0,PS/1.11,RB/0.01,OB/0.03,RP/0
299.9;179.23;15.54;PP/11.8,TA/3.26,IS/0,PS/1.16,RB/0.01,OB/0.04,RP/0
359.84;181.48;16.56;PP/12.17,TA/3.85,IS/0,PS/1.18,RB/0.01,OB/0.04,RP/0
419.9;182.05;17.33;PP/12.65,TA/4.09,IS/0,PS/1.22,RB/0.01,OB/0.05,RP/0
479.85;182.64;17.81;PP/12.92,TA/4.25,IS/0,PS/1.28,RB/0.01,OB/0.05,RP/0
539.78;182.41;18.28;PP/13.21,TA/4.37,IS/0,PS/1.33,RB/0.01,OB/0.06,RP/0
599.77;182.47;19.06;PP/13.51,TA/4.81,IS/0,PS/1.37,RB/0.01,OB/0.06,RP/0
659.91;184.32;20.1;PP/14.3,TA/4.98,IS/0,PS/1.46,RB/0.01,OB/0.07,RP/0
719.95;184.39;20.62;PP/14.53,TA/5.22,IS/0,PS/1.48,RB/0.01,OB/0.07,RP/0
779.84;184.17;21.48;PP/14.9,TA/5.64,IS/0,PS/1.56,RB/0.01,OB/0.08,RP/0
839.98;185.01;22.22;PP/15.36,TA/5.86,IS/0,PS/1.6,RB/0.01,OB/0.08,RP/0
899.99;185.5;23.12;PP/15.87,TA/6.19,IS/0,PS/1.64,RB/0.01,OB/0.09,RP/0
959.68;185.52;23.55;PP/16.07,TA/6.36,IS/0,PS/1.7,RB/0.01,OB/0.09,RP/0
1019.97;186.3;24.35;PP/16.43,TA/6.72,IS/0,PS/1.74,RB/0.01,OB/0.1,RP/0
1080;186.43;25.35;PP/17.29,TA/6.81,IS/0.01,PS/1.78,RB/0.01,OB/0.1,RP/0
1139.79;186.7;26.18;PP/17.9,TA/6.96,IS/0.01,PS/1.84,RB/0.01,OB/0.11,RP/0
1199.92;189.57;27.06;PP/18.51,TA/7.16,IS/0.01,PS/1.88,RB/0.01,OB/0.11,RP/0
1259.73;189.56;27.68;PP/18.86,TA/7.37,IS/0.01,PS/1.92,RB/0.01,OB/0.12,RP/0
1319.7;189.6;28.42;PP/19.37,TA/7.54,IS/0.01,PS/1.98,RB/0.01,OB/0.13,RP/0
1379.74;189.72;28.95;PP/19.72,TA/7.66,IS/0.01,PS/2.07,RB/0.01,OB/0.13,RP/0
1439.59;190.63;31.34;PP/21.86,TA/7.83,IS/0.01,PS/2.16,RB/0.01,OB/0.14,RP/0
1499.59;190.91;32.24;PP/22.41,TA/8.12,IS/0.01,PS/2.2,RB/0.01,OB/0.15,RP/0
1559.9;191.43;33.34;PP/23.33,TA/8.24,IS/0.01,PS/2.26,RB/0.01,OB/0.15,RP/0
1619.97;191.95;33.78;PP/23.61,TA/8.33,IS/0.01,PS/2.28,RB/0.01,OB/0.16,RP/0
1679.98;196.23;34.41;PP/24.05,TA/8.46,IS/0.01,PS/2.32,RB/0.01,OB/0.16,RP/0
1739.79;199.51;35.87;PP/25.31,TA/8.58,IS/0.01,PS/2.35,RB/0.02,OB/0.17,RP/0
1799.88;199.44;36.5;PP/25.76,TA/8.71,IS/0.01,PS/2.4,RB/0.02,OB/0.17,RP/0
