#TimeStamp;Runtime;Requests
0.88;0.67;26
1.88;0.01;1
10.68;0;1
13.2;0.01;1
14.35;0;1
15.39;0;2
16.68;0;2
17.93;0.01;3
18.98;0;2
20;0.01;1
21.15;0;1
22.2;0;2
23.2;0;3
24.24;0;2
25.29;0;3
26.33;0;4
27.33;0;3
28.42;0;3
29.47;0.01;1
30.48;0.13;5
31.48;0.25;3
32.53;0.23;2
33.57;0.01;3
34.57;0.01;6
35.57;0.01;4
36.66;0.22;3
37.75;0.01;2
38.75;0.01;2
39.8;0.01;4
40.8;0.01;3
41.84;0.01;2
42.93;0.01;4
43.93;0.01;4
44.93;0.99;6
45.93;0.14;7
47.06;0.26;2
48.06;0.24;2
49.28;0.1;2
50.33;0.08;1
51.37;0.02;1
52.37;0.02;1
53.41;0.02;2
55.8;0.02;1
58.17;0.02;1
59.37;0.02;1
60.39;0.02;1
61.6;0.03;1
62.68;0.04;2
72.9;0.01;1
74.02;0.01;1
75.38;0.01;1
76.38;0.01;2
77.47;0.01;2
78.47;0.01;2
79.51;0.01;1
80.54;0.01;2
81.69;0.01;1
82.8;0.01;1
84.07;0.01;1
85.21;0.01;1
86.22;0.01;1
87.22;0.01;1
88.27;0.01;1
94.03;0;1
100.65;0;1
101.79;0;1
102.99;0;1
104.52;0;1
105.52;0.01;1
106.55;0.01;1
107.57;0.01;1
117.51;0.01;1
120.98;0.01;1
126.62;0;1
130.81;0;1
132.22;0;1
133.48;0;1
135.55;0;1
136.64;0;1
139.39;0.01;1
144.02;0.01;1
145.19;0;1
146.48;0;2
147.48;0;2
148.64;0;1
149.69;0.01;1
151.68;0.01;1
152.68;0.01;1
153.73;0.01;1
154.73;0.01;1
155.75;0.01;1
156.83;0.01;1
158.03;0.01;1
159.08;0;1
168.28;0;1
169.63;0;1
170.68;0;1
171.77;0;1
175.22;0;1
178.77;0;1
179.82;0;1
182.48;0;1
183.48;0;1
185.04;0;1
186.86;0;1
188.24;0;1
189.26;0;1
190.3;0;1
191.36;0;1
196.15;0;1
197.15;0;1
198.15;0;1
199.15;0.01;1
200.22;0.01;2
203.52;0;1
205.33;0.01;1
206.33;0.01;1
210.09;0.01;1
212.06;0;1
214.29;0.01;1
215.29;0;1
216.47;0.01;1
218.7;0;1
221.27;0.01;1
223.11;0.01;2
226.12;0.01;1
229.44;0;1
230.45;0.01;1
231.51;0.01;1
233.66;0.01;1
237.98;0.01;1
239.17;0.01;1
