#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;152.57;0.08;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
59.85;176.67;10.61;PP/8.88,TA/1.52,IS/0,PS/0.34,RB/0.01,OB/0.02,RP/0
119.82;178.95;13.19;PP/11.02,TA/1.9,IS/0,PS/0.71,RB/0.01,OB/0.02,RP/0
179.93;179.73;13.9;PP/11.16,TA/2.43,IS/0,PS/0.86,RB/0.01,OB/0.02,RP/0
239.97;180.33;14.56;PP/11.35,TA/2.83,IS/0,PS/1.18,RB/0.01,OB/0.03,RP/0
299.95;180.49;15.11;PP/11.59,TA/3.1,IS/0,PS/1.23,RB/0.01,OB/0.03,RP/0
359.81;180.83;15.48;PP/11.77,TA/3.24,IS/0,PS/1.27,RB/0.01,OB/0.04,RP/0
419.91;182.22;16.67;PP/12.42,TA/3.74,IS/0,PS/1.29,RB/0.01,OB/0.04,RP/0
479.93;182.48;17.25;PP/12.75,TA/3.93,IS/0,PS/1.33,RB/0.01,OB/0.04,RP/0
539.86;182.36;17.81;PP/13.1,TA/4.09,IS/0,PS/1.4,RB/0.01,OB/0.05,RP/0
599.98;182.56;18.47;PP/13.43,TA/4.37,IS/0,PS/1.42,RB/0.01,OB/0.05,RP/0
659.72;182.49;18.99;PP/13.71,TA/4.58,IS/0,PS/1.49,RB/0.01,OB/0.05,RP/0
719.89;182.64;19.36;PP/13.87,TA/4.74,IS/0,PS/1.52,RB/0.01,OB/0.06,RP/0
779.59;182.63;19.75;PP/14.11,TA/4.83,IS/0,PS/1.59,RB/0.01,OB/0.06,RP/0
839.76;183.02;20.16;PP/14.3,TA/5.02,IS/0,PS/1.59,RB/0.01,OB/0.06,RP/0
900;183.16;20.7;PP/14.61,TA/5.19,IS/0,PS/1.63,RB/0.01,OB/0.07,RP/0
959.9;183.02;21.31;PP/14.99,TA/5.37,IS/0,PS/1.67,RB/0.01,OB/0.07,RP/0
1019.87;183.15;22.03;PP/15.49,TA/5.55,IS/0,PS/1.7,RB/0.01,OB/0.08,RP/0
1079.9;183.49;22.71;PP/15.82,TA/5.83,IS/0,PS/1.73,RB/0.01,OB/0.08,RP/0
1139.98;198.64;28.15;PP/21.07,TA/5.94,IS/0,PS/1.82,RB/0.01,OB/0.09,RP/0
1199.96;198.7;28.56;PP/21.36,TA/6.01,IS/0,PS/1.86,RB/0.01,OB/0.09,RP/0
1259.77;200.76;29.58;PP/22.14,TA/6.21,IS/0,PS/1.89,RB/0.01,OB/0.1,RP/0
1319.96;200.43;30.39;PP/22.58,TA/6.51,IS/0,PS/1.95,RB/0.01,OB/0.1,RP/0
1379.99;200.71;31.2;PP/23.21,TA/6.65,IS/0,PS/2,RB/0.01,OB/0.11,RP/0
1439.8;200.79;31.73;PP/23.58,TA/6.76,IS/0.01,PS/2.04,RB/0.01,OB/0.11,RP/0
1499.76;201.09;32.44;PP/24.14,TA/6.87,IS/0.01,PS/2.1,RB/0.01,OB/0.11,RP/0
1559.6;201.16;33.14;PP/24.43,TA/7.23,IS/0.01,PS/2.13,RB/0.01,OB/0.12,RP/0
1619.96;201.23;33.59;PP/24.75,TA/7.31,IS/0.01,PS/2.17,RB/0.01,OB/0.12,RP/0
1679.96;201.32;34.17;PP/25.11,TA/7.49,IS/0.01,PS/2.2,RB/0.01,OB/0.13,RP/0
1739.75;206.52;35.17;PP/25.95,TA/7.59,IS/0.01,PS/2.21,RB/0.01,OB/0.13,RP/0
1799.95;207.89;35.56;PP/26.12,TA/7.76,IS/0.01,PS/2.24,RB/0.01,OB/0.14,RP/0
