#TimeStamp;Bot;Pod;OutputStation
49.37;11;779;2
52.17;4;473;3
54.15;0;778;1
58.55;23;36;0
64.06;0;778;1
68.91;23;36;0
74.2;0;778;1
76.95;13;6;2
78.88;23;36;0
82.52;17;326;3
84.35;0;778;1
87.03;13;6;2
92.46;17;326;3
94.42;0;778;1
95.19;5;232;0
102.54;17;326;3
104.46;0;778;1
105.51;5;232;0
114.91;25;549;3
115.55;5;232;0
116.75;7;387;2
116.8;18;215;1
124.84;25;549;3
125.68;5;232;0
126.8;7;387;2
126.84;18;215;1
136.84;7;387;2
136.89;6;63;3
137.26;10;626;0
137.26;18;215;1
147.14;6;63;3
147.24;10;626;0
147.64;18;215;1
148.9;14;401;2
157.19;6;63;3
157.61;10;626;0
158.77;14;401;2
159.97;3;358;1
167.61;6;63;3
168.81;8;409;0
170.01;3;358;1
171.03;11;474;2
177.66;6;63;3
178.66;8;409;0
181.02;11;474;2
181.08;19;177;1
187.79;6;63;3
188.86;8;409;0
191.08;19;177;1
192.12;13;486;2
198.19;6;63;3
199.24;8;409;0
201.19;19;177;1
202.24;13;486;2
208.24;6;63;3
209.28;8;409;0
211.1;19;177;1
211.95;13;486;2
219.33;8;409;0
220;4;247;3
221.2;19;177;1
222.25;13;486;2
230.18;4;247;3
231.25;19;177;1
231.85;16;201;0
232.26;13;486;2
240.25;4;247;3
241.43;19;177;1
242.26;16;201;0
244.08;7;217;2
250.41;4;247;3
251.45;19;177;1
252.3;16;201;0
254.17;7;217;2
262.24;17;79;3
262.55;16;201;0
264.49;7;217;2
272.44;17;79;3
272.6;16;201;0
276.3;14;293;2
282.16;17;79;3
283.76;23;564;0
286.48;14;293;2
290.92;0;585;1
292.34;17;79;3
294.14;23;564;0
296.91;14;293;2
301.05;0;585;1
303.99;25;429;3
304.18;23;564;0
309.18;11;510;2
311.22;0;585;1
314.13;25;429;3
314.18;23;564;0
319.21;11;510;2
326.89;5;49;0
329.29;11;510;2
329.5;6;608;3
333.98;3;277;1
336.94;5;49;0
339.46;11;510;2
339.57;6;608;3
344.03;3;277;1
346.76;5;49;0
349.5;11;510;2
349.64;6;608;3
356.14;18;677;1
356.85;5;49;0
359.59;11;510;2
359.59;6;608;3
366.18;18;677;1
366.98;5;49;0
369.68;11;510;2
369.68;6;608;3
376.23;18;677;1
379.29;10;404;0
379.53;11;510;2
380.85;4;633;3
387.38;19;391;1
389.35;10;404;0
391.29;13;255;2
391.29;4;633;3
397.44;19;391;1
399.3;10;404;0
401.38;13;255;2
401.38;4;633;3
407.67;19;391;1
409.45;10;404;0
411.76;13;255;2
411.76;4;633;3
418.81;0;474;1
419.5;10;404;0
421.68;13;255;2
421.8;4;633;3
428.89;0;474;1
431.02;16;275;0
431.8;13;255;2
431.85;4;633;3
439.15;0;474;1
441.06;16;275;0
441.85;13;255;2
441.85;4;633;3
449.61;0;474;1
451.48;16;275;0
453.47;14;387;2
453.47;17;455;3
460.04;0;474;1
463.44;8;361;0
463.48;17;455;3
463.53;14;387;2
473.48;8;361;0
473.53;17;455;3
473.57;14;387;2
483.49;8;361;0
483.58;17;455;3
485.84;7;571;2
488.2;18;708;1
493.53;8;361;0
493.66;17;455;3
495.91;7;571;2
498.49;18;708;1
503.43;8;361;0
503.73;17;455;3
507.15;11;342;2
508.55;18;708;1
513.98;17;455;3
517.39;11;342;2
518.6;18;708;1
526.18;25;402;3
527.62;11;342;2
528.73;18;708;1
536.23;25;402;3
537.41;11;342;2
538.78;18;708;1
547.72;11;342;2
548.87;18;708;1
549.72;16;399;0
557.77;11;342;2
558.92;18;708;1
559.69;16;399;0
569.78;16;399;0
571.09;3;600;1
579.89;16;399;0
581.27;3;600;1
585.62;4;427;3
589.87;16;399;0
591.31;3;600;1
592.88;14;335;2
595.66;4;427;3
601.42;3;600;1
602.45;5;222;0
602.93;14;335;2
605.46;4;427;3
611.4;3;600;1
612.73;5;222;0
613.19;14;335;2
621.34;3;600;1
621.75;17;770;3
622.38;5;222;0
623.28;14;335;2
632.15;17;770;3
632.77;5;222;0
633.42;19;344;1
633.42;14;335;2
643.01;5;222;0
643.77;19;344;1
643.86;6;17;3
646.19;13;227;2
653.19;5;222;0
653.81;19;344;1
654.13;6;17;3
656.23;13;227;2
663.23;5;222;0
664.55;6;17;3
665.97;0;193;1
666.02;13;227;2
673.28;5;222;0
674.92;6;17;3
676.02;0;193;1
676.28;13;227;2
683.28;5;222;0
685.19;6;17;3
686.06;0;193;1
687.55;7;167;2
694.46;10;527;0
696.13;0;193;1
697.31;25;657;3
697.59;7;167;2
704.4;10;527;0
706.26;0;193;1
707.36;25;657;3
707.64;7;167;2
714.62;10;527;0
716.34;0;193;1
717.05;25;657;3
717.91;7;167;2
724.54;10;527;0
727.4;25;657;3
727.84;7;167;2
728.91;18;387;1
735.77;23;29;0
738.96;18;387;1
745.81;23;29;0
747.6;4;540;3
748.9;18;387;1
757.68;4;540;3
759.01;18;387;1
764.68;11;357;2
767.72;4;540;3
770.4;3;450;1
774.72;11;357;2
777.77;4;540;3
780.65;3;450;1
784.89;11;357;2
789.26;17;352;3
790.74;3;450;1
799.31;17;352;3
802.39;19;318;1
808.02;13;289;2
809.64;17;352;3
812.28;10;608;0
812.44;19;318;1
818.06;13;289;2
819.64;17;352;3
822.13;10;608;0
822.64;19;318;1
829.44;17;352;3
832.44;19;318;1
837;14;701;2
839.68;17;352;3
840;16;401;0
844.12;0;63;1
847.25;14;701;2
849.87;17;352;3
850.06;16;401;0
854.29;0;63;1
857.21;14;701;2
861.28;6;51;3
862.59;5;757;0
864.33;0;63;1
871.33;6;51;3
872.47;5;757;0
874.24;0;63;1
879.38;11;269;2
881.37;6;51;3
882.51;5;757;0
885.73;18;433;1
889.28;11;269;2
891.37;6;51;3
894.51;8;139;0
895.73;18;433;1
