#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/26,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.85;1;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/15,Rest/1
119.82;8;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/14,Rest/2
179.96;7;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/12,Rest/3
239.86;5;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/10,Rest/3
299.97;6;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/12,Rest/3
359.78;3;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/13,Rest/0
419.99;9;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/14,Rest/0
479.59;5;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/11,Rest/3
539.98;4;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/10,Rest/3
599.88;2;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/12,Rest/1
659.97;3;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/12,Rest/2
719.97;5;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/12,Rest/1
779.92;5;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/9,Rest/5
839.92;1;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/14,Rest/1
899.99;8;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/12,Rest/2
959.96;5;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/12,Rest/1
1019.65;5;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/13,Rest/1
1079.97;7;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/10,Rest/2
1139.87;0;None/0,ParkPod/8,RepositionPod/0,Insert/7,Extract/10,Rest/1
1199.98;5;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/15,Rest/0
1259.86;2;None/0,ParkPod/10,RepositionPod/0,Insert/5,Extract/10,Rest/1
1319.79;4;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/12,Rest/0
1379.97;3;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/10,Rest/2
1439.93;6;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
1499.97;3;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/11,Rest/1
1559.96;4;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/12,Rest/0
1619.96;2;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/13,Rest/1
1679.64;6;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/12,Rest/0
1739.83;3;None/0,ParkPod/8,RepositionPod/0,Insert/6,Extract/11,Rest/1
1799.88;3;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/14,Rest/0
