#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
74.41;15;116;3;74.41;74.37
75.44;21;445;1;75.44;75.4
79.61;2;751;0;79.61;79.57
84.46;15;116;3;84.46;84.41
85.53;21;445;1;85.53;85.49
89.66;2;751;0;89.66;89.61
94.46;15;116;3;94.46;94.42
95.57;21;445;1;95.57;95.53
99.7;2;751;0;99.7;99.66
104.51;15;116;3;104.51;104.46
105.62;21;445;1;105.62;105.57
109.74;2;751;0;109.74;109.7
114.55;15;116;3;114.55;114.51
115.62;21;445;1;115.62;115.58
119.77;2;751;0;119.77;119.73
124.6;15;116;3;124.6;124.55
125.67;21;445;1;125.67;125.62
129.04;12;67;2;129.04;128.99
129.82;2;751;0;129.82;129.77
134.64;15;116;3;134.64;134.6
135.71;21;445;1;135.71;135.67
139.27;12;67;2;139.27;139.22
139.86;2;751;0;139.86;139.82
144.68;15;116;3;144.68;144.64
145.76;21;445;1;145.76;145.71
149.31;12;67;2;149.31;149.27
149.91;2;751;0;149.91;149.86
154.73;15;116;3;154.73;154.68
155.78;21;445;1;155.78;155.73
159.36;12;67;2;159.36;159.31
159.95;2;751;0;159.95;159.91
164.76;15;116;3;164.76;164.72
165.82;21;445;1;165.82;165.78
169.4;12;67;2;169.4;169.35
174.81;15;116;3;174.81;174.76
175.87;21;445;1;175.87;175.82
179.01;1;234;0;179.01;178.97
179.44;12;67;2;179.44;179.4
185.9;21;445;1;185.9;185.85
189.06;1;234;0;189.06;189.01
189.49;12;67;2;189.49;189.44
193.76;20;48;3;193.76;193.72
199.1;1;234;0;199.1;199.06
199.53;12;67;2;199.53;199.49
203.94;20;48;3;203.94;203.9
203.99;24;465;1;203.99;203.94
209.15;1;234;0;209.15;209.1
209.58;12;67;2;209.58;209.53
213.96;20;48;3;213.96;213.91
214.25;24;465;1;214.25;214.21
219.19;1;234;0;219.19;219.15
224;20;48;3;224;223.96
224.3;24;465;1;224.3;224.25
228.63;22;52;2;228.63;228.59
229.24;1;234;0;229.24;229.19
234.05;20;48;3;234.05;234
234.33;24;465;1;234.33;234.28
238.71;22;52;2;238.71;238.67
239.28;1;234;0;239.28;239.24
244.09;20;48;3;244.09;244.04
244.37;24;465;1;244.37;244.33
248.75;22;52;2;248.75;248.71
249.3;1;234;0;249.3;249.26
254.12;20;48;3;254.12;254.08
254.39;24;465;1;254.39;254.34
258.77;22;52;2;258.77;258.72
259.35;1;234;0;259.35;259.3
264.14;20;48;3;264.14;264.1
264.39;24;465;1;264.39;264.35
268.81;22;52;2;268.81;268.77
269.39;1;234;0;269.39;269.35
274.43;24;465;1;274.43;274.39
278.85;22;52;2;278.85;278.81
279.43;1;234;0;279.43;279.39
284.48;24;465;1;284.48;284.43
288.9;22;52;2;288.9;288.85
289.48;1;234;0;289.48;289.43
294.48;24;465;1;294.48;294.43
298.9;22;52;2;298.9;298.86
308.48;9;497;0;308.48;188.66
318.53;9;497;0;318.53;198.71
328.57;9;497;0;328.57;208.75
338.6;9;497;0;338.6;218.79
341.02;12;462;2;341.02;181.62
341.69;15;736;3;341.69;227.1
348.65;9;497;0;348.65;228.83
351.34;12;462;2;351.34;191.94
351.74;15;736;3;351.74;237.14
358.69;9;497;0;358.69;238.87
361.38;12;462;2;361.38;201.98
361.78;15;736;3;361.78;247.18
368.73;9;497;0;368.73;248.91
371.42;12;462;2;371.42;212.02
371.82;15;736;3;371.82;257.22
372.07;21;561;1;372.07;252.25
378.78;9;497;0;378.78;258.96
381.46;12;462;2;381.46;222.06
381.86;15;736;3;381.86;267.27
382.09;21;561;1;382.09;262.27
388.82;9;497;0;388.82;269
391.51;12;462;2;391.51;232.11
391.91;15;736;3;391.91;277.31
392.13;21;561;1;392.13;272.32
398.86;9;497;0;398.86;279.05
401.55;12;462;2;401.55;242.15
401.95;15;736;3;401.95;287.36
402.14;21;561;1;402.14;282.33
408.91;9;497;0;408.91;289.09
411.6;12;462;2;411.6;252.2
412;15;736;3;412;297.4
412.19;21;561;1;412.19;292.37
418.95;9;497;0;418.95;299.13
422.04;15;736;3;422.04;307.45
422.22;21;561;1;422.22;302.4
430.48;22;515;2;430.48;181.68
432.09;15;736;3;432.09;317.49
432.26;21;561;1;432.26;312.44
437.99;2;410;0;437.99;228.8
440.68;22;515;2;440.68;191.88
442.26;21;561;1;442.26;322.45
448.15;2;410;0;448.15;238.96
450.73;22;515;2;450.73;201.93
