#TimeStamp;Runtime;Requests
0.88;0.65;26
1.88;0.01;1
5.3;0.03;1
10.68;0.01;1
13.2;0.01;1
14.35;0.01;1
15.39;0.01;2
16.68;0;2
17.93;0.01;3
18.98;0;2
20;0;1
21.15;0;1
22.2;0;2
23.2;0;3
24.24;0;2
25.29;0;3
26.33;0;4
27.33;0;3
28.42;0;3
29.47;0.01;1
30.48;0.16;5
31.48;0.29;3
32.53;0.3;2
33.57;0.01;3
34.57;0.01;5
35.57;0.01;4
36.66;0.15;3
37.75;0.01;3
38.75;0.01;2
39.8;0.01;4
40.8;0.01;5
41.84;0.01;4
42.88;0.01;6
43.9;0.02;6
44.9;0.07;7
45.9;0.29;3
46.99;0.12;2
48.02;0.13;2
49.02;0.07;1
50.28;0.05;2
51.32;0.03;2
52.4;0.03;2
53.4;0.02;3
54.4;0.02;1
55.67;0.02;1
56.67;0.04;2
57.7;0.02;2
58.7;0.03;3
59.72;0.02;3
60.72;0.02;3
61.81;0.02;3
62.85;0.02;3
63.9;0.02;3
64.9;0.01;2
65.9;0.01;2
66.99;0.02;4
68.04;0.01;1
69.08;0.01;1
70.37;0.01;1
71.4;0.01;1
72.49;0.01;2
73.5;0.01;2
74.5;0.01;2
75.53;0.02;2
76.57;0.01;3
77.57;0.01;1
78.66;0.01;2
86.71;0.01;1
87.75;0.01;1
89.66;0.01;1
92.95;0.01;1
93.95;0;1
95.18;0;1
102.3;0;1
103.32;0.01;1
112.94;0;1
113.94;0;1
115;0.01;2
117.03;0.01;1
120.01;0;1
121.94;0;1
127.12;0;1
129.2;0.01;1
132;0;1
133.04;0.01;1
134.04;0.01;1
138.78;0.01;1
141.73;0;1
142.73;0;1
147.8;0.01;1
154.37;0;1
156.76;0;1
157.76;0.03;2
159.42;0.01;1
160.53;0.01;1
163.41;0.01;1
164.44;0;1
165.44;0.01;2
170.46;0.02;1
176.45;0.01;1
177.46;0;1
182.6;0;1
184.91;0;1
185.93;0;1
191.1;0;1
193.71;0;1
194.71;0.01;1
196.17;0;1
199.54;0;2
201.48;0;1
202.52;0;1
207.4;0.01;1
210.11;0;1
211.59;0.01;1
212.62;0.01;1
213.68;0.01;1
214.68;0;2
215.98;0;1
217.04;0.01;1
220.02;0.01;1
221.02;0.01;1
222.61;0.01;1
223.65;0.01;1
224.65;0.01;1
225.7;0.01;1
227.65;0.01;1
230.61;0.01;1
234.2;0.01;1
236.57;0.01;1
241.7;0;1
243.25;0.01;1
244.25;0.01;1
246.42;0.01;1
247.42;0.01;1
248.99;0.01;1
251.25;0.01;1
252.62;0.01;1
254.63;0;1
255.67;0.01;1
256.8;0.01;1
265.95;0.01;1
266.95;0.01;1
270.13;0;1
271.13;0.01;1
272.26;0;1
273.81;0.01;1
274.89;0.01;3
275.89;0.01;1
282.34;0.01;1
283.35;0.02;2
294.1;0.01;1
297.33;0.01;1
298.37;0.01;1
299.72;0.01;1
300.75;0.01;1
304.09;0.01;1
305.11;0.01;1
306.11;0.01;2
307.11;0.01;1
308.42;0.01;1
309.43;0.01;2
310.43;0.01;2
311.46;0.01;3
312.46;0.01;3
313.55;0.01;2
314.6;0.01;1
315.64;0.01;2
316.69;0.01;2
317.69;0.01;3
318.77;0.01;3
319.82;0.01;2
320.86;0.01;2
321.91;0.01;4
322.95;0.01;3
324;0.01;4
325.04;0.01;4
326.09;0.01;4
327.09;0.01;4
328.09;0.01;4
329.11;0.01;4
330.11;0.01;3
331.11;0.01;4
332.13;0.01;5
333.18;0.01;3
334.19;0.01;3
335.24;0.01;5
336.28;0.01;3
337.28;0.01;4
338.31;0.01;4
339.31;0.01;3
340.31;0.01;3
341.49;0.01;4
342.53;0.01;3
343.58;0.01;3
344.59;0.01;3
345.62;0.01;3
346.67;0.01;3
347.67;0.01;2
348.76;0;2
