#TimeStamp;Bot;Pod;OutputStation
49.35;11;779;2
52.21;4;473;3
54.11;0;778;1
60.32;5;232;0
63.99;0;778;1
70.37;5;232;0
73.62;13;6;2
74.21;0;778;1
80.42;5;232;0
83.7;25;549;3
83.79;13;6;2
84.32;0;778;1
90.46;5;232;0
93.68;25;549;3
94.5;0;778;1
100.75;5;232;0
105.66;17;326;3
106.25;3;358;1
108.68;7;387;2
113.63;10;626;0
115.98;17;326;3
116.3;3;358;1
118.99;7;387;2
125.65;23;36;0
125.79;17;326;3
127.64;19;177;1
129.07;7;387;2
135.38;23;36;0
137.26;6;63;3
137.44;19;177;1
140.68;14;401;2
145.35;23;36;0
147.44;6;63;3
147.68;19;177;1
150.53;14;401;2
155.34;23;36;0
157.49;6;63;3
157.76;19;177;1
165.7;23;36;0
167.26;11;474;2
167.37;6;63;3
168.18;19;177;1
177.13;11;474;2
177.71;6;63;3
178.26;8;409;0
180.42;18;215;1
188.13;8;409;0
188.13;6;63;3
188.53;13;486;2
190.46;18;215;1
198.53;8;409;0
198.53;6;63;3
198.76;13;486;2
200.66;18;215;1
208.42;8;409;0
208.67;13;486;2
209.63;4;247;3
210.85;18;215;1
219.05;13;486;2
219.85;16;201;0
219.85;4;247;3
229.07;13;486;2
229.98;4;247;3
230.03;16;201;0
240.04;4;247;3
240.17;16;201;0
240.36;7;217;2
250.09;4;247;3
250.36;16;201;0
250.41;7;217;2
251.89;3;352;1
260.44;16;201;0
260.79;7;217;2
261.3;25;481;3
261.95;3;352;1
271.45;25;481;3
272.37;3;352;1
272.75;5;564;0
281.61;25;481;3
282.28;3;352;1
282.71;5;564;0
284.7;14;293;2
291.45;25;481;3
292.41;3;352;1
292.88;5;564;0
294.88;14;293;2
301.48;25;481;3
302.28;3;352;1
302.74;5;564;0
304.92;14;293;2
311.64;25;481;3
312.45;3;352;1
314.12;10;49;0
315.25;14;293;2
321.7;25;481;3
322.49;3;352;1
324.39;10;49;0
326.66;11;510;2
333.47;17;166;3
334.34;0;468;1
334.84;10;49;0
336.44;11;510;2
343.7;17;166;3
344.66;10;49;0
344.66;0;468;1
346.7;11;510;2
353.71;17;166;3
354.8;10;49;0
354.8;0;468;1
356.54;11;510;2
363.79;17;166;3
364.92;10;49;0
366.59;19;746;1
366.68;11;510;2
373.79;17;166;3
375.33;10;49;0
376.64;19;746;1
376.75;11;510;2
383.83;17;166;3
386.75;23;361;0
386.75;19;746;1
387.96;13;422;2
394.1;17;166;3
396.79;23;361;0
396.79;19;746;1
398.1;13;422;2
406.89;23;361;0
406.89;19;746;1
408.48;13;422;2
410.98;6;770;3
417.12;23;361;0
418.41;13;422;2
421.21;6;770;3
421.35;18;419;1
427.21;23;361;0
430.52;7;255;2
431.19;6;770;3
431.52;18;419;1
440.59;7;255;2
441.33;6;770;3
441.94;18;419;1
450.79;7;255;2
451.41;6;770;3
451.98;18;419;1
454.63;16;539;0
460.83;7;255;2
463.32;4;167;3
463.88;3;708;1
470.88;7;255;2
473.37;4;167;3
473.99;3;708;1
483.41;4;167;3
484.03;3;708;1
492.64;10;689;0
493.76;4;167;3
494.26;3;708;1
502.55;10;689;0
503.64;11;608;2
504.06;4;167;3
506.2;0;618;1
512.77;10;689;0
514.01;11;608;2
514.19;4;167;3
516.5;0;618;1
522.84;10;689;0
523.77;11;608;2
524.19;4;167;3
526.57;0;618;1
534.06;11;608;2
534.89;8;527;0
536.85;0;618;1
544.94;8;527;0
546.38;14;237;2
555.02;8;527;0
555.76;19;566;1
558.88;25;357;3
559.67;13;636;2
564.92;8;527;0
565.83;19;566;1
569.69;13;636;2
575.11;8;527;0
576.23;19;566;1
579.69;13;636;2
585;8;527;0
586.31;19;566;1
589.69;13;636;2
591.15;17;76;3
595.16;8;527;0
596.38;19;566;1
600.87;17;76;3
605.19;8;527;0
606.48;19;566;1
610.99;17;76;3
612.99;7;633;2
615.2;8;527;0
616.93;19;566;1
621.17;17;76;3
623.32;7;633;2
626.99;19;566;1
631.77;23;9;0
632.49;6;302;3
633.37;7;633;2
638.79;18;97;1
642.19;23;9;0
642.7;6;302;3
643.79;7;633;2
649.01;18;97;1
653.07;6;302;3
654.04;7;633;2
654.09;5;31;0
659.08;18;97;1
663.14;6;302;3
664.1;7;633;2
664.47;5;31;0
669.19;18;97;1
673.83;7;633;2
