#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/26,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.97;1;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/15,Rest/1
119.93;7;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/12,Rest/2
179.86;7;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/12,Rest/3
239.74;4;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/12,Rest/3
299.96;4;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/14,Rest/2
359.95;3;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/14,Rest/1
419.88;6;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/11,Rest/4
479.69;4;None/0,ParkPod/3,RepositionPod/0,Insert/7,Extract/9,Rest/7
539.96;3;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/11,Rest/2
599.96;3;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/9,Rest/5
659.92;4;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/11,Rest/3
719.85;6;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/13,Rest/2
779.69;4;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/13,Rest/1
839.87;4;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/12,Rest/2
899.96;6;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/13,Rest/1
959.95;6;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/12,Rest/0
1019.95;5;None/0,ParkPod/9,RepositionPod/0,Insert/6,Extract/10,Rest/1
1080;5;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/12,Rest/0
1139.72;3;None/0,ParkPod/8,RepositionPod/0,Insert/6,Extract/11,Rest/1
1199.97;5;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/15,Rest/1
1259.88;6;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/12,Rest/0
1319.98;5;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/11,Rest/1
1379.71;1;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/11,Rest/3
1439.81;4;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/12,Rest/1
1499.92;1;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/12,Rest/0
1559.99;3;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/10,Rest/4
1619.97;2;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/10,Rest/3
1679.9;4;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/11,Rest/1
1739.64;3;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/13,Rest/1
1799.98;2;None/0,ParkPod/6,RepositionPod/0,Insert/9,Extract/11,Rest/0
