#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.34
59.97;200;200;59.93;59.97;59.97;59.97;0.29;0.34
119.93;200;200;81.36;73.92;119.93;119.93;0.29;0.4
179.96;200;200;118.22;62.35;179.96;179.96;0.29;0.42
239.99;200;200;114.36;60.47;239.99;216.33;0.31;0.51
299.96;200;200;125.83;68.66;299.96;253.03;0.32;0.43
359.95;200;200;149.18;50.15;359.95;291.1;0.3;0.4
419.95;200;200;144.62;41.45;419.95;359.24;0.31;0.36
479.98;200;200;115.71;62.17;479.97;418.55;0.32;0.42
539.77;200;200;121.23;71.29;539.75;404.15;0.3;0.43
599.99;200;200;149.02;43.28;599.96;424.01;0.31;0.34
659.83;200;200;155.72;59.69;659.8;415.21;0.36;0.37
719.96;200;200;162.81;84.41;707.94;476.04;0.38;0.36
779.78;200;200;157.27;76.94;736.96;573.72;0.38;0.36
839.8;200;200;161.48;81.88;761.98;575.27;0.4;0.34
899.97;200;200;178.76;78.89;782.24;712.33;0.37;0.35
959.84;200;200;152.75;71.54;776.81;517.75;0.34;0.36
1019.84;200;200;159.39;81.14;790.82;576.51;0.32;0.26
1079.79;200;200;158.75;74.63;784.53;642.41;0.31;0.3
1139.94;200;200;148.93;75.94;782.01;677.21;0.29;0.32
1200;200;200;199.71;55.17;830.69;750.57;0.29;0.33
1259.97;200;200;186.79;62.91;819.34;748.61;0.32;0.27
1319.8;200;200;178.32;73.85;812.95;532.21;0.35;0.36
1379.84;200;200;159.28;86.01;793.91;874.94;0.33;0.4
1439.96;200;200;193.47;79.83;830.35;852.96;0.31;0.38
1499.82;200;200;201.45;85.11;846.26;1054.83;0.34;0.31
1559.83;200;200;210.91;86.3;867.34;1116.96;0.34;0.3
1619.62;200;200;206.06;62.59;869.46;867.15;0.37;0.3
1679.92;200;200;205.9;68.56;877.69;782.62;0.37;0.31
1739.68;200;200;250.11;63.93;919.96;959.8;0.37;0.28
1799.97;200;200;265.84;76.96;942.51;1001.26;0.35;0.34
