#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;152.08;0.11;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
59.97;162.48;4.8;PP/3.04,TA/1.52,IS/0,PS/0.32,RB/0.01,OB/0.02,RP/0
119.94;160.89;5.51;PP/3.37,TA/1.85,IS/0,PS/0.65,RB/0.01,OB/0.02,RP/0
179.88;160.89;5.97;PP/3.5,TA/2.15,IS/0,PS/0.79,RB/0.01,OB/0.03,RP/0
239.71;161.64;6.96;PP/3.71,TA/2.87,IS/0,PS/1.1,RB/0.01,OB/0.03,RP/0
300;161.82;7.62;PP/4.07,TA/3.13,IS/0,PS/1.13,RB/0.01,OB/0.04,RP/0
359.81;161.55;8.07;PP/4.2,TA/3.38,IS/0,PS/1.17,RB/0.01,OB/0.04,RP/0
419.96;161.98;8.5;PP/4.42,TA/3.55,IS/0,PS/1.2,RB/0.01,OB/0.04,RP/0
479.83;162.01;9.01;PP/4.55,TA/3.88,IS/0,PS/1.27,RB/0.01,OB/0.05,RP/0
539.98;160.83;10.08;PP/5.16,TA/4.29,IS/0,PS/1.29,RB/0.01,OB/0.05,RP/0
599.73;161.35;10.87;PP/5.83,TA/4.35,IS/0,PS/1.35,RB/0.01,OB/0.06,RP/0
659.98;161.67;11.37;PP/6.11,TA/4.53,IS/0,PS/1.38,RB/0.01,OB/0.06,RP/0
719.99;161.75;11.63;PP/6.26,TA/4.6,IS/0,PS/1.41,RB/0.01,OB/0.07,RP/0
779.97;161.71;12.61;PP/6.67,TA/5.11,IS/0,PS/1.44,RB/0.01,OB/0.07,RP/0
839.96;163.58;13.98;PP/7.76,TA/5.33,IS/0,PS/1.53,RB/0.01,OB/0.08,RP/0
899.74;164.04;14.19;PP/7.84,TA/5.42,IS/0,PS/1.55,RB/0.01,OB/0.08,RP/0
959.85;164.31;14.82;PP/8.1,TA/5.74,IS/0,PS/1.61,RB/0.01,OB/0.08,RP/0
1019.89;163.62;15.33;PP/8.45,TA/5.86,IS/0,PS/1.63,RB/0.01,OB/0.09,RP/0
1079.73;163.66;15.77;PP/8.69,TA/6,IS/0,PS/1.66,RB/0.01,OB/0.09,RP/0
1139.89;164.01;16.45;PP/9.2,TA/6.11,IS/0,PS/1.71,RB/0.01,OB/0.1,RP/0
1199.81;164.78;17.02;PP/9.63,TA/6.19,IS/0,PS/1.75,RB/0.01,OB/0.1,RP/0
1259.94;165.36;17.89;PP/10.31,TA/6.3,IS/0.01,PS/1.79,RB/0.01,OB/0.11,RP/0
1319.88;166.06;18.79;PP/10.78,TA/6.67,IS/0.01,PS/1.82,RB/0.01,OB/0.11,RP/0
1379.96;166.93;19.83;PP/11.49,TA/6.95,IS/0.01,PS/1.86,RB/0.01,OB/0.12,RP/0
1439.94;168.07;20.82;PP/12.07,TA/7.32,IS/0.01,PS/1.91,RB/0.01,OB/0.12,RP/0
1500;167.94;21.19;PP/12.29,TA/7.42,IS/0.01,PS/1.95,RB/0.01,OB/0.12,RP/0
1559.95;168.07;21.75;PP/12.61,TA/7.6,IS/0.01,PS/2.02,RB/0.01,OB/0.13,RP/0
1619.83;168.33;22.39;PP/13.11,TA/7.7,IS/0.01,PS/2.06,RB/0.01,OB/0.13,RP/0
1679.97;168.98;22.96;PP/13.57,TA/7.75,IS/0.01,PS/2.11,RB/0.01,OB/0.13,RP/0
1739.9;171.51;24.24;PP/14.56,TA/8,IS/0.01,PS/2.12,RB/0.01,OB/0.14,RP/0
1799.96;171.6;24.61;PP/14.8,TA/8.08,IS/0.01,PS/2.17,RB/0.01,OB/0.14,RP/0
