#TimeStamp;TripTime;Type
36;13;O
39;12;O
40;15;O
47;29;O
56;35;O
57;47;O
61;31;I
63;35;O
64;31;I
68;43;I
69;32;O
70;40;O
74;43;I
75;41;O
76;46;O
78;42;O
80;35;I
89;64;O
95;62;I
95;50;O
99;59;O
106;76;O
118;75;I
118;79;O
131;59;I
149;35;O
152;36;O
167;26;O
171;35;O
178;47;O
185;38;I
225;33;O
248;32;O
254;31;O
267;29;O
269;39;O
272;40;O
279;82;O
283;40;O
287;44;O
297;32;O
309;44;I
310;51;I
317;31;O
331;48;I
347;36;O
352;27;O
365;54;I
373;55;O
387;26;I
391;33;O
397;57;I
402;38;O
407;44;I
407;35;O
411;33;O
415;44;I
415;41;O
428;57;O
433;24;O
475;43;O
485;32;O
500;23;O
513;41;O
523;20;O
526;43;I
532;27;O
549;52;I
552;52;O
558;18;O
565;29;O
570;58;I
587;55;O
591;61;O
599;38;O
605;71;I
612;86;O
631;39;O
637;78;O
637;59;O
644;52;I
646;36;I
677;43;O
678;33;O
680;66;I
683;41;O
686;50;O
706;70;I
711;33;O
723;44;I
757;58;I
772;44;O
774;32;O
782;55;O
786;32;O
786;39;O
790;33;O
812;44;O
814;30;O
827;61;I
833;62;I
838;43;O
839;77;O
842;53;I
842;34;O
846;26;O
847;46;O
849;67;O
871;44;I
875;44;O
898;36;O
909;47;O
914;48;I
927;45;I
944;57;I
946;63;O
952;59;O
956;43;O
963;54;O
988;82;I
989;27;O
990;38;O
1003;53;O
1007;16;O
1020;37;O
1028;32;O
1036;52;I
1039;45;O
1052;45;I
1058;36;O
1058;38;O
1072;31;O
1073;30;I
1075;49;O
1075;40;O
1078;46;I
1105;31;O
1108;29;O
1117;52;O
1128;38;I
1130;26;O
1145;30;O
1145;72;I
1159;17;I
1159;56;I
1159;29;O
1175;63;O
1185;48;O
1199;36;O
1209;110;O
1211;21;O
1218;40;I
1233;39;O
1244;58;O
1272;56;I
1278;34;O
1297;58;O
1298;36;O
1327;57;I
1332;66;I
1337;47;O
1342;110;O
1353;61;O
1364;48;O
1366;47;O
1378;79;I
1381;34;O
1384;44;I
1390;76;O
1399;65;I
1404;55;O
1413;46;O
1415;60;O
1417;84;O
1425;28;O
1432;51;I
1433;18;O
1434;40;O
1437;67;I
1452;30;O
1470;32;O
1479;19;O
1480;41;O
1483;43;I
1503;54;O
1510;85;I
1529;42;I
1536;34;O
1538;18;O
1546;55;I
1553;43;O
1560;55;O
1573;54;I
1574;51;O
1581;50;O
1582;39;O
1591;57;I
1606;22;O
1608;43;O
1608;37;O
1628;44;I
1644;65;O
1647;80;O
1648;30;O
1654;48;I
1662;43;I
1667;60;O
1677;31;O
1688;39;I
1698;109;O
1714;32;I
1717;75;O
1717;30;O
1739;48;O
1748;29;I
1749;30;O
1756;35;O
1766;46;O
1774;55;O
1779;42;O
1784;47;O
1792;22;O
1792;61;I
1793;46;O
