#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/26,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.85;1;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/15,Rest/1
119.79;8;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/14,Rest/2
179.84;9;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
239.91;6;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/12,Rest/2
299.97;4;None/0,ParkPod/3,RepositionPod/0,Insert/6,Extract/15,Rest/2
359.8;4;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/12,Rest/1
419.96;7;None/0,ParkPod/6,RepositionPod/0,Insert/9,Extract/9,Rest/2
479.85;3;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/9,Rest/5
539.96;4;None/0,ParkPod/4,RepositionPod/0,Insert/6,Extract/10,Rest/6
599.97;4;None/0,ParkPod/1,RepositionPod/0,Insert/9,Extract/11,Rest/5
659.6;2;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/13,Rest/1
719.98;4;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/13,Rest/0
779.93;4;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/12,Rest/0
839.97;2;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/12,Rest/1
899.74;3;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/10,Rest/2
959.82;1;None/0,ParkPod/8,RepositionPod/0,Insert/6,Extract/10,Rest/2
1019.61;5;None/0,ParkPod/3,RepositionPod/0,Insert/7,Extract/11,Rest/5
1079.62;3;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/10,Rest/3
1139.97;1;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/13,Rest/2
1199.99;5;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/12,Rest/3
1259.94;5;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/13,Rest/1
1319.84;2;None/0,ParkPod/8,RepositionPod/0,Insert/7,Extract/11,Rest/0
1379.83;4;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/11,Rest/1
1439.98;3;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/10,Rest/4
1499.75;2;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/12,Rest/2
1559.68;0;None/0,ParkPod/9,RepositionPod/0,Insert/5,Extract/11,Rest/1
1619.98;2;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/12,Rest/1
1679.99;5;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/12,Rest/0
1739.93;5;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/14,Rest/1
1800;7;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/11,Rest/2
