#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.33
59.85;200;200;59.81;59.85;59.85;59.85;0.29;0.33
119.93;200;200;80.52;78.37;119.93;119.93;0.29;0.35
179.82;200;200;118.52;80.52;179.82;174.7;0.29;0.42
239.96;200;200;102.99;81.27;239.96;227.44;0.31;0.51
299.84;200;200;130.86;63.82;299.84;265.18;0.32;0.41
359.99;200;200;141.2;52.69;359.99;320.59;0.31;0.39
419.65;200;200;160.43;61.42;419.65;388.93;0.32;0.31
479.88;200;200;136.87;73.91;479.87;421.45;0.31;0.4
539.85;200;200;132.02;56.4;539.83;420.24;0.3;0.39
599.62;200;200;137.97;41.03;599.59;393.75;0.3;0.38
659.93;200;200;127.12;67.27;659.89;481.35;0.31;0.38
719.97;200;200;128.26;48.19;696.26;475.32;0.33;0.36
779.97;200;200;144.84;49.95;729.1;565.33;0.31;0.36
839.6;200;200;181.93;48.37;763.97;569.38;0.34;0.37
899.78;200;200;164.83;70.95;760.25;630.19;0.34;0.41
959.85;200;200;192.05;66.85;787.97;624.2;0.32;0.43
1019.97;200;200;194.17;76.59;793.53;828.52;0.33;0.36
1079.99;200;200;214.05;68.74;809.05;782.82;0.34;0.37
1139.62;200;200;207.1;67.59;811.36;839.53;0.34;0.41
1199.84;200;200;192.79;69.5;796.82;881.82;0.35;0.33
1259.99;200;200;234.17;63.44;835.29;801.27;0.36;0.33
1319.97;200;200;227.11;54.64;831.29;1054.99;0.35;0.25
1379.78;200;200;255.37;53.76;860.71;1078.06;0.33;0.31
1439.71;200;200;268.24;75.76;883.26;876.99;0.33;0.37
1499.91;200;200;230.03;69.94;854.21;1040.38;0.32;0.35
1559.89;200;200;269.89;59.12;897.28;832.22;0.32;0.39
1619.92;200;200;277.01;67.25;896.42;696.31;0.34;0.38
1679.9;200;200;293.6;60.18;915.83;922.56;0.35;0.3
1739.95;200;200;319.79;72.42;942.88;1000.51;0.35;0.28
1799.93;200;200;368.61;67.5;989.75;891.08;0.35;0.39
