#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;4;4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/9,1/6,2/7,3/6;0/0,1/0,2/0,3/0;0/9,1/6,2/7,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0
59.85;0;0;4;4;0/59.85,1/59.85,2/59.85,3/59.85;0/58.94,1/54.2,2/49.94,3/52.28;0/59.85,1/59.85,2/59.85,3/59.85;0/59.85,1/59.85,2/59.85,3/59.85;0/0,1/0,2/0,3/0;0/2,1/0,2/2,3/1;0/21,1/22,2/17,3/19;0/8,1/5,2/6,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/1,1/1,2/1,3/1
119.9;0;6;4;4;0/80.08,1/76.61,2/109.62,3/74.96;0/66.25,1/71.39,2/80.3,3/75.68;0/119.9,1/119.9,2/119.9,3/119.9;0/119.9,1/119.9,2/119.9,3/119.9;0/12,1/9,2/0,3/10;0/0,1/0,2/2,3/0;0/28,1/26,2/15,3/24;0/7,1/5,2/7,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/1,1/1,2/2,3/2;0/5,1/5,2/2,3/5;0/6,1/5,2/5,3/5
179.8;1;12;4;4;0/90.36,1/77.64,2/110.54,3/76.52;0/69.74,1/75.6,2/83.69,3/78.39;0/179.8,1/179.8,2/179.8,3/179.8;0/179.8,1/179.8,2/179.8,3/179.8;0/0,1/9,2/8,3/10;0/0,1/1,2/0,3/0;0/23,1/20,2/17,3/18;0/5,1/5,2/6,3/4;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/0,2/0,3/0;0/3,1/3,2/3,3/3;0/10,1/11,2/8,3/11;0/12,1/11,2/10,3/11
240;4;16;4;4;0/91.47,1/87.48,2/120.45,3/86.23;0/73.96,1/84.84,2/85.75,3/79.71;0/240,1/240,2/240,3/240;0/240,1/240,2/240,3/240;0/12,1/9,2/7,3/9;0/0,1/1,2/0,3/1;0/29,1/25,2/19,3/22;0/7,1/8,2/4,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/1,2/1,3/1;0/5,1/4,2/4,3/3;0/16,1/16,2/13,3/16;0/17,1/16,2/16,3/17
299.93;4;21;4;4;0/92.33,1/89.07,2/132.2,3/113.22;0/76.93,1/88.81,2/88.75,3/85;0/299.93,1/299.93,2/299.93,3/299.93;0/299.93,1/299.93,2/299.93,3/299.93;0/0,1/9,2/7,3/0;0/0,1/0,2/2,3/0;0/24,1/19,2/15,3/19;0/5,1/7,2/6,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/1,2/1,3/1;0/6,1/5,2/5,3/5;0/21,1/22,2/17,3/19;0/23,1/22,2/22,3/22
359.99;8;25;4;4;0/101.07,1/118.41,2/159.57,3/136.17;0/80.3,1/92.04,2/100.8,3/93.48;0/359.99,1/359.99,2/359.99,3/359.99;0/359.99,1/359.99,2/359.99,3/359.99;0/0,1/9,2/9,3/8;0/0,1/0,2/1,3/1;0/25,1/25,2/20,3/23;0/4,1/4,2/6,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/2,1/2,2/2,3/2;0/7,1/6,2/7,3/5;0/27,1/25,2/21,3/23;0/29,1/28,2/27,3/27
419.98;9;31;4;4;0/101.47,1/119.19,2/171.82,3/137.72;0/90.71,1/96.56,2/113.19,3/97.89;0/419.98,1/419.98,2/419.98,3/419.98;0/419.98,1/419.98,2/419.98,3/419.98;0/0,1/9,2/9,3/8;0/0,1/1,2/0,3/0;0/19,1/19,2/15,3/17;0/8,1/6,2/3,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/2,1/2,2/3,3/2;0/8,1/7,2/9,3/7;0/33,1/31,2/26,3/29;0/34,1/34,2/32,3/33
479.71;12;33;4;4;0/110.34,1/129.11,2/173.38,3/147.46;0/108.46,1/99.82,2/144.4,3/98.93;0/479.71,1/479.71,2/479.71,3/479.71;0/479.71,1/479.71,2/479.71,3/479.71;0/7,1/9,2/9,3/8;0/0,1/1,2/0,3/0;0/21,1/23,2/18,3/21;0/7,1/5,2/4,3/3;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/3,1/3,2/3,3/3;0/9,1/8,2/9,3/7;0/38,1/36,2/32,3/34;0/38,1/39,2/34,3/39
539.96;12;40;4;4;0/111.11,1/135.51,2/224.71,3/166.22;0/112.78,1/118.12,2/151.89,3/103.6;0/539.96,1/539.96,2/539.96,3/539.96;0/539.96,1/539.96,2/539.96,3/539.96;0/0,1/9,2/0,3/8;0/0,1/0,2/1,3/0;0/15,1/18,2/18,3/17;0/10,1/5,2/4,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/3,1/3,2/3,3/3;0/11,1/9,2/11,3/9;0/44,1/41,2/32,3/38;0/44,1/43,2/40,3/45
599.85;16;46;4;4;0/120.83,1/190.1,2/247.77,3/206.74;0/116.19,1/127.21,2/156.39,3/106.31;0/599.85,1/599.85,2/599.85,3/599.85;0/599.85,1/599.85,2/599.85,3/599.85;0/0,1/9,2/7,3/9;0/2,1/1,2/0,3/0;0/16,1/26,2/21,3/24;0/8,1/5,2/3,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/4,1/4,2/4,3/4;0/12,1/11,2/13,3/10;0/49,1/42,2/36,3/40;0/50,1/49,2/46,3/51
