#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
61.98;3;61.98;61.98;-1738.02
74.09;1;74.09;74.09;-1725.91
84;1;84;21.72;-7116
86.98;2;86.98;86.98;-1713.02
88.95;0;88.95;26.67;-7111.05
97.03;2;97.03;21.22;-7102.97
105.21;0;105.21;105.21;-1694.79
110.21;1;110.21;110.21;-1689.79
112.55;3;112.55;50.27;-7087.45
115.53;0;115.53;21.03;-7084.47
120.53;1;120.53;36.18;-1679.47
125.65;0;125.65;20.14;-7074.35
126.78;2;126.78;126.78;-1673.22
130.78;1;130.78;31.03;-7069.22
134.84;3;134.84;20.29;-7065.16
135.64;0;135.64;20.06;-7064.36
137.22;2;137.22;137.22;-1662.78
141.22;1;141.22;30.76;-7058.78
147.2;3;147.2;147.2;-1652.8
153.45;1;153.45;153.45;-1646.55
157.27;3;157.27;157.27;-1642.73
163.38;1;163.38;18.7;-7036.62
169.69;2;169.69;19.97;-7030.31
169.73;0;169.73;169.73;-1630.27
177.52;3;177.52;41.53;-7022.48
179.82;0;179.82;30.1;-1620.18
184.72;1;184.72;184.72;-1615.28
187.4;3;187.4;40.16;-7012.6
189.91;0;189.91;20.13;-7010.09
191.59;2;191.59;54.32;-7008.41
197.81;3;197.81;40.47;-7002.19
201.54;2;201.54;26.75;-6998.46
201.79;0;201.79;201.79;-1598.21
204.75;1;204.75;41.12;-6995.25
211.66;2;211.66;19.94;-6988.34
214.86;1;214.86;51.23;-6985.14
220.42;3;220.42;220.42;-1579.58
221.68;0;221.68;29.96;-6978.32
221.68;2;221.68;19.89;-6978.32
225.17;1;109.59;40.41;-7090.41
230.44;3;230.44;18.6;-6969.56
232.25;0;232.25;30.41;-6967.75
232.25;2;232.25;20.41;-6967.75
236.22;1;236.22;105.39;-1563.78
242.68;0;242.68;20.8;-6957.32
242.68;2;106.7;20.8;-7093.3
242.73;3;242.73;130.13;-1557.27
246.73;1;246.73;21.44;-6953.27
252.81;2;83.03;20.51;-7116.97
256.45;1;194.17;31.16;-7005.83
264.06;0;264.06;264.06;-1535.94
264.76;2;264.76;167.63;-6935.24
266.69;1;41.41;30.34;-1758.59
279.34;1;279.34;138.08;-1520.66
284.11;0;284.11;148.13;-1515.89
291.33;3;291.33;103.56;-6908.67
304.77;2;304.77;50.66;-6895.23
311.48;3;311.48;80.89;-6888.52
316.13;0;316.13;126.13;-1483.87
316.81;2;316.81;189.99;-6883.19
319.69;1;127.98;50.5;-1672.02
323.47;3;323.47;125.62;-1476.53
326.33;0;326.33;83.6;-6873.67
329.65;1;329.65;50.15;-6870.35
337.37;2;25.84;25.76;-7174.16
339.83;1;339.83;20.07;-6860.17
346.5;0;26.74;26.69;-7173.26
349.45;2;349.45;349.45;-1450.55
351.27;1;351.27;136.37;-6848.73
355.19;3;355.19;112.37;-6844.81
357.99;0;357.99;93.89;-6842.01
369.66;2;369.66;29.77;-6830.34
371.25;1;104.19;29.93;-7095.81
375.58;3;375.58;31.49;-6824.42
381.83;2;287.32;128.97;-6912.68
385.5;3;45.61;30.22;-7154.39
387.84;0;387.84;39.42;-1412.16
394.72;1;394.72;137.86;-1405.28
398.45;0;398.45;40.4;-6801.55
404.67;1;241.04;137.61;-1558.96
408.75;3;408.75;117.36;-1391.25
412.35;2;412.35;40.96;-6787.65
422.52;2;422.52;40.48;-6777.48
430.13;0;81.71;28.62;-1718.29
430.48;3;166.38;118.95;-1633.62
432.67;2;432.67;20.18;-6767.33
435.17;1;435.17;50.91;-6764.83
442.66;0;442.66;158.51;-6757.34
445.14;1;445.14;50.35;-6754.86
455.73;1;455.73;50.89;-6744.27
463.13;0;463.13;30.15;-6736.87
464.95;3;180.8;141.44;-1619.2
467.52;1;467.52;127.63;-6732.48
474.95;0;474.95;158.65;-6725.05
485.05;3;485.05;31.01;-6714.95
485.35;0;485.35;21.26;-6714.65
495.34;0;495.34;20.28;-6704.66
496.85;2;496.85;127.06;-6703.15
505.7;0;358.45;20.22;-6841.55
506.83;2;506.83;19.61;-6693.17
507.69;1;305.85;50.6;-1494.15
509.19;3;197.58;78.36;-7002.42
516.85;2;516.85;19.96;-6683.15
517.49;0;517.49;170.89;-6682.51
517.77;1;517.77;50.08;-6682.23
527.28;2;430.15;20.23;-6769.85
527.42;0;312.51;128.88;-1487.49
529.39;3;66.21;38.24;-7133.79
538.09;0;538.09;74.92;-1261.91
541.3;3;249.9;155.6;-6950.1
547.94;0;547.94;42.19;-6652.06
549.12;1;549.12;31.25;-6650.88
549.25;2;549.25;211.84;-6650.75
551.39;3;551.39;66.29;-6648.61
558.23;0;558.23;51.17;-6641.77
559.72;2;177.68;31.57;-1622.32
560.14;1;560.14;188.75;-6639.86
568.74;0;568.74;51.2;-6631.26
570.84;2;570.84;137.86;-6629.16
579.12;0;274.15;51.4;-6925.85
581.56;2;471.1;21.43;-6728.9
590.38;1;252.97;41.22;-6947.03
600.91;1;41.1;40.57;-7158.9
603.68;3;603.68;194.61;-1196.32
612.06;1;470.8;156.29;-6729.2
621.43;2;621.43;316.46;-6578.57
622.29;1;622.29;104.47;-6577.71
633.84;3;633.84;41.25;-6566.16
644.26;3;581.98;40.43;-6618.02
647.67;0;647.67;89.15;-1152.33
651.47;2;176.41;41.14;-7023.59
654.06;1;654.06;208.74;-6545.94
654.06;3;411.25;20.18;-6788.75
657.76;0;657.76;27.38;-6542.24
661.61;2;112.45;40.13;-7087.55
664.26;1;664.26;63.3;-6535.74
668.03;0;553.48;20.31;-6646.52
673.01;2;481.29;145.68;-1318.71
673.79;3;673.79;122.36;-6526.21
674.51;1;279.72;52.05;-1520.28
678.42;0;488.42;20.52;-6711.58
683.74;3;520.11;154.01;-1279.89
689.54;0;689.54;141.18;-6510.46
702.75;2;154.39;40.83;-1645.61
704.05;0;704.05;124.77;-1095.95
705.05;3;474.46;163.69;-1325.54
707.39;1;707.39;95.03;-1092.61
712.75;2;576.77;50.82;-1223.23
727.7;1;357.92;28.63;-6842.08
735.48;2;735.48;153.83;-6464.52
737.88;1;53.95;30.45;-7146.05
740.47;3;740.47;56.54;-6459.53
746.32;0;746.32;177.45;-1053.68
748.04;1;40.6;20.22;-1759.4
755.48;3;356.94;101.05;-1443.06
756.44;0;401.15;77.94;-6798.85
758.13;2;758.13;198.33;-6441.87
765.98;1;765.98;101.42;-6434.02
765.98;3;765.98;92.11;-1034.02
766.83;0;766.83;40.8;-6433.17
768.44;2;768.44;32.74;-6431.56
778.85;2;104.97;40.89;-7095.03
781.85;0;781.85;92.04;-6418.15
785.89;1;564.01;30.97;-6635.99
785.89;3;598.13;41.28;-6601.87
788.88;2;85.78;30.44;-7114.22
791.89;0;791.89;17.15;-6408.11
795.72;1;390.88;29.69;-6809.12
797.46;3;797.46;92.36;-6402.54
800.68;2;800.68;97.58;-999.32
801.96;0;689.37;20.07;-6510.63
805.97;1;338.27;19.89;-6861.73
807.63;3;807.63;66.98;-992.37
810.96;2;218.37;97.81;-1581.63
812.54;0;150.61;20.42;-7049.39
816.04;1;67.96;19.93;-7132.04
817.58;3;817.58;51.55;-6382.42
821.24;2;821.24;42.17;-6378.76
827.55;1;827.55;173.12;-6372.45
827.71;3;827.71;41.64;-6372.29
831.71;2;831.71;42.59;-6368.29
837.69;3;837.69;50.28;-6362.31
848.04;3;721.22;50.46;-6478.78
852.83;0;852.83;148.73;-6347.17
857.64;1;275.99;40.13;-1524.01
858.56;3;62.45;50.89;-7137.55
867.6;1;867.6;40;-6332.4
878.15;1;414.06;20.46;-6785.94
883.02;0;563.21;51.26;-1236.79
888.28;1;358.55;20.44;-6841.45
893.03;0;893.03;40.1;-6306.97
900.08;1;900.08;225.38;-6299.92
903.14;0;903.14;20.08;-6296.86
903.26;2;903.26;20.2;-6296.74
906.57;3;906.57;78.82;-6293.43
912.9;0;912.9;19.79;-6287.1
923.37;0;654.18;20.19;-6545.82
924.62;2;749.84;113.47;-6450.16
925.71;1;825.96;177.63;-6374.04
926.71;3;278.99;27.64;-6921.01
935.22;2;935.22;113.83;-6264.78
936.3;1;482.26;120.1;-1317.74
936.94;3;33.76;30.18;-1766.24
945.45;0;945.45;188.67;-854.55
945.45;2;945.45;113.7;-854.55
955.32;2;127.72;41.24;-7072.28
956.37;1;63.27;63.22;-7136.73
965.44;0;437.71;40.86;-6762.29
965.56;2;39.65;39.23;-7160.35
967.16;3;967.16;129.32;-6232.84
975.8;0;188.39;30.28;-7011.61
977.99;3;977.99;129.84;-6222.01
988.07;3;988.07;129.46;-811.93
997.35;2;997.35;196.44;-6202.65
1008.69;3;1008.69;52.04;-6191.31
1010.75;1;1010.75;122.42;-6189.25
1017.1;0;251.08;93.49;-1548.92
1017.69;2;584.7;29.23;-6615.3
1037.6;0;1037.6;59.57;-6162.4
1047.77;0;815.47;30.55;-6384.53
1058.04;0;540.18;20.37;-6659.82
1068.22;0;111.57;20.13;-7088.43
1072.43;3;148.81;31.2;-7051.19
1078.47;2;262.27;122.91;-1537.73
1082.21;1;597.12;44.84;-6602.88
1090.6;0;436.18;278.02;-6763.82
1093.93;1;1093.93;137.28;-706.07
1100.43;0;756.33;19.07;-6443.67
1104.49;1;1104.49;93.69;-6095.51
1108.83;2;1108.83;41.33;-6091.17
1108.87;3;352.09;171.88;-1447.91
1111.83;0;899.99;344.96;-900.01
1114.44;1;1114.44;26.88;-6085.56
1118.96;2;539.68;40.31;-6660.32
1119.01;3;1119.01;140.97;-6080.99
1121.55;0;763.5;145.71;-6436.5
1124.83;1;420.73;30.53;-6779.27
1130.79;2;623.73;113.06;-1176.27
1131.95;0;698.97;63.69;-1101.03
1137.18;1;728.12;200.84;-6471.88
1140.61;3;1140.61;152.15;-6059.39
1148.94;1;1148.94;223.03;-6051.06
1148.94;2;390.51;203.42;-1409.49
1150.7;3;1150.7;141.94;-6049.3
1175.33;2;1175.33;209.52;-6024.67
1179.37;1;1179.37;41.35;-6020.63
1181.22;3;927.12;59.31;-6272.88
1189.5;1;51.48;40.38;-7148.52
1191.51;3;673.69;50.62;-6526.31
1201.44;3;446.52;50.37;-6753.48
1205.77;2;317.44;38.63;-6882.56
1207.54;0;421.47;50.45;-6778.53
1211.75;3;44.62;30.39;-7155.38
1218.3;1;605.95;103.52;-6594.05
1218.7;0;1218.7;118.01;-5981.3
1223.02;3;1223.02;114.04;-5976.98
1238.67;1;116.75;113.75;-7083.25
1241.38;0;162.73;18.29;-7037.27
1244.94;2;104.05;95.82;-1695.95
1254.67;0;1254.67;142.8;-5945.33
1267.27;0;529.31;135.27;-1270.69
1277.35;0;587.55;58.37;-1212.45
1281.35;1;187.06;91.74;-1612.94
1287.7;0;220.2;32.98;-1579.8
1291.35;1;1291.35;30.43;-5908.65
1294.38;3;1294.38;174.99;-5905.62
1297.27;2;1139.94;166.38;-6060.06
1298.15;0;43.43;39.52;-7156.57
1302.99;1;536.12;165.52;-1263.88
1304.8;3;1304.8;92.86;-5895.2
1330;0;769.66;208.09;-6430.34
1332.39;3;1332.39;109.3;-5867.61
1334.4;1;1334.4;95.4;-5865.6
1344.58;1;523.19;53.14;-1276.81
1345.28;2;336.53;226.28;-1463.47
1350.21;0;218.21;29.06;-6981.79
1352.48;3;240.61;47.63;-1559.39
1362.42;3;344.69;41.27;-6855.31
1364.48;1;1302.2;37.98;-5897.8
1365.21;2;537.45;120.2;-6662.55
1372.58;3;170.78;40.14;-7029.22
1374.97;0;287.41;97.57;-1512.59
1383.95;3;202.59;182.15;-1597.41
1385.55;2;266.55;51;-6933.45
1395.35;1;1395.35;176.65;-5804.65
1395.64;2;276.24;50.31;-6923.76
1399.87;0;1399.87;101.65;-5800.13
1405.56;1;1405.56;40.83;-5794.44
1413.14;3;714.07;118.71;-1085.93
1415.98;1;264.9;31.63;-6935.1
1416.57;2;226.96;119.26;-6973.04
1419.97;0;201.26;30.85;-1598.74
1423.83;3;540.77;61.23;-1259.23
1426.43;1;30.65;30.41;-1769.35
1431.9;0;1431.9;144.09;-5768.1
1436.9;2;74.31;51.17;-7125.69
1446.97;2;169.57;51.19;-1630.43
1449.33;1;1449.33;104.67;-5750.67
1453.65;3;1453.65;48.05;-5746.35
1463.99;3;58.39;50.48;-7141.61
1468.57;2;636.82;262.76;-6563.18
1472.22;0;954.68;48.34;-6245.32
1475.51;3;125.26;102.78;-1674.74
1501.49;3;1501.49;117.14;-5698.51
1510.49;1;1510.49;207.45;-5689.51
1515.06;0;188.56;164.81;-7011.44
1525.44;0;1525.44;105.43;-5674.56
1535.33;0;569.52;30.36;-6630.48
1547.84;0;1060.62;172.63;-6139.38
1551.84;3;102.47;59.96;-7097.53
1554.14;2;1478.33;137.26;-5721.67
1557.92;0;144.41;85.56;-7055.59
1560.8;1;1560.8;58.96;-5639.2
1563.72;3;575.26;109.79;-6624.74
1572.78;1;832.13;123.4;-967.87
1584.34;2;345.33;39.45;-6854.67
1594.41;2;36.44;36.39;-7163.56
1606.87;1;1038.01;190.85;-6161.99
1606.95;3;285.8;142.61;-1514.2
1607.75;2;629.72;170.8;-6570.28
1627.17;1;1099.02;66.29;-6100.98
1634.78;2;1634.78;166.01;-5565.22
1637.29;1;64.46;33.79;-7135.54
1637.29;3;414.2;42.78;-6785.8
1650.7;0;233.82;37.16;-6966.18
1659.11;3;1437.23;183.55;-5762.77
1662.69;0;1662.69;137.2;-5537.31
1669.35;3;1484.58;117.46;-5715.42
1672.65;0;631.42;17.97;-6568.58
1680.59;3;1680.59;116.75;-5519.41
1682.92;0;310.18;20.16;-6889.82
1694.53;0;683.74;158.96;-6516.26
1699.17;1;141.15;41.11;-7058.85
1704.73;0;1100.9;146.77;-6099.1
1711.2;1;900.05;138.37;-6299.95
1721.05;3;1721.05;51.62;-5478.95
1723.6;2;307.58;276.26;-1492.42
1733.68;2;1020.54;98.68;-6179.46
1734.58;1;1348.88;107.33;-5851.12
1742.52;3;1742.52;83.36;-5457.48
1743.47;0;1545.62;195.58;-5654.38
1752.77;3;388.03;29.96;-6811.97
1753.71;0;941.12;70.75;-858.88
1754.44;1;623.55;40.74;-6576.45
1763.01;3;29.26;20.35;-7170.74
1763.56;0;94.16;68.98;-1705.84
1765.09;1;341.21;30.35;-6858.79
1775.33;1;230.45;20.54;-6969.55
1780.01;2;1780.01;172.06;-5419.99
1790.05;2;640.93;66.36;-6559.07
1790.82;1;1790.82;153.49;-5409.18
