#TimeStamp;Runtime;Requests
0.88;0.61;26
1.88;0.01;1
5.3;0.02;1
10.68;0.01;1
13.2;0.01;1
14.32;0;1
15.37;0;2
16.68;0;2
17.93;0;3
18.98;0;2
20;0;1
21.09;0;1
22.13;0;2
23.18;0;2
24.22;0;1
25.27;0.01;2
26.31;0.01;3
27.31;0.01;2
28.4;0.02;2
29.44;0.01;1
30.48;0.11;5
31.48;0.31;4
32.53;0.02;3
33.57;0.02;4
34.62;0.13;5
35.62;0.02;2
36.62;0.02;2
37.62;0.05;3
38.62;0.04;3
39.62;0.12;3
40.62;0.13;4
41.62;0.05;2
42.62;1;3
43.62;1;2
44.62;1;1
45.62;0.54;3
46.62;0.52;3
47.62;0.09;2
48.62;1;2
50.98;0.12;1
52.96;0.32;1
53.98;0.1;2
54.98;0.16;2
56.2;0.24;3
57.2;0.25;2
58.2;0.51;2
59.2;0.35;3
60.2;0.41;3
61.27;0.06;4
62.28;0.17;5
63.32;0.12;5
64.37;0.35;6
65.41;0.05;5
66.46;0.03;6
67.5;0.02;5
68.55;0.03;4
69.59;0.1;4
70.63;0.06;4
71.68;0.06;4
72.72;0.08;4
73.73;0.03;4
74.77;0.08;4
75.8;0.04;3
76.8;0.08;3
77.84;0.08;2
78.84;0.07;2
79.91;0.06;1
81;0.05;1
82.41;0.02;1
83.42;0.01;2
84.42;0.01;2
85.46;0.01;5
86.5;0.01;4
87.55;0.01;4
88.57;0.01;2
89.66;0.02;2
90.68;0.01;2
95.23;0.01;1
96.46;0.01;1
97.69;0.01;1
98.77;0;1
99.79;0.01;1
100.94;0;1
101.97;0.01;2
104.21;0.01;1
105.94;0.01;1
106.94;0.01;1
111.45;0.01;1
120.82;0.01;1
123.38;0;1
128.43;0.01;1
129.6;0.01;3
134.61;0;1
139.54;0;1
140.59;0;1
141.59;0;1
149.28;0;1
150.29;0.01;2
157.15;0.01;1
158.59;0.01;1
159.59;0.01;1
164.29;0;1
167.09;0.01;1
168.56;0.01;1
170.47;0.01;1
174.94;0;1
177.44;0.01;1
179.76;0.01;1
182;0.01;1
183;0.01;2
185.56;0.01;1
186.76;0.01;1
188.14;0.01;1
189.45;0;2
190.5;0;1
191.63;0.01;1
192.67;0.01;1
193.72;0.01;1
194.76;0.01;1
195.81;0;1
196.85;0.01;2
198.94;0.01;1
200.32;0.01;1
201.49;0;1
205.22;0.01;1
208.49;0.01;1
209.51;0;1
210.51;0.01;1
212.18;0;1
213.32;0;1
214.46;0.01;1
215.65;0;1
216.88;0.01;1
218.05;0.01;1
219.08;0.01;2
220.12;0;1
221.17;0.01;2
222.17;0;2
223.21;0.01;2
224.25;0.01;3
225.3;0;3
226.33;0;4
227.35;0.01;5
228.39;0.01;2
229.44;0.01;1
230.45;0.01;2
231.57;0.01;2
232.61;0.01;1
233.66;0.01;2
234.66;0.02;2
235.66;0.01;2
237.14;0.01;1
239.84;0.01;1
241.21;0.01;1
244.75;0.01;1
246.61;0.01;1
251.33;0.01;1
253.03;0.01;1
254.41;0.01;1
257.7;0.01;1
259.93;0.01;1
260.99;0.02;1
262.88;0.01;1
267.98;0.01;1
269.02;0.01;1
273.39;0.01;1
274.39;0.01;1
275.64;0.01;1
276.64;0.01;1
282.65;0.01;1
289.78;0.01;1
290.78;0.01;3
291.78;0.01;1
295.31;0.01;1
299.03;0.01;1
300.04;0.01;2
301.27;0.01;1
305.58;0.01;1
309.75;0.01;1
310.75;0;1
315.25;0;1
318.26;0.01;1
320.63;0;1
321.64;0.01;3
326.97;0;1
329.82;0;1
330.82;0.02;2
331.82;0.01;1
335.24;0.01;1
337.55;0;1
338.68;0;1
340.35;0.01;1
345.82;0.01;1
350.37;0.01;1
351.46;0.01;1
352.64;0.01;2
353.73;0.01;2
359.76;0.01;1
360.76;0.01;2
362.04;0.01;1
363.08;0.01;1
364.5;0.01;1
368.64;0.01;1
369.91;0.01;1
371.16;0.01;1
372.4;0.01;1
373.43;0.01;1
374.46;0.01;1
375.49;0.02;2
377.36;0.01;1
379.96;0.01;1
380.98;0.01;1
381.98;0.01;1
383.03;0.01;1
384.07;0.01;1
385.11;0.01;3
386.11;0.02;2
395.16;0.01;1
398.47;0.01;1
399.47;0.01;1
400.52;0.01;1
401.56;0.01;1
402.64;0.01;1
409.09;0;1
411.13;0;1
412.75;0;1
414.18;0.01;1
419.09;0.01;1
420.13;0.01;1
423.44;0.01;1
424.49;0.01;1
426.79;0.01;1
428.36;0.01;1
429.36;0.01;3
430.36;0.01;2
431.36;0.01;1
432.4;0.01;1
433.49;0.01;2
434.52;0;1
435.57;0;1
436.61;0.01;2
442.4;0.01;1
445.96;0;1
448.05;0;1
455.21;0.01;1
456.25;0;1
458.28;0;1
460.25;0;1
462.32;0.01;1
468.54;0;1
471.72;0;1
472.72;0.01;1
473.73;0;1
487.02;0;1
491.06;0.01;2
492.06;0;1
493.06;0;1
494.91;0.01;1
496.15;0.01;1
498.43;0.01;1
499.43;0.01;1
500.47;0.01;3
504.96;0.01;1
506.09;0.01;1
507.09;0.01;2
508.15;0.01;1
521.37;0.01;1
525.83;0.01;1
526.86;0.01;1
527.86;0.01;2
528.86;0.01;1
532.09;0.01;2
533.09;0.01;1
534.09;0.01;1
535.61;0.01;1
536.63;0.01;2
537.63;0.01;1
539.38;0.01;1
540.63;0.02;2
541.63;0.01;2
543.09;0.01;1
544.31;0.01;1
545.31;0.01;1
546.37;0.01;2
549.63;0.01;1
550.87;0.01;1
552.28;0.01;3
553.4;0.01;3
554.43;0.01;4
555.43;0.01;3
556.53;0.01;3
557.53;0.02;4
558.58;0.02;4
559.58;0.01;1
560.82;0.01;3
561.82;0.02;1
563;0.03;2
564.03;0.03;3
565.03;0.02;4
566.03;0.02;3
567.12;0.02;2
568.17;0.01;2
573.14;0.01;1
574.18;0.01;1
575.23;0.01;1
576.23;0.01;1
577.24;0.02;2
582.29;0.01;1
586.52;0.01;1
587.52;0.01;1
592.43;0.01;1
593.48;0.01;1
594.48;0.01;1
595.52;0;1
596.57;0;1
598.66;0;1
602.37;0;1
609.37;0;1
610.37;0;1
611.5;0.01;1
612.5;0.01;1
613.5;0.02;1
614.5;0.05;2
615.5;0.08;1
616.5;0.08;2
617.5;0.07;2
618.5;0.06;2
619.5;0.05;1
620.52;0.02;2
623.55;0.02;1
630.55;0.02;1
637.05;0.02;1
638.05;0.02;1
640.79;0.02;1
641.79;0.02;2
643.15;0.02;1
644.15;0.03;1
647.18;0.02;1
653;0.01;1
654.48;0.01;1
655.9;0.01;1
657.15;0.11;2
658.15;0.11;1
659.19;0.1;1
660.24;0.02;1
661.28;0.02;1
662.28;0.02;1
663.33;0.01;1
664.37;0.01;2
665.41;0.01;1
666.46;0.01;3
668.54;0.01;1
669.54;0.01;1
670.59;0.01;1
671.63;0.01;2
672.64;0.01;2
673.64;0.01;1
674.66;0.01;1
675.77;0.01;1
678.28;0;1
679.65;0.01;2
680.74;0;1
681.74;0;1
682.74;0;1
683.79;0;1
684.93;0.01;2
685.96;0;1
687.27;0;1
688.33;0;1
689.34;0;2
690.37;0;1
691.59;0;2
692.59;0.01;2
693.63;0.01;2
694.63;0.01;2
695.64;0.02;1
696.95;0.01;1
698.3;0.01;1
699.3;0.01;2
700.32;0.01;2
701.56;0.01;2
702.57;0.01;3
703.58;0.01;2
704.77;0.01;2
705.82;0.01;2
706.86;0.01;3
707.86;0.01;3
708.9;0.01;2
709.9;0.01;1
712.59;0.01;1
714.53;0.02;1
717.11;0.01;1
718.78;0.01;1
726.42;0.01;1
727.45;0.03;2
728.45;0.1;2
730.29;0.11;1
732.45;0.09;1
739.07;0.02;1
744.14;0.02;1
745.91;0.01;1
746.91;0.01;1
751.02;0.01;1
754.37;0.01;1
755.37;0.01;1
756.46;0.01;1
760.41;0.01;1
761.45;0.01;1
762.45;0.01;1
766.14;0.01;1
767.14;0.01;2
768.19;0.01;1
773.28;0;1
774.28;0.01;1
778.98;0.01;1
783.68;0;1
789.23;0;1
792.26;0.01;1
793.38;0;2
798.4;0.01;1
800.18;0.01;1
801.18;0.01;2
802.18;0.01;2
803.22;0.01;1
804.24;0.01;1
805.26;0.01;1
806.3;0.01;1
807.35;0.02;2
810.79;0.01;1
811.79;0.01;1
813.09;0.01;1
814.2;0.01;1
818.11;0.01;1
819.31;0.01;2
820.37;0.01;2
821.55;0.01;2
822.55;0.01;3
823.58;0.01;1
824.58;0.01;3
825.58;0.01;1
826.82;0.01;1
827.82;0.01;1
829;0.01;1
830.22;0.01;1
831.24;0.01;1
832.35;0.01;2
833.39;0.01;2
834.64;0.01;1
835.68;0.01;2
836.68;0.02;2
840.32;0.02;1
841.55;0.02;2
842.59;0.02;2
843.64;0.02;3
844.68;0.02;1
845.72;0.02;2
846.72;0.02;2
847.72;0.02;3
848.76;0.02;3
849.76;0.01;1
850.81;0.01;1
851.81;0.01;2
853.02;0.01;1
854.06;0.01;1
855.06;0.01;1
856.15;0.02;1
857.65;0.01;1
862.74;0.01;1
863.75;0.01;1
869.97;0.01;1
874.22;0.01;1
878.51;0.01;1
886.86;0;1
889.39;0;1
891.25;0.01;1
893.89;0.01;1
895.21;0.01;3
901.09;0.01;1
902.09;0;1
903.41;0.01;1
905.57;0.01;1
910.5;0;1
911.81;0;1
921.21;0;1
922.25;0;1
925.47;0.01;1
926.88;0.02;1
930.18;0.01;1
931.38;0.01;1
932.52;0.01;1
933.54;0.01;2
934.56;0.02;2
935.56;0.01;2
936.59;0.01;1
937.61;0.01;1
938.63;0.01;3
939.98;0.01;1
942.45;0.01;1
949.7;0.01;1
951.12;0.01;1
953.51;0.01;1
