#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
74.25;15;116;3;74.25;74.2
75.45;21;445;1;75.45;75.41
79.61;2;751;0;79.61;79.57
84.39;15;116;3;84.39;84.34
85.51;21;445;1;85.51;85.46
89.89;2;751;0;89.89;89.85
94.43;15;116;3;94.43;94.39
95.55;21;445;1;95.55;95.51
99.94;2;751;0;99.94;99.89
104.48;15;116;3;104.48;104.43
105.6;21;445;1;105.6;105.55
109.98;2;751;0;109.98;109.94
111.96;12;67;2;111.96;111.91
114.52;15;116;3;114.52;114.48
115.61;21;445;1;115.61;115.56
120;2;751;0;120;119.96
122;12;67;2;122;121.96
124.56;15;116;3;124.56;124.52
125.65;21;445;1;125.65;125.61
130.04;2;751;0;130.04;130
132.05;12;67;2;132.05;132
134.58;15;116;3;134.58;134.53
135.7;21;445;1;135.7;135.65
140.05;2;751;0;140.05;140
142.09;12;67;2;142.09;142.04
144.62;15;116;3;144.62;144.58
145.71;21;445;1;145.71;145.67
150.09;2;751;0;150.09;150.04
152.13;12;67;2;152.13;152.09
154.67;15;116;3;154.67;154.62
155.76;21;445;1;155.76;155.71
160.13;2;751;0;160.13;160.09
162.18;12;67;2;162.18;162.13
164.71;15;116;3;164.71;164.67
165.8;21;445;1;165.8;165.76
172.19;12;67;2;172.19;172.15
174.74;15;116;3;174.74;174.7
175.85;21;445;1;175.85;175.8
179.1;1;234;0;179.1;179.06
182.24;12;67;2;182.24;182.19
185.89;21;445;1;185.89;185.85
189.11;1;234;0;189.11;189.06
192.28;12;67;2;192.28;192.24
193.53;20;48;3;193.53;193.48
199.15;1;234;0;199.15;199.11
203.91;20;48;3;203.91;203.86
204.61;24;465;1;204.61;204.56
209.2;1;234;0;209.2;209.15
211.01;22;52;2;211.01;210.97
213.95;20;48;3;213.95;213.91
215.01;24;465;1;215.01;214.96
219.24;1;234;0;219.24;219.2
221.1;22;52;2;221.1;221.05
223.98;20;48;3;223.98;223.94
225.05;24;465;1;225.05;225.01
229.29;1;234;0;229.29;229.24
231.11;22;52;2;231.11;231.07
234.03;20;48;3;234.03;233.98
235.1;24;465;1;235.1;235.05
239.33;1;234;0;239.33;239.29
241.16;22;52;2;241.16;241.11
244.05;20;48;3;244.05;244
245.14;24;465;1;245.14;245.1
249.37;1;234;0;249.37;249.33
251.16;22;52;2;251.16;251.12
254.07;20;48;3;254.07;254.02
255.19;24;465;1;255.19;255.14
259.42;1;234;0;259.42;259.37
261.2;22;52;2;261.2;261.16
264.08;20;48;3;264.08;264.03
265.22;24;465;1;265.22;265.18
269.46;1;234;0;269.46;269.42
271.25;22;52;2;271.25;271.2
275.27;24;465;1;275.27;275.22
279.51;1;234;0;279.51;279.46
281.25;22;52;2;281.25;281.21
285.31;24;465;1;285.31;285.27
289.55;1;234;0;289.55;289.51
295.36;24;465;1;295.36;295.31
307.96;9;497;0;307.96;187.92
318.01;9;497;0;318.01;197.96
322.58;21;561;1;322.58;202.53
327.88;15;736;3;327.88;213.32
328.05;9;497;0;328.05;208.01
328.1;12;462;2;328.1;185.96
332.79;21;561;1;332.79;212.74
337.93;15;736;3;337.93;223.36
338.1;9;497;0;338.1;218.05
338.14;12;462;2;338.14;196.01
342.83;21;561;1;342.83;222.79
347.97;15;736;3;347.97;233.41
348.14;9;497;0;348.14;228.1
348.18;12;462;2;348.18;206.05
352.87;21;561;1;352.87;232.83
358.01;15;736;3;358.01;243.44
358.18;9;497;0;358.18;238.14
358.23;12;462;2;358.23;216.1
362.91;21;561;1;362.91;242.87
368.04;15;736;3;368.04;253.47
368.23;9;497;0;368.23;248.18
368.27;12;462;2;368.27;226.14
372.96;21;561;1;372.96;252.91
378.07;15;736;3;378.07;263.51
378.27;9;497;0;378.27;258.22
378.31;12;462;2;378.31;236.18
383;21;561;1;383;262.96
388.12;15;736;3;388.12;273.55
388.31;9;497;0;388.31;268.27
388.36;12;462;2;388.36;246.23
393.04;21;561;1;393.04;273
398.14;15;736;3;398.14;283.58
398.36;9;497;0;398.36;278.31
398.4;12;462;2;398.4;256.27
403.09;21;561;1;403.09;283.04
408.19;15;736;3;408.19;293.62
408.4;9;497;0;408.4;288.36
417.62;22;200;2;417.62;196.47
418.2;15;736;3;418.2;303.63
418.45;9;497;0;418.45;298.4
425.64;24;515;1;425.64;190.5
427.74;22;200;2;427.74;206.6
435.65;24;515;1;435.65;200.5
436.6;2;410;0;436.6;227.36
437.79;22;200;2;437.79;216.65
439.94;20;499;3;439.94;235.99
445.69;24;515;1;445.69;210.55
446.83;2;410;0;446.83;237.59
447.83;22;200;2;447.83;226.69
449.98;20;499;3;449.98;246.03
455.74;24;515;1;455.74;220.59
456.87;2;410;0;456.87;247.63
457.88;22;200;2;457.88;236.73
460;20;499;3;460;256.05
465.78;24;515;1;465.78;230.64
466.91;2;410;0;466.91;257.67
467.89;22;200;2;467.89;246.74
470.01;20;499;3;470.01;266.05
475.82;24;515;1;475.82;240.68
476.96;2;410;0;476.96;267.71
477.93;22;200;2;477.93;256.79
480.05;20;499;3;480.05;276.1
485.83;24;515;1;485.83;250.68
486.99;2;410;0;486.99;277.75
490.1;20;499;3;490.1;286.14
495.87;24;515;1;495.87;260.73
497.02;2;410;0;497.02;287.78
500.13;20;499;3;500.13;296.18
505.92;24;515;1;505.92;270.77
507.06;2;410;0;507.06;297.82
510.15;20;499;3;510.15;306.19
515.96;24;515;1;515.96;280.82
517.11;2;410;0;517.11;307.87
520.16;20;499;3;520.16;316.21
527.14;2;410;0;527.14;317.9
534.59;21;71;1;534.59;201.76
537.17;2;410;0;537.17;327.92
544.64;21;71;1;544.64;211.81
547.21;2;410;0;547.21;337.97
554.68;21;71;1;554.68;221.85
564.73;21;71;1;564.73;231.9
565.31;1;421;0;565.31;237.21
568.67;12;709;2;568.67;220.44
574.77;21;71;1;574.77;241.94
575.39;1;421;0;575.39;247.3
578.89;12;709;2;578.89;230.66
584.81;21;71;1;584.81;251.98
585.44;1;421;0;585.44;257.34
588.93;12;709;2;588.93;240.71
594.86;21;71;1;594.86;262.03
595.48;1;421;0;595.48;267.39
596.63;15;19;3;596.59;146.61
598.98;12;709;2;598.98;250.75
604.9;21;71;1;604.9;272.07
605.53;1;421;0;605.53;277.43
607.01;15;19;3;606.96;156.98
609.02;12;709;2;609.02;260.79
615.57;1;421;0;615.57;287.48
617.04;15;19;3;617;167.02
619.07;12;709;2;619.07;270.84
625.62;1;421;0;625.62;297.52
627.09;15;19;3;627.04;177.06
629.11;12;709;2;629.11;280.88
637.13;15;19;3;637.09;187.1
639.16;12;709;2;639.16;290.93
644.01;9;270;0;643.97;197.14
647.18;15;19;3;647.13;197.15
649.2;12;709;2;649.2;300.97
654.04;9;270;0;654;207.17
657.22;15;19;3;657.18;207.19
660.95;24;55;1;660.9;144.94
664.09;9;270;0;664.04;217.21
667.25;15;19;3;667.2;217.22
668.2;22;228;2;668.2;240.42
670.99;24;55;1;670.95;154.99
674.13;9;270;0;674.09;227.26
677.29;15;19;3;677.25;227.26
678.25;22;228;2;678.25;250.46
681.04;24;55;1;680.99;165.03
684.18;9;270;0;684.13;237.3
687.34;15;19;3;687.29;237.31
688.25;22;228;2;688.25;260.46
691.08;24;55;1;691.04;175.08
694.22;9;270;0;694.18;247.35
697.38;15;19;3;697.34;247.35
698.25;22;228;2;698.25;270.47
701.12;24;55;1;701.08;185.12
704.26;9;270;0;704.21;257.38
708.3;22;228;2;708.3;280.51
711.17;24;55;1;711.12;195.16
714.3;9;270;0;714.26;267.43
718.3;22;228;2;718.3;290.52
721.21;24;55;1;721.17;205.21
724.35;9;270;0;724.3;277.47
728.35;22;228;2;728.35;300.56
731.24;24;55;1;731.19;215.23
731.37;20;598;3;731.37;393.4
734.39;9;270;0;734.35;287.52
738.37;22;228;2;738.37;310.58
741.28;24;55;1;741.24;225.28
741.51;20;598;3;741.51;403.54
748.38;22;228;2;748.38;320.6
751.52;20;598;3;751.52;413.55
753.01;2;749;0;752.97;187.6
760.04;21;173;1;760;155.1
761.55;20;598;3;761.55;423.58
763.05;2;749;0;763.01;197.64
768.19;12;426;2;768.14;99.94
770.26;21;173;1;770.22;165.32
771.59;20;598;3;771.59;433.62
773.1;2;749;0;773.05;207.69
778.21;12;426;2;778.16;109.96
780.31;21;173;1;780.26;175.36
781.63;20;598;3;781.63;443.66
783.14;2;749;0;783.1;217.73
788.22;12;426;2;673.66;119.97
790.35;21;173;1;790.35;185.4
791.68;20;598;3;791.68;453.71
793.18;2;749;0;793.13;227.77
798.27;12;426;2;683.7;130.02
800.4;21;173;1;800.4;195.45
801.72;20;598;3;801.72;463.75
803.22;2;749;0;803.18;237.81
808.31;12;426;2;693.75;140.06
810.41;21;173;1;810.37;205.46
811.77;20;598;3;811.77;473.8
813.23;2;749;0;813.19;247.82
818.35;12;426;2;703.79;150.1
820.45;21;173;1;820.41;215.51
823.27;2;749;0;823.23;257.86
828.36;12;426;2;828.32;160.12
830.5;21;173;1;830.45;225.55
838.41;12;426;2;838.36;170.16
840.51;21;173;1;840.47;235.57
841.32;1;157;0;841.27;215.66
843.77;15;274;3;843.73;246.77
850.56;21;173;1;850.51;245.61
851.36;1;157;0;851.32;225.7
853.9;15;274;3;853.85;256.89
860.6;21;173;1;860.56;255.66
861.41;1;157;0;861.36;235.75
863.91;15;274;3;863.86;266.9
870.63;21;173;1;870.58;265.68
871.45;1;157;0;871.41;245.79
873.95;15;274;3;873.91;276.95
874.7;22;10;2;754.66;126.28
881.46;1;157;0;881.42;255.8
884;15;274;3;883.95;286.99
884.75;22;10;2;742.62;136.32
889.67;24;674;1;769.62;148.34
891.51;1;157;0;891.46;265.84
894.02;15;274;3;893.98;297.02
894.79;22;10;2;752.66;146.37
899.71;24;674;1;779.67;158.38
901.55;1;157;0;901.51;275.89
904.07;15;274;3;904.02;307.06
904.84;22;10;2;762.71;156.41
909.75;24;674;1;789.71;168.43
914.88;22;10;2;794.84;166.45
919.8;24;674;1;799.75;178.47
920.52;9;142;0;800.47;186.08
924.93;22;10;2;782.79;176.5
929.84;24;674;1;809.8;188.52
930.73;9;142;0;810.69;196.3
934.97;22;10;2;792.84;186.54
939.89;24;674;1;819.84;198.56
940.78;9;142;0;820.73;206.34
945.02;22;10;2;802.88;196.59
949.93;24;674;1;829.89;208.61
950.82;9;142;0;836.26;216.39
955.06;22;10;2;812.93;206.63
959.98;24;674;1;839.93;218.65
960.84;9;142;0;846.28;226.41
965.1;22;10;2;822.97;216.68
970.02;24;674;1;849.98;228.7
970.89;9;142;0;856.32;236.45
975.15;22;10;2;771.19;226.72
980.93;9;142;0;866.37;246.49
990.97;9;142;0;876.41;256.54
996.8;12;220;2;775.66;168.39
1001.02;9;142;0;886.46;266.58
1001.97;20;215;3;798.02;190.16
1006.96;12;220;2;785.82;178.56
1007.31;21;30;1;772.17;136.64
1012.18;20;215;3;808.22;200.37
1017.01;12;220;2;807.77;188.6
1017.44;21;30;1;782.3;146.77
1022.22;20;215;3;818.27;210.41
1022.79;2;271;0;813.55;199.47
1027.05;12;220;2;817.81;198.64
1027.49;21;30;1;792.34;156.82
1032.23;20;215;3;828.28;220.42
1033.08;2;271;0;823.84;209.76
1037.1;12;220;2;827.86;208.69
1037.53;21;30;1;816.39;166.86
1042.27;20;215;3;833.03;230.46
1043.13;2;271;0;833.88;219.81
