#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;4;4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/9,1/6,2/7,3/6;0/0,1/0,2/0,3/0;0/9,1/6,2/7,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0
59.69;0;0;4;4;0/59.69,1/59.69,2/59.69,3/59.69;0/59.69,1/54.21,2/49.92,3/52.29;0/59.69,1/59.69,2/59.69,3/59.69;0/59.69,1/59.69,2/59.69,3/59.69;0/0,1/0,2/0,3/0;0/2,1/0,2/2,3/1;0/21,1/22,2/17,3/19;0/9,1/5,2/6,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/1,2/1,3/1
119.79;0;6;4;4;0/80.26,1/75.79,2/112,3/75.16;0/66.66,1/62,2/75.03,3/80.34;0/119.79,1/119.79,2/119.79,3/119.79;0/119.79,1/119.79,2/119.79,3/119.79;0/0,1/0,2/0,3/10;0/0,1/0,2/0,3/1;0/17,1/17,2/16,3/24;0/7,1/4,2/6,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/2,1/1,2/2,3/1;0/4,1/5,2/1,3/5;0/6,1/6,2/5,3/4
179.98;1;12;4;4;0/89.67,1/76.49,2/112.9,3/76.01;0/69.67,1/67.07,2/79.09,3/83.22;0/179.98,1/179.98,2/179.98,3/179.98;0/179.98,1/179.98,2/179.98,3/179.98;0/0,1/9,2/8,3/10;0/1,1/0,2/2,3/1;0/23,1/20,2/18,3/18;0/9,1/6,2/7,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/0,2/0,3/0;0/3,1/3,2/4,3/2;0/10,1/11,2/7,3/11;0/12,1/12,2/11,3/10
239.91;4;16;4;4;0/90.85,1/86.29,2/122.35,3/86.13;0/72.24,1/69.62,2/81.46,3/86.93;0/239.91,1/239.91,2/239.91,3/239.91;0/239.91,1/239.91,2/239.91,3/239.91;0/0,1/10,2/7,3/9;0/0,1/0,2/1,3/1;0/29,1/25,2/20,3/22;0/6,1/5,2/7,3/4;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/1,2/1,3/1;0/4,1/4,2/4,3/4;0/16,1/16,2/12,3/16;0/18,1/18,2/17,3/16
299.94;4;21;4;4;0/91.77,1/87.14,2/131.74,3/112.12;0/75.85,1/81.82,2/84.14,3/110.01;0/299.94,1/299.94,2/299.94,3/299.94;0/299.94,1/299.94,2/299.94,3/299.94;0/0,1/10,2/7,3/9;0/1,1/0,2/2,3/0;0/24,1/19,2/15,3/19;0/7,1/5,2/9,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/1,2/1,3/1;0/6,1/4,2/5,3/6;0/21,1/22,2/17,3/19;0/23,1/22,2/22,3/20
359.94;8;25;4;4;0/100.6,1/105.11,2/160.21,3/140.78;0/79.32,1/88.77,2/86.13,3/147.11;0/359.94,1/359.94,2/359.94,3/359.94;0/359.94,1/359.94,2/359.94,3/359.94;0/0,1/8,2/9,3/9;0/2,1/0,2/1,3/0;0/25,1/23,2/20,3/24;0/8,1/4,2/7,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/2,1/2,2/2,3/2;0/7,1/5,2/6,3/7;0/27,1/26,2/21,3/23;0/29,1/28,2/28,3/22
419.95;9;30;4;4;0/101.71,1/112.93,2/169.86,3/141.49;0/83.93,1/103.71,2/89.97,3/150.9;0/419.95,1/419.95,2/419.95,3/419.95;0/419.95,1/419.95,2/419.95,3/419.95;0/0,1/8,2/9,3/9;0/0,1/1,2/1,3/2;0/19,1/18,2/15,3/18;0/8,1/8,2/6,3/8;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/2,1/2,2/3,3/2;0/9,1/6,2/7,3/8;0/33,1/31,2/26,3/29;0/35,1/32,2/34,3/28
479.96;12;37;4;4;0/110.86,1/119.53,2/170.74,3/153.56;0/88.61,1/121.68,2/95.45,3/155.12;0/479.96,1/479.96,2/479.96,3/479.96;0/479.96,1/479.96,2/479.96,3/479.96;0/0,1/7,2/9,3/9;0/0,1/1,2/0,3/0;0/24,1/19,2/18,3/25;0/6,1/6,2/3,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/3,1/3,2/3,3/3;0/11,1/8,2/9,3/9;0/38,1/37,2/32,3/33;0/40,1/37,2/40,3/33
539.96;13;41;4;4;0/111.63,1/129.39,2/222.76,3/163.67;0/90.36,1/124.78,2/100.75,3/158.19;0/539.96,1/539.96,2/539.96,3/539.96;0/539.96,1/539.96,2/539.96,3/539.96;0/0,1/16,2/0,3/9;0/0,1/0,2/1,3/1;0/18,1/23,2/18,3/20;0/3,1/5,2/6,3/8;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/3,1/4,2/3,3/3;0/11,1/9,2/11,3/10;0/44,1/42,2/32,3/38;0/46,1/42,2/45,3/39
599.86;16;46;4;4;0/120.91,1/130.54,2/252.15,3/220.72;0/92.08,1/131.4,2/112.27,3/160.89;0/599.86,1/599.86,2/599.86,3/599.86;0/599.86,1/599.86,2/599.86,3/599.86;0/0,1/7,2/6,3/7;0/0,1/0,2/0,3/0;0/21,1/17,2/20,3/26;0/6,1/4,2/5,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/4,1/4,2/4,3/4;0/12,1/11,2/12,3/11;0/49,1/48,2/36,3/39;0/52,1/48,2/50,3/45
659.86;17;52;4;4;0/130.02,1/175.62,2/253.94,3/221.65;0/98.27,1/133.8,2/116.03,3/165.25;0/659.86,1/659.86,2/659.86,3/659.86;0/659.86,1/659.86,2/659.86,3/659.86;0/7,1/7,2/6,3/7;0/0,1/2,2/3,3/1;0/23,1/28,2/15,3/20;0/5,1/7,2/7,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/5,1/4,2/4,3/4;0/14,1/11,2/14,3/13;0/54,1/49,2/41,3/45;0/57,1/54,2/56,3/51
719.93;19;56;4;4;0/130.76,1/177.72,2/262.84,3/234.78;0/100.64,1/176.71,2/120.19,3/167.72;0/719.93,1/719.93,2/719.93,3/719.93;0/719.93,1/719.93,2/719.93,3/719.93;0/0,1/7,2/6,3/14;0/0,1/1,2/4,3/0;0/17,1/22,2/17,3/23;0/4,1/10,2/9,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/5,1/5,2/5,3/4;0/15,1/11,2/16,3/14;0/60,1/55,2/47,3/49;0/63,1/55,2/61,3/56
779.97;23;60;4;4;0/140.32,1/187.68,2/272.97,3/247.11;0/117.91,1/197.3,2/135.6,3/178.2;0/779.97,1/779.97,2/779.97,3/779.97;0/779.97,1/779.97,2/779.97,3/779.97;0/0,1/16,2/17,3/7;0/0,1/1,2/0,3/0;0/21,1/26,2/23,3/18;0/6,1/10,2/5,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/6,1/6,2/6,3/5;0/16,1/12,2/17,3/15;0/65,1/60,2/52,3/54;0/67,1/59,2/66,3/61
839.94;23;66;4;4;0/147.68,1/188.96,2/273.96,3/266.41;0/127.89,1/202.63,2/149.48,3/190.9;0/839.94,1/839.94,2/839.94,3/839.94;0/839.94,1/839.94,2/839.94,3/839.94;0/6,1/7,2/14,3/18;0/0,1/1,2/0,3/0;0/22,1/20,2/25,3/25;0/7,1/11,2/5,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/6,1/6,2/6,3/5;0/18,1/14,2/18,3/16;0/70,1/66,2/58,3/58;0/73,1/65,2/70,3/66
899.98;27;70;4;4;0/149.79,1/199.04,2/300.87,3/271.1;0/131.62,1/205.98,2/190.25,3/194.86;0/899.98,1/899.98,2/899.98,3/899.98;0/899.98,1/899.98,2/899.98,3/899.98;0/0,1/15,2/6,3/16;0/0,1/0,2/0,3/0;0/16,1/22,2/22,3/28;0/5,1/6,2/5,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/7,1/7,2/7,3/6;0/19,1/15,2/19,3/17;0/76,1/72,2/61,3/64;0/78,1/71,2/72,3/72
959.98;28;73;4;4;0/159.45,1/200.32,2/301.89,3/317.57;0/137.03,1/212.27,2/191.92,3/197.67;0/959.98,1/959.98,2/959.98,3/959.98;0/959.98,1/959.98,2/959.98,3/959.98;0/0,1/7,2/6,3/7;0/0,1/0,2/0,3/1;0/18,1/17,2/16,3/27;0/4,1/5,2/3,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/8,1/7,2/7,3/6;0/20,1/16,2/19,3/18;0/81,1/77,2/67,3/65;0/84,1/76,2/78,3/78
