#TimeStamp;Runtime;Requests
0.88;0.86;26
1.88;0.02;1
10.68;0.01;1
13.2;0.01;1
14.35;0.01;1
15.39;0.01;2
16.68;0;2
17.93;0.01;3
18.98;0.01;2
20;0.01;1
21.15;0.01;1
22.2;0;2
23.2;0;3
24.24;0;2
25.29;0;3
26.33;0;4
27.33;0;3
28.42;0;3
29.47;0.01;1
30.48;0.21;5
31.48;0.42;3
32.53;0.26;2
33.57;0.01;3
34.57;0.01;6
35.57;0.01;4
36.66;0.45;3
37.75;0.02;2
38.75;0.01;2
39.8;0.01;4
40.8;0.01;3
41.84;0.02;2
42.93;0.02;4
43.93;0.02;4
44.93;1.13;6
45.93;0.26;2
46.97;0.3;1
47.97;0.24;1
52.5;0.07;1
55.8;0.03;1
56.9;0.07;1
57.95;0.06;1
58.95;0.05;1
60;0.04;1
61.04;0.02;1
62.05;0.02;1
63.09;0.01;2
64.09;0.01;2
65.14;0.01;2
66.18;0.01;2
67.18;0.01;2
68.18;0.01;1
72.81;0.01;1
74.02;0.01;1
75.11;0.01;1
76.35;0.01;2
77.43;0.01;1
78.47;0.01;3
79.47;0.01;1
80.53;0.01;1
81.69;0.01;2
83.05;0.01;1
84.08;0.01;1
85.08;0.01;1
86.17;0.01;1
87.22;0.01;1
88.26;0.01;1
101.98;0;1
102.98;0;1
104.13;0;1
105.13;0.01;2
106.13;0.01;1
111.79;0;1
113.6;0;1
116.93;0;1
121.04;0;1
127.97;0;1
129.05;0;1
133.31;0;1
134.42;0;1
137.72;0;1
143.59;0;1
145.47;0;1
148.06;0;1
149.06;0;1
150.06;0.01;1
158.12;0.01;1
159.16;0.01;1
165.19;0;1
169.22;0;1
170.69;0.01;1
180.15;0;1
183.22;0.01;1
185.44;0;1
187.51;0;1
188.51;0;1
193.6;0.01;1
195.46;0;1
196.56;0;1
198.86;0.01;1
200.44;0;1
202.84;0;1
209.4;0;1
210.4;0.01;2
217.01;0.01;1
218.01;0.01;1
221.02;0.01;1
222.04;0.01;1
225.77;0.01;1
226.77;0.01;1
228.49;0.01;1
230.95;0.01;1
232.2;0.02;2
237.95;0.01;1
240.64;0.01;1
241.78;0.02;2
246.55;0.01;1
249.04;0.01;1
250.11;0.01;1
252.17;0.01;1
253.19;0.01;1
254.8;0.01;1
258.93;0.01;1
263.15;0.01;1
265.11;0.01;1
266.37;0.01;1
267.77;0.01;1
268.89;0.01;2
269.89;0.01;3
270.89;0.01;4
271.97;0.01;3
273.02;0.01;3
274.04;0.01;5
275.04;0.01;3
276.04;0.01;1
277.31;0.01;2
278.58;0.01;1
279.58;0.01;2
280.58;0.01;1
