#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;152.35;0.11;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
59.69;164.45;5;PP/3.23,TA/1.53,IS/0,PS/0.3,RB/0.01,OB/0.02,RP/0
119.97;160.36;5.7;PP/3.52,TA/1.88,IS/0,PS/0.64,RB/0.01,OB/0.02,RP/0
179.82;160.82;6.15;PP/3.58,TA/2.23,IS/0,PS/0.77,RB/0.01,OB/0.02,RP/0
239.72;160.91;6.97;PP/3.76,TA/2.82,IS/0,PS/1.06,RB/0.01,OB/0.03,RP/0
299.97;161.05;7.62;PP/4.01,TA/3.18,IS/0,PS/1.11,RB/0.01,OB/0.03,RP/0
359.74;161.24;7.95;PP/4.18,TA/3.3,IS/0,PS/1.14,RB/0.01,OB/0.03,RP/0
419.81;161.26;8.36;PP/4.4,TA/3.46,IS/0,PS/1.2,RB/0.01,OB/0.04,RP/0
479.99;161.7;8.8;PP/4.61,TA/3.64,IS/0,PS/1.23,RB/0.01,OB/0.04,RP/0
539.98;162.05;9.25;PP/4.89,TA/3.76,IS/0,PS/1.27,RB/0.01,OB/0.04,RP/0
599.94;161.05;10.12;PP/5.41,TA/4.04,IS/0,PS/1.31,RB/0.01,OB/0.05,RP/0
659.91;161.19;10.61;PP/5.73,TA/4.17,IS/0,PS/1.38,RB/0.01,OB/0.05,RP/0
719.92;161.99;11.54;PP/6.32,TA/4.45,IS/0,PS/1.43,RB/0.01,OB/0.06,RP/0
779.83;162.13;12.2;PP/6.52,TA/4.86,IS/0,PS/1.47,RB/0.01,OB/0.06,RP/0
839.81;162.77;12.65;PP/6.78,TA/5.01,IS/0,PS/1.53,RB/0.01,OB/0.06,RP/0
899.98;162.69;13;PP/6.99,TA/5.1,IS/0,PS/1.57,RB/0.01,OB/0.07,RP/0
959.93;162.92;13.75;PP/7.32,TA/5.48,IS/0,PS/1.59,RB/0.01,OB/0.07,RP/0
1019.97;163.01;14.32;PP/7.75,TA/5.56,IS/0,PS/1.61,RB/0.01,OB/0.07,RP/0
1079.94;163.08;14.64;PP/7.92,TA/5.66,IS/0.01,PS/1.66,RB/0.01,OB/0.08,RP/0
1139.98;162.71;15.21;PP/8.33,TA/5.77,IS/0.01,PS/1.69,RB/0.01,OB/0.08,RP/0
1199.98;162.8;15.82;PP/8.68,TA/5.98,IS/0.01,PS/1.71,RB/0.01,OB/0.09,RP/0
1259.97;163.04;16.39;PP/8.93,TA/6.25,IS/0.01,PS/1.76,RB/0.01,OB/0.09,RP/0
1319.93;162.89;16.87;PP/9.23,TA/6.38,IS/0.01,PS/1.8,RB/0.01,OB/0.09,RP/0
1379.98;163.22;17.6;PP/9.72,TA/6.56,IS/0.01,PS/1.85,RB/0.01,OB/0.1,RP/0
1439.96;163.25;18.24;PP/10.11,TA/6.74,IS/0.01,PS/1.9,RB/0.01,OB/0.1,RP/0
1500;163.41;18.62;PP/10.32,TA/6.86,IS/0.01,PS/1.92,RB/0.01,OB/0.11,RP/0
1559.79;163.74;19.1;PP/10.68,TA/6.95,IS/0.01,PS/1.94,RB/0.01,OB/0.11,RP/0
1619.89;163.92;19.76;PP/11.17,TA/7.07,IS/0.01,PS/1.98,RB/0.01,OB/0.12,RP/0
1679.98;165.69;20.49;PP/11.77,TA/7.14,IS/0.01,PS/2,RB/0.01,OB/0.12,RP/0
1740;165.79;21.18;PP/12.27,TA/7.27,IS/0.01,PS/2.03,RB/0.01,OB/0.12,RP/0
1799.93;166.32;21.77;PP/12.71,TA/7.37,IS/0.01,PS/2.09,RB/0.02,OB/0.13,RP/0
