#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;4;4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/9,1/6,2/7,3/6;0/0,1/0,2/0,3/0;0/9,1/6,2/7,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0
59.69;0;0;4;4;0/59.69,1/59.69,2/59.69,3/59.69;0/59.69,1/54.21,2/50.02,3/52.29;0/59.69,1/59.69,2/59.69,3/59.69;0/59.69,1/59.69,2/59.69,3/59.69;0/0,1/0,2/0,3/0;0/2,1/0,2/2,3/1;0/21,1/22,2/17,3/19;0/9,1/5,2/6,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/1,2/1,3/1
119.97;0;6;4;4;0/80.22,1/76.41,2/111.93,3/75.18;0/64.64,1/63.38,2/75.29,3/90.38;0/119.97,1/119.97,2/119.97,3/119.97;0/119.97,1/119.97,2/119.97,3/119.97;0/0,1/0,2/0,3/10;0/2,1/1,2/2,3/0;0/17,1/17,2/16,3/24;0/8,1/6,2/7,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/0,1/0,2/0,3/0;0/1,1/2,2/2,3/1;0/4,1/5,2/1,3/5;0/6,1/6,2/5,3/3
179.82;1;13;4;4;0/89.85,1/77.43,2/113.5,3/76.49;0/69.83,1/66.82,2/80.35,3/97.26;0/179.82,1/179.82,2/179.82,3/179.82;0/179.82,1/179.82,2/179.82,3/179.82;0/0,1/9,2/8,3/10;0/2,1/0,2/1,3/0;0/23,1/20,2/18,3/18;0/9,1/5,2/5,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/0,2/0,3/0;0/3,1/3,2/4,3/3;0/10,1/11,2/7,3/11;0/12,1/12,2/11,3/9
239.72;4;16;4;4;0/90.7,1/86.97,2/122.53,3/86.05;0/71.97,1/69.22,2/81.85,3/100.59;0/239.72,1/239.72,2/239.72,3/239.72;0/239.72,1/239.72,2/239.72,3/239.72;0/0,1/10,2/7,3/9;0/0,1/0,2/0,3/2;0/29,1/25,2/20,3/22;0/6,1/4,2/3,3/8;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/1,2/1,3/1;0/4,1/4,2/4,3/4;0/16,1/16,2/12,3/16;0/18,1/18,2/17,3/15
299.97;4;20;4;4;0/92.02,1/88.01,2/132.74,3/112.38;0/75.23,1/102.72,2/86.99,3/103.21;0/299.97,1/299.97,2/299.97,3/299.97;0/299.97,1/299.97,2/299.97,3/299.97;0/0,1/10,2/7,3/9;0/1,1/0,2/1,3/1;0/24,1/19,2/15,3/19;0/8,1/4,2/8,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/1,1/1,2/1,3/1;0/5,1/4,2/6,3/5;0/21,1/22,2/17,3/19;0/23,1/20,2/22,3/20
359.74;8;25;4;4;0/100.45,1/104.42,2/163.57,3/165.18;0/79.97,1/122.34,2/90.26,3/106.19;0/359.74,1/359.74,2/359.74,3/359.74;0/359.74,1/359.74,2/359.74,3/359.74;0/0,1/8,2/9,3/0;0/0,1/0,2/0,3/2;0/25,1/23,2/21,3/18;0/8,1/5,2/6,3/7;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/2,1/2,2/2,3/2;0/7,1/5,2/7,3/6;0/27,1/26,2/20,3/20;0/29,1/25,2/28,3/26
419.81;9;29;4;4;0/102.06,1/113.83,2/173.17,3/165.8;0/82.83,1/125.83,2/94.22,3/109.09;0/419.81,1/419.81,2/419.81,3/419.81;0/419.81,1/419.81,2/419.81,3/419.81;0/0,1/8,2/9,3/9;0/0,1/0,2/0,3/2;0/19,1/18,2/15,3/21;0/5,1/5,2/4,3/8;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/2,1/2,2/3,3/2;0/8,1/6,2/8,3/7;0/33,1/31,2/26,3/26;0/35,1/30,2/34,3/32
479.99;12;35;4;4;0/110.37,1/119.49,2/174.15,3/175.56;0/96.13,1/153.29,2/98.63,3/111.92;0/479.99,1/479.99,2/479.99,3/479.99;0/479.99,1/479.99,2/479.99,3/479.99;0/10,1/8,2/9,3/9;0/0,1/0,2/3,3/0;0/24,1/20,2/18,3/16;0/5,1/6,2/7,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/3,1/3,2/3,3/3;0/10,1/7,2/10,3/8;0/38,1/37,2/32,3/31;0/39,1/34,2/39,3/38
539.98;13;38;4;4;0/111.46,1/129.81,2/224.83,3/176.69;0/97.72,1/157.04,2/116.93,3/115.75;0/539.98,1/539.98,2/539.98,3/539.98;0/539.98,1/539.98,2/539.98,3/539.98;0/0,1/15,2/0,3/9;0/0,1/0,2/4,3/2;0/18,1/22,2/18,3/21;0/6,1/4,2/9,3/5;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/3,1/4,2/3,3/3;0/10,1/8,2/11,3/9;0/44,1/42,2/32,3/37;0/45,1/39,2/44,3/43
599.94;15;43;4;4;0/120.27,1/130.42,2/246.98,3/224.3;0/126.97,1/171.18,2/119.16,3/146.01;0/599.94,1/599.94,2/599.94,3/599.94;0/599.94,1/599.94,2/599.94,3/599.94;0/0,1/7,2/12,3/0;0/2,1/0,2/2,3/0;0/22,1/16,2/26,3/20;0/10,1/4,2/6,3/6;0/3,1/2,2/2,3/2;0/5,1/4,2/4,3/4;0/4,1/4,2/4,3/3;0/11,1/9,2/12,3/11;0/49,1/48,2/36,3/38;0/48,1/44,2/49,3/46
