#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/26,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.69;1;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/15,Rest/1
119.79;9;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
179.94;9;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/13,Rest/3
239.82;6;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/10,Rest/4
299.87;4;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/10,Rest/4
359.94;2;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/14,Rest/1
419.88;9;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/14,Rest/1
480;3;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/11,Rest/3
539.98;2;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/14,Rest/1
600;3;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/11,Rest/1
660;5;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/13,Rest/0
719.91;4;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/13,Rest/0
779.88;4;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/11,Rest/3
839.67;2;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/12,Rest/3
900;6;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/9,Rest/4
959.89;3;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/12,Rest/2
1019.84;4;None/0,ParkPod/8,RepositionPod/0,Insert/7,Extract/9,Rest/2
1079.65;1;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/11,Rest/1
1139.99;3;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
1199.64;5;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
1259.96;4;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/12,Rest/0
1319.95;1;None/0,ParkPod/7,RepositionPod/0,Insert/6,Extract/11,Rest/2
1379.92;3;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/11,Rest/2
1439.94;1;None/0,ParkPod/5,RepositionPod/0,Insert/7,Extract/11,Rest/3
1499.97;3;None/0,ParkPod/7,RepositionPod/0,Insert/5,Extract/10,Rest/4
1559.94;2;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/11,Rest/3
1619.77;5;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/15,Rest/1
1679.97;6;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/14,Rest/0
1739.76;5;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/14,Rest/0
1799.75;3;None/0,ParkPod/8,RepositionPod/0,Insert/7,Extract/10,Rest/1
