#TimeStamp;TripTime;Type
36;13;O
39;12;O
40;15;O
46;29;O
56;35;O
57;47;O
61;30;I
63;35;O
63;33;O
64;30;I
68;34;O
69;43;I
74;43;I
75;38;O
77;52;O
77;43;O
82;52;O
89;50;O
90;45;O
94;50;I
94;62;I
100;60;O
101;59;I
101;71;O
125;63;I
134;27;O
137;34;O
167;14;O
170;26;O
172;34;O
187;39;I
198;46;O
218;30;O
243;25;O
247;36;O
268;34;O
283;42;O
285;30;O
306;45;I
310;48;I
314;52;I
322;32;O
326;48;O
352;65;O
358;48;I
372;33;O
393;32;O
400;62;I
402;30;O
405;45;I
407;32;O
408;53;I
410;33;O
417;34;O
418;49;I
436;72;O
453;58;O
467;30;O
480;32;O
523;12;O
537;15;O
542;50;O
548;52;I
549;25;O
553;35;O
559;75;I
565;41;O
567;61;I
576;103;O
577;26;O
583;27;O
607;26;O
611;53;O
612;77;I
612;53;O
628;14;O
645;34;O
649;47;I
661;69;O
661;37;O
668;43;I
697;92;I
698;67;I
717;40;O
722;32;O
727;58;O
732;36;I
737;25;O
769;41;O
786;48;I
794;51;I
795;38;O
797;32;O
804;19;O
812;35;O
825;35;O
832;41;O
835;36;O
848;46;I
848;30;O
858;58;I
864;33;O
867;63;I
878;27;O
882;32;O
884;40;I
909;49;I
912;47;I
918;52;O
920;72;O
940;60;O
952;47;O
955;40;O
956;18;O
962;30;O
997;42;O
997;45;I
1000;31;O
1021;23;O
1032;39;O
1033;23;O
1038;39;I
1041;57;I
1044;36;O
1045;33;O
1057;30;I
1059;24;O
1061;22;O
1068;38;O
1069;47;O
1069;70;O
1091;42;I
1091;55;O
1100;30;O
1120;35;O
1127;52;O
1132;49;I
1137;38;O
1150;39;O
1169;47;O
1192;124;O
1195;61;O
1206;118;I
1214;27;O
1215;35;O
1216;56;O
1217;54;I
1226;52;I
1230;44;O
1238;30;I
1251;67;O
1256;46;O
1268;30;O
1277;33;O
1282;35;O
1311;92;I
1313;38;O
1324;43;I
1325;44;O
1331;54;I
1331;98;O
1343;40;I
1365;25;O
1378;43;O
1397;54;O
1405;60;O
1414;32;O
1418;68;I
1422;49;O
1431;46;O
1433;63;I
1452;56;I
1457;70;I
1464;34;O
1465;38;O
1488;41;I
1489;42;O
1496;50;O
1500;33;O
1512;30;O
1518;51;O
1539;51;I
1547;44;O
1553;56;O
1556;55;O
1557;47;I
1570;69;I
1574;41;O
1602;26;O
1613;23;O
1615;59;O
1619;45;O
1639;39;O
1640;28;O
1649;29;O
1652;41;O
1653;57;I
1658;31;O
1663;31;O
1669;60;I
1670;38;O
1672;60;I
1681;62;I
1692;36;O
1693;28;I
1704;63;O
1710;41;O
1712;30;O
1729;44;O
1742;51;I
1743;43;I
1756;54;O
1765;19;O
1784;33;O
1796;28;I
