#TimeStamp;Bot;Pod;OutputStation
48.35;4;473;3
50.32;11;779;2
53.98;0;778;1
60.05;5;232;0
64.05;0;778;1
73.27;10;626;0
74.12;0;778;1
84.23;6;63;3
92.8;8;409;0
94.09;6;63;3
102.51;8;409;0
104.29;6;63;3
106.05;3;358;1
112.84;8;409;0
114.35;6;63;3
116.1;3;358;1
123.27;8;409;0
124.44;6;63;3
133.31;8;409;0
134.49;6;63;3
137.77;14;401;2
137.93;18;215;1
145.57;23;36;0
146.77;17;326;3
147.88;14;401;2
147.98;18;215;1
155.46;23;36;0
157.07;17;326;3
158.02;18;215;1
163.19;13;6;2
165.51;23;36;0
166.73;17;326;3
168.15;18;215;1
173.57;13;6;2
177.11;17;326;3
177.48;16;201;0
180.57;19;177;1
186.88;7;387;2
186.97;17;326;3
187.53;16;201;0
190.64;19;177;1
196.97;7;387;2
196.97;17;326;3
197.34;16;201;0
200.71;19;177;1
207.16;7;387;2
207.66;16;201;0
208.27;25;549;3
210.75;19;177;1
217.24;7;387;2
218.26;25;549;3
219.08;5;564;0
220.8;19;177;1
227.26;7;387;2
228.98;5;564;0
230.43;4;247;3
232.88;0;468;1
239.12;5;564;0
240.06;11;474;2
240.58;4;247;3
242.93;0;468;1
249.21;5;564;0
250.08;11;474;2
250.59;4;247;3
253.08;0;468;1
260.14;11;474;2
260.3;10;49;0
260.64;4;247;3
263.12;0;468;1
270.28;11;474;2
270.55;10;49;0
272.88;6;514;3
273.09;0;468;1
280.59;11;474;2
280.63;10;49;0
283.25;0;468;1
290.63;10;49;0
291.63;14;293;2
300.69;10;49;0
301.71;14;293;2
308.93;3;82;1
310.78;10;49;0
311.86;14;293;2
313.43;25;419;3
319.29;3;82;1
321.05;10;49;0
323.45;25;419;3
329.43;3;82;1
332.14;8;121;0
333.52;25;419;3
334.18;7;486;2
339.46;3;82;1
342.46;8;121;0
343.71;25;419;3
344.39;7;486;2
349.54;3;82;1
352.51;8;121;0
354.81;7;486;2
356.8;17;589;3
359.84;3;82;1
362.55;8;121;0
364.86;7;486;2
366.95;17;589;3
369.89;3;82;1
374.35;23;217;0
374.9;7;486;2
377.36;17;589;3
380.31;3;82;1
384.4;23;217;0
387.36;13;226;2
387.36;17;589;3
391.41;18;340;1
394.41;23;217;0
397.34;13;226;2
399.16;4;513;3
401.49;18;340;1
409.2;4;513;3
412.71;16;618;0
419.46;4;513;3
422.89;16;618;0
427.42;11;502;2
429.17;4;513;3
429.75;0;338;1
432.98;16;618;0
437.47;11;502;2
439.5;4;513;3
439.97;0;338;1
443.02;16;618;0
447.11;11;502;2
449.97;0;338;1
450.75;6;522;3
453.08;16;618;0
457.44;11;502;2
459.97;0;338;1
460.86;6;522;3
463.06;16;618;0
469.83;14;636;2
470.01;0;338;1
470.83;6;522;3
475.28;5;148;0
480.04;14;636;2
480.09;0;338;1
480.76;6;522;3
485.41;5;148;0
489.85;14;636;2
490.09;0;338;1
490.9;6;522;3
495.69;5;148;0
500.13;0;338;1
501.31;6;522;3
501.83;7;446;2
505.83;5;148;0
510.55;0;338;1
511.74;6;522;3
512.05;7;446;2
521.65;10;404;0
522.05;7;446;2
522.05;6;522;3
522.93;19;179;1
531.69;10;404;0
531.87;7;446;2
531.87;6;522;3
533.05;19;179;1
541.74;10;404;0
542.12;7;446;2
542.92;19;179;1
543.72;25;402;3
551.83;10;404;0
552.16;7;446;2
553.23;19;179;1
553.87;25;402;3
562.2;7;446;2
563.65;19;179;1
564.31;8;344;0
566.22;17;311;3
572.31;7;446;2
574.14;8;344;0
575.4;3;625;1
576.31;17;311;3
582.35;7;446;2
584.09;8;344;0
586.27;17;311;3
587.38;18;64;1
594.38;8;344;0
594.38;13;468;2
597.71;4;89;3
604.7;8;344;0
608.02;4;89;3
613.26;11;361;2
616.21;23;539;0
617.9;4;89;3
618.3;0;363;1
623.3;11;361;2
626.26;23;539;0
627.9;4;89;3
628.45;0;363;1
633.46;11;361;2
638.07;4;89;3
638.68;0;363;1
647.52;14;193;2
648.37;4;89;3
648.53;0;363;1
657.77;14;193;2
658.73;0;363;1
659.38;6;70;3
667.71;14;193;2
668.91;0;363;1
669.5;6;70;3
675.91;16;321;0
677.85;14;193;2
686.23;16;321;0
687.86;14;193;2
689.11;19;739;1
695.03;17;632;3
696.5;16;321;0
697.9;14;193;2
699.37;19;739;1
705.26;17;632;3
706.59;16;321;0
707.99;14;193;2
715.39;17;632;3
718.06;14;193;2
720.84;5;441;0
729.37;7;342;2
730.64;3;181;1
730.68;5;441;0
736.66;25;41;3
739.59;7;342;2
740.68;3;181;1
740.92;5;441;0
746.71;25;41;3
749.57;7;342;2
750.7;3;181;1
752.72;10;400;0
756.79;25;41;3
759.65;7;342;2
762.76;10;400;0
765.07;0;352;1
767.03;25;41;3
769.7;7;342;2
772.82;10;400;0
775.04;0;352;1
778.94;4;273;3
781.02;13;387;2
782.92;10;400;0
786.32;18;333;1
789.32;4;273;3
791.07;13;387;2
792.92;10;400;0
796.32;18;333;1
799.21;4;273;3
802.41;11;626;2
802.98;10;400;0
806.39;18;333;1
812.89;10;400;0
814.59;14;335;2
816.84;18;333;1
820.15;6;0;3
823.16;10;400;0
824.92;14;335;2
827.02;18;333;1
830.19;6;0;3
835.33;14;335;2
838.42;8;536;0
839.51;19;617;1
840.24;6;0;3
845.75;14;335;2
850.31;6;0;3
855.84;14;335;2
856.34;23;358;0
865.88;14;335;2
866.08;17;427;3
866.44;23;358;0
876.08;17;427;3
877.79;16;98;0
886.15;17;427;3
