#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;875;0;0;0;0;0;0;0;0;0
599.77;0.71;878;0;0;0;0;0;0;0;0;0
1199.92;0.73;881;0;0;0;0;0;0;0;0;0
1799.88;0.75;886;0;0;0;0;0;0;0;0;0
2400;0.76;892;0;0;0;0;0;0;0;0;0
2999.6;0.77;893;0;0;0;0;0;0;0;0;0
3599.91;0.79;894;0;0;0;0;0;0;0;0;0
4199.88;0.8;894;0;0;0;0;0;0;0;0;0
4800;0.81;900;0;0;0;0;0;0;0;0;0
5399.78;0.82;900;0;0;0;0;0;0;0;0;0
5999.81;0.83;905;0;0;0;0;0;0;0;0;0
6599.69;0.84;905;0;0;0;0;0;0;0;0;0
7199.98;0.84;905;0;0;0;0;0;0;0;0;0
7799.97;0.84;905;0;0;0;0;0;0;0;0;0
8399.85;0.84;905;0;0;0;0;0;0;0;0;0
8999.7;0.84;905;0;0;0;0;0;0;0;0;0
9599.97;0.83;905;0;0;0;0;0;0;0;0;0
10199.82;0.83;905;0;0;0;0;0;0;0;0;0
10799.95;0.83;905;0;0;0;0;0;0;0;0;0
11399.97;0.83;905;0;0;0;0;0;0;0;0;0
11999.89;0.82;905;0;0;0;0;0;0;0;0;0
12599.95;0.82;905;0;0;0;0;0;0;0;0;0
13200;0.82;905;0;0;0;0;0;0;0;0;0
13799.74;0.82;905;0;0;0;0;0;0;0;0;0
14399.98;0.81;905;0;0;0;0;0;0;0;0;0
14999.93;0.81;905;0;0;0;0;0;0;0;0;0
15599.87;0.81;905;0;0;0;0;0;0;0;0;0
16199.92;0.81;905;0;0;0;0;0;0;0;0;0
16799.88;0.81;905;0;0;0;0;0;0;0;0;0
17399.8;0.8;905;0;0;0;0;0;0;0;0;0
17999.94;0.8;905;0;0;0;0;0;0;0;0;0
18599.98;0.8;905;0;0;0;0;0;0;0;0;0
19199.98;0.8;905;0;0;0;0;0;0;0;0;0
19799.96;0.79;905;0;0;0;0;0;0;0;0;0
20399.87;0.79;905;0;0;0;0;0;0;0;0;0
20999.74;0.79;905;0;0;0;0;0;0;0;0;0
21599.99;0.79;905;0;0;0;0;0;0;0;0;0
22199.97;0.78;905;0;0;0;0;0;0;0;0;0
22799.98;0.78;905;0;0;0;0;0;0;0;0;0
23399.89;0.78;905;0;0;0;0;0;0;0;0;0
23999.83;0.78;905;0;0;0;0;0;0;0;0;0
24599.9;0.77;905;0;0;0;0;0;0;0;0;0
25199.96;0.77;905;0;0;0;0;0;0;0;0;0
25800;0.77;905;0;0;0;0;0;0;0;0;0
26399.91;0.77;905;0;0;0;0;0;0;0;0;0
26999.87;0.76;905;0;0;0;0;0;0;0;0;0
27599.68;0.76;905;0;0;0;0;0;0;0;0;0
28199.83;0.76;905;0;0;0;0;0;0;0;0;0
28799.97;0.76;905;0;0;0;0;0;0;0;0;0
