#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/32,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.96;3;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/19,Rest/1
119.97;16;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/17,Rest/4
179.93;17;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/16,Rest/5
239.91;14;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/11,Rest/10
299.73;11;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/16,Rest/4
359.62;15;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/16,Rest/4
419.59;12;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/15,Rest/6
479.83;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/12,Rest/7
539.86;11;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/15,Rest/5
599.82;15;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/15,Rest/5
659.6;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/14,Rest/5
719.98;13;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/17,Rest/2
779.99;9;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
839.87;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/14,Rest/5
899.65;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
959.75;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/13,Rest/4
1019.92;9;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/13,Rest/5
1079.85;10;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/14,Rest/6
1139.91;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/19,Rest/0
1199.92;16;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
1259.81;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
1319.97;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
1379.85;11;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/16,Rest/3
