#ItemDescriptionID;Weight;OrderCount;MeasuredFrequency;StaticFrequency
0;1;19;0.7037037037037037;1
1;1;18;0.6666666666666666;1
2;1;20;0.7407407407407407;1
3;1;17;0.6296296296296297;1
4;1;11;0.4074074074074074;1
5;1;14;0.5185185185185185;1
6;1;21;0.7777777777777778;1
7;1;11;0.4074074074074074;1
8;1;20;0.7407407407407407;1
9;1;16;0.5925925925925926;1
10;1;14;0.5185185185185185;1
11;1;15;0.5555555555555556;1
12;1;10;0.37037037037037035;1
13;1;13;0.48148148148148145;1
14;1;18;0.6666666666666666;1
15;1;23;0.8518518518518519;1
16;1;23;0.8518518518518519;1
17;1;14;0.5185185185185185;1
18;1;24;0.8888888888888888;1
19;1;15;0.5555555555555556;1
20;1;19;0.7037037037037037;1
21;1;15;0.5555555555555556;1
22;1;26;0.9629629629629629;1
23;1;21;0.7777777777777778;1
24;1;11;0.4074074074074074;1
25;1;11;0.4074074074074074;1
26;1;14;0.5185185185185185;1
27;1;17;0.6296296296296297;1
28;1;17;0.6296296296296297;1
29;1;20;0.7407407407407407;1
30;1;20;0.7407407407407407;1
31;1;16;0.5925925925925926;1
32;1;18;0.6666666666666666;1
33;1;11;0.4074074074074074;1
34;1;13;0.48148148148148145;1
35;1;18;0.6666666666666666;1
36;1;17;0.6296296296296297;1
37;1;21;0.7777777777777778;1
38;1;15;0.5555555555555556;1
39;1;13;0.48148148148148145;1
40;1;16;0.5925925925925926;1
41;1;14;0.5185185185185185;1
42;1;15;0.5555555555555556;1
43;1;17;0.6296296296296297;1
44;1;20;0.7407407407407407;1
45;1;15;0.5555555555555556;1
46;1;13;0.48148148148148145;1
47;1;19;0.7037037037037037;1
48;1;18;0.6666666666666666;1
49;1;16;0.5925925925925926;1
50;1;14;0.5185185185185185;1
51;1;12;0.4444444444444444;1
52;1;14;0.5185185185185185;1
53;1;12;0.4444444444444444;1
54;1;18;0.6666666666666666;1
55;1;19;0.7037037037037037;1
56;1;18;0.6666666666666666;1
57;1;16;0.5925925925925926;1
58;1;17;0.6296296296296297;1
59;1;14;0.5185185185185185;1
60;1;20;0.7407407407407407;1
61;1;20;0.7407407407407407;1
62;1;17;0.6296296296296297;1
63;1;17;0.6296296296296297;1
64;1;15;0.5555555555555556;1
65;1;18;0.6666666666666666;1
66;1;19;0.7037037037037037;1
67;1;17;0.6296296296296297;1
68;1;24;0.8888888888888888;1
69;1;15;0.5555555555555556;1
70;1;14;0.5185185185185185;1
71;1;14;0.5185185185185185;1
72;1;10;0.37037037037037035;1
73;1;17;0.6296296296296297;1
74;1;17;0.6296296296296297;1
75;1;19;0.7037037037037037;1
76;1;18;0.6666666666666666;1
77;1;13;0.48148148148148145;1
78;1;16;0.5925925925925926;1
79;1;18;0.6666666666666666;1
80;1;15;0.5555555555555556;1
81;1;17;0.6296296296296297;1
82;1;16;0.5925925925925926;1
83;1;20;0.7407407407407407;1
84;1;15;0.5555555555555556;1
85;1;15;0.5555555555555556;1
86;1;16;0.5925925925925926;1
87;1;16;0.5925925925925926;1
