#TimeStamp;DistanceTraveled
59.96;1325.08
119.99;757.28
179.64;292.85
239.89;223.5
299.69;237.83
359.99;392.17
419.64;446.6
479.76;523.63
539.98;490.76
600;302.6
659.94;433.66
719.98;368.09
779.83;579.04
839.8;505.59
899.99;410.87
959.9;428.32
1019.91;477.34
1079.99;509.14
1139.81;484.92
1199.86;452.35
1259.82;426.39
1319.97;269.09
1379.98;620.29
1439.97;480.91
1499.63;475.3
1559.98;494.25
1619.93;495.37
1679.96;504.69
1739.85;643.77
1800;559.4
1859.94;359.72
1919.99;467.63
1979.85;603.03
2039.82;489.37
2099.81;397.54
2159.96;430.56
2219.96;432.73
2279.97;477.39
2339.83;521.69
2399.74;501.26
2459.99;445.85
2519.82;384.92
2579.98;571.65
2639.75;571.65
2699.99;494.02
2759.92;530.4
2819.71;530.69
2879.72;538.35
2939.96;699.76
2999.82;477.54
3059.93;425.35
3119.96;515.28
3179.89;604.01
3239.95;632.72
3299.96;450.27
3359.77;505.96
3419.87;527.66
3479.83;669.07
3539.78;527.37
3599.96;642.8
3659.96;486.86
3720;646.56
3779.97;654.76
3839.96;467.12
3899.93;348.97
3959.73;367.68
4019.92;576.76
4079.96;747.76
4139.79;667.02
4199.99;530.02
4259.96;408.72
4319.94;424.7
4379.74;613.74
4439.97;661.38
4499.97;627.68
4559.97;445.92
4619.6;555.58
4679.68;721.73
4739.65;399.14
4799.96;429.34
4859.77;459.13
4919.86;578.51
4979.71;621.91
5039.78;721.98
5099.99;520.88
5159.95;404.12
5219.94;704.74
5279.94;588.75
5339.89;464.14
5399.99;476.34
5459.99;531.78
5519.88;570.24
5579.75;632.68
5639.73;518.38
5699.9;498.35
5759.95;459.48
5819.93;513.3
5879.67;532.45
5939.68;663.9
5999.84;506.3
6059.77;485.66
6119.75;495.02
6179.67;646.75
6239.84;502.62
6299.89;527.95
6359.9;528.51
6419.87;487.31
6479.9;678.8
6539.97;427.12
6599.87;377.64
6659.72;408.71
6719.91;495.31
6779.84;639.31
6839.98;661.57
6899.87;519.65
6959.92;473.48
7019.96;577.55
7079.9;615.13
7139.82;536.04
7199.97;454.59
7259.93;507.16
7319.91;594.02
7379.97;489.6
7439.8;642.07
7499.85;461.39
7559.98;495.94
7619.88;534.08
7679.83;629.94
7739.96;551.01
7799.9;604.3
7859.99;393.15
7919.99;526.83
7979.8;545.9
8039.91;717.02
8099.95;632.41
8159.66;488.82
8219.81;604.37
8279.98;452.08
8339.71;476.33
8399.99;698.17
8459.94;630.34
8520;519.13
8579.88;646.09
8639.94;621.13
8699.96;743.93
8759.98;592.07
8819.96;399.86
8879.8;460.9
8939.96;554.02
8999.71;545.26
9059.98;527.37
9119.97;576.4
9179.71;562.47
9239.97;523.57
9299.8;577.35
9359.62;539.66
9419.98;643.27
9479.99;484.62
9539.94;582.32
9599.97;632.5
9659.97;577.06
9719.97;567.45
9779.88;535.52
9839.96;637.85
9899.85;490.28
9959.99;631.2
10019.75;642.64
10079.96;429.02
10139.98;524.88
10199.58;561.71
10259.86;538.35
10319.91;575.29
10379.85;581.36
10439.92;462.05
10499.88;463.62
10559.99;562.06
10619.91;704.82
10680;556.86
10739.99;425.18
10799.97;442.62
10859.68;442.9
10919.91;484.15
10979.64;578.53
11039.95;589.02
11099.98;445.51
11159.96;615.54
11219.69;599.12
11279.96;600.33
11339.9;594.58
11399.81;536.11
11459.98;500.99
11519.99;500.56
11579.96;491.12
11639.74;662.95
11699.87;565
11759.89;476.16
11819.96;486.48
11879.97;618.76
11939.89;687.59
11999.61;597.7
12059.84;449.58
12119.62;553.11
12179.9;659.61
12239.75;620.07
12299.98;512.21
12359.62;422.29
12419.82;487.15
12479.97;640.91
12539.99;676.44
12599.83;609.25
12659.97;381.64
12719.98;399.43
12779.81;367.02
12839.81;640.57
12899.98;571.51
12959.86;495.03
13019.83;442.46
13079.75;569.2
13139.98;555.91
13199.63;580.5
13259.85;734.9
13319.86;604.74
13379.92;459.93
13439.89;527.28
13499.9;580.73
13559.97;641.58
13619.93;638.43
13679.96;537.46
13739.97;356.31
13799.72;609.01
13859.85;733.17
13919.86;511.17
13979.8;498.58
14039.96;522.84
14099.98;608.58
14159.96;666.69
14219.98;502
14279.98;354.71
14339.83;587.73
14399.79;532.08
14459.95;583.24
14519.73;579.88
14579.96;512.38
14639.98;459.66
14699.76;379.81
14759.89;598.55
14819.98;505.14
14879.91;379.18
14939.86;497.95
14999.96;557.21
15059.97;412.63
15119.92;518.41
15179.97;622.08
15239.95;620.83
15299.87;619.83
15359.96;677.65
15419.78;504.84
15479.98;672.02
15539.96;568.21
15599.97;513.19
15659.72;571.54
15719.99;561.15
15779.95;594.27
15839.95;585.47
15899.89;428.78
15959.9;416.37
16019.63;438.65
16079.82;543.59
16139.8;614.07
16199.94;612.17
16259.91;566.1
16319.82;552.15
16379.99;595.62
16439.92;699.74
16499.81;556.08
16559.98;430.65
16619.99;683.57
16679.98;666.82
16739.81;635.26
16799.9;609.5
16859.89;405.49
16920;463.76
16979.94;433.63
17039.87;698.96
17099.6;585.81
17159.97;464.54
17219.65;458.6
17279.92;373.4
17339.63;537.59
17399.98;660.16
17459.91;668.36
17519.99;489.46
17579.99;529.25
17639.82;481.74
17699.88;618.45
17759.75;477.33
17819.93;522.39
17879.98;485.71
17939.91;591.73
17999.98;597.48
18059.93;534.99
18119.92;547.84
18179.9;616.72
18239.99;673.62
18299.86;570.07
18359.81;542.83
18419.74;457.9
18479.89;561.01
18539.93;527.22
18599.7;510.61
18659.9;565.89
18719.78;624.75
18779.63;490.89
18839.99;396.18
18899.58;637.5
18959.98;732.72
19019.9;616.76
19079.82;631.34
19139.98;470.37
19199.98;513.17
19259.98;489.09
19319.82;554.51
19379.78;685.68
19439.88;512.8
19499.79;641.48
19559.71;450.91
19619.86;373.42
19679.98;603.24
19739.62;452
19800;581.07
19859.58;617.38
19919.95;555.45
19979.91;562.9
20039.99;448.03
20099.89;539.26
20159.97;543.62
20219.68;702.34
20279.94;663.13
20339.97;453.06
20399.92;444.78
20459.95;485.12
20519.84;547.05
20579.87;527.21
20639.98;623.22
20699.74;507.37
20759.9;590.27
20819.98;506.77
20879.92;563.26
20939.94;574.57
20999.94;531.55
21059.99;425.1
21119.96;570.68
21179.92;449.12
21239.97;468.09
21299.98;499.97
21359.84;538.77
21419.88;562.04
21479.99;488.11
21539.82;591.34
21599.88;506.71
21659.97;530.14
21719.82;498.43
21779.74;515.51
21839.77;576.85
21899.98;435.69
21959.9;631.92
22019.81;354.59
22079.9;471.45
22139.79;646.64
22199.84;614.09
22259.76;603.61
22319.99;406.83
22379.63;604.75
22439.66;478.05
22499.98;609.72
22560;632.24
22619.71;423.46
22679.97;526.12
22739.67;679.01
22799.96;723.61
22860;493.91
22919.97;624.52
22979.96;696.06
23039.97;470.14
23099.85;427.41
23159.98;571.97
23219.98;616.8
23279.95;468.08
23340;413.7
23399.79;454.48
23459.98;481.26
23519.95;563.01
23579.85;361.91
23639.97;478.38
23699.96;594.63
23759.67;655.28
23819.81;619.53
23879.99;424.22
23939.91;480.43
23999.9;538.75
24059.7;603.37
24119.96;574.91
24179.97;512.78
24239.8;602.23
24299.98;694.97
24359.78;619.99
24419.75;781.21
24479.79;496.63
24539.97;505.61
24599.92;476.85
24659.94;419.86
24719.8;427.66
24779.97;609.63
24839.99;431.96
24899.91;572.63
24959.79;631.94
25019.77;501.74
25079.66;458.96
25139.98;654.5
25199.98;633.78
25259.99;600.04
25319.71;617.26
25379.89;558.6
25439.93;537.48
25499.89;568.77
25559.99;577.48
25619.87;597.64
25679.99;480.31
25739.91;436.16
