#TimeStamp;Bot;Pod;OutputStation
35.68;11;433;1
35.79;29;70;3
45.79;11;433;1
45.88;25;373;0
53.06;5;73;3
55.83;11;433;1
55.97;25;373;0
60.2;30;427;2
63.15;5;73;3
65.91;11;433;1
66.06;25;373;0
70.25;30;427;2
73.28;5;73;3
75.99;11;433;1
79.39;19;97;0
80.3;30;427;2
86.08;11;433;1
89.51;19;97;0
90.35;30;427;2
96.14;11;433;1
99.55;19;97;0
100.59;30;427;2
106.19;11;433;1
109.6;19;97;0
110.84;8;141;2
114.39;7;406;3
116.36;11;433;1
119.95;19;97;0
121.26;8;141;2
124.52;7;406;3
126.4;2;135;1
130;1;84;0
131.31;8;141;2
134.77;7;406;3
136.82;2;135;1
140.2;1;84;0
141.55;8;141;2
144.87;7;406;3
147.24;2;135;1
150.24;1;84;0
151.6;8;141;2
155.29;7;406;3
157.43;26;13;1
160.46;1;84;0
161.74;10;482;2
165.33;7;406;3
167.85;26;13;1
170.85;1;84;0
172.08;10;482;2
175.54;7;406;3
177.93;26;13;1
180.91;1;84;0
182.52;10;482;2
185.99;7;406;3
188.33;26;13;1
191.24;1;84;0
192.72;10;482;2
196.39;7;406;3
198.55;0;498;1
201.55;1;84;0
202.77;21;398;2
206.43;9;267;3
208.97;0;498;1
211.8;1;84;0
212.81;21;398;2
216.48;9;267;3
219.01;0;498;1
221.99;14;303;0
222.86;21;398;2
226.52;9;267;3
229.06;0;498;1
232.06;14;303;0
232.91;21;398;2
236.57;9;267;3
239.1;0;498;1
242.1;14;303;0
243.11;21;398;2
246.63;16;347;3
249.15;24;170;1
252.15;14;303;0
253.21;21;398;2
256.68;16;347;3
259.19;24;170;1
262.21;14;303;0
263.25;21;398;2
266.72;16;347;3
269.24;24;170;1
272.26;14;303;0
273.44;21;398;2
277.16;16;347;3
279.28;24;170;1
282.3;27;334;0
283.87;28;87;2
287.23;16;347;3
289.33;24;170;1
292.35;27;334;0
294.28;28;87;2
297.27;16;347;3
299.37;24;170;1
302.39;27;334;0
304.39;28;87;2
307.35;16;347;3
309.42;24;170;1
312.44;27;334;0
314.61;28;87;2
317.39;5;55;3
319.84;24;170;1
322.65;4;265;0
324.73;28;87;2
327.74;5;55;3
329.9;11;76;1
332.88;4;265;0
334.78;30;502;2
337.79;5;55;3
340.06;11;76;1
343.06;4;265;0
344.82;30;502;2
347.86;29;209;3
350.16;11;76;1
353.1;4;265;0
354.86;30;502;2
357.9;29;209;3
360.58;11;76;1
363.37;4;265;0
364.91;30;502;2
367.95;29;209;3
370.74;11;76;1
373.41;4;265;0
375;30;502;2
377.99;29;209;3
380.8;11;76;1
383.45;25;178;0
385.04;30;502;2
388.05;7;519;3
390.84;11;76;1
393.54;25;178;0
395.09;30;502;2
398.09;7;519;3
400.91;2;9;1
403.91;25;178;0
405.16;30;502;2
408.14;7;519;3
410.96;2;9;1
413.96;25;178;0
415.2;30;502;2
418.2;7;519;3
421.03;2;9;1
424.03;14;130;0
425.27;10;381;2
428.27;7;519;3
431.19;0;388;1
434.09;14;130;0
435.33;10;381;2
438.33;7;519;3
441.27;0;388;1
444.14;1;297;0
445.4;10;381;2
448.37;7;519;3
451.32;0;388;1
454.19;1;297;0
455.82;10;381;2
458.47;7;519;3
461.37;0;388;1
464.29;1;297;0
466.04;10;381;2
468.89;9;312;3
471.44;26;207;1
474.41;1;297;0
476.28;8;348;2
479.11;9;312;3
481.49;26;207;1
484.49;1;297;0
486.42;8;348;2
489.31;9;312;3
491.53;26;207;1
494.54;1;297;0
496.47;21;157;2
499.47;9;312;3
501.58;26;207;1
504.58;1;297;0
506.51;21;157;2
509.52;9;312;3
511.62;26;207;1
514.63;27;124;0
516.56;21;157;2
519.57;16;412;3
521.67;26;207;1
524.67;27;124;0
526.6;28;298;2
529.64;16;412;3
531.71;26;207;1
534.72;27;124;0
536.64;28;298;2
539.68;16;412;3
541.76;24;114;1
544.76;27;124;0
546.69;28;298;2
549.73;5;508;3
551.8;24;114;1
554.81;19;295;0
556.75;30;474;2
559.77;5;508;3
561.85;24;114;1
564.85;19;295;0
566.88;30;474;2
569.87;29;283;3
571.89;11;131;1
574.92;19;295;0
