#TimeStamp;Runtime;Requests
0.88;1.01;32
1.88;1;4
2.93;1;3
3.97;0.14;1
4.97;0.26;1
6.06;0.15;1
7.08;0.08;2
8.08;0.06;2
9.08;0.05;3
10.12;0.1;2
11.13;0.02;2
12.27;0.01;3
13.27;0.01;5
14.36;0.02;4
15.4;0.02;5
16.4;0.01;5
17.41;0.02;8
18.42;0.02;2
19.46;0.01;1
20.5;0.01;1
21.53;0.06;3
22.92;0.05;2
24.13;0.07;2
25.13;0.07;8
26.16;0.66;7
27.2;0.34;4
28.2;0.51;5
29.22;0.09;2
30.26;0.09;3
31.3;0.02;1
32.39;0.03;3
33.45;1;5
34.47;0.81;2
35.5;0.94;2
36.52;1;2
37.53;0.48;2
38.54;1;3
39.92;1;1
40.97;1;3
42;1;1
43.17;1;1
44.27;0.19;2
45.63;0.21;2
46.67;0.64;2
47.68;0.22;3
48.7;0.63;1
49.7;1;1
50.79;1;3
51.84;1;6
52.88;1;3
53.88;1.01;4
54.88;1;3
55.88;1;2
56.93;1;4
57.97;1;2
59;1;3
60.01;1.01;5
61.02;1.01;5
62.02;1;6
63.06;0.02;7
64.07;0.02;6
65.11;0.03;6
66.15;1.01;6
67.16;0.17;4
68.19;0.08;4
69.36;0.07;3
70.49;0.06;2
71.53;0.02;2
72.56;0.03;1
73.64;0.07;1
74.64;0.05;3
75.8;0.04;2
76.84;0.04;5
77.86;0.04;5
78.89;0.04;4
80;0.05;5
81.18;0.04;5
82.21;0.04;4
83.25;0.03;4
84.25;0.05;5
85.29;0.02;4
86.32;0.02;3
87.41;0.02;3
88.41;0.01;2
89.45;0.02;2
90.49;0.02;2
91.51;0.03;2
92.56;0.01;2
93.6;0.01;2
94.64;0.01;2
95.66;0.01;2
96.71;0.01;2
97.74;0.01;2
98.78;0.01;4
99.8;0.01;3
100.84;0.01;2
101.86;0.01;2
102.9;0.01;2
103.9;0.01;2
104.95;0.01;2
105.96;0.01;2
107.01;0.01;3
108.05;0.01;2
109.08;0.01;2
110.12;0.01;2
111.17;0.01;1
119.86;0.01;1
120.97;0.01;1
126.59;0.01;1
131.29;0.01;1
137.23;0;1
138.53;0.01;1
145.68;0.01;1
149.98;0.01;1
171.17;0;1
172.35;0;2
173.44;0;1
188.74;0;1
190.38;0;1
191.52;0;1
192.66;0.01;1
196.52;0;1
210.11;0;1
221.26;0;1
225.95;0;1
230.8;0;1
231.85;0;1
232.89;0.01;1
241.63;0;1
245.82;0;1
249.61;0;1
250.64;0;2
254.84;0;1
256.54;0;1
260.45;0;1
261.5;0;1
263.87;0;1
264.89;0.01;1
268.34;0.01;1
269.63;0;1
270.66;0.01;1
271.79;0.01;1
272.97;0;3
274.13;0.01;3
275.17;0.01;2
276.43;0.01;1
277.47;0.01;2
284.64;0.01;1
285.93;0.01;1
287.51;0.01;1
288.51;0.01;1
290.34;0.01;1
293.75;0.01;1
295.85;0.01;1
297.56;0.01;1
300.07;0.01;1
301.5;0.01;1
302.71;0;1
306.16;0;1
307.46;0;1
308.59;0.01;1
312.36;0;1
314.09;0.01;1
316.22;0.01;1
317.55;0.01;1
318.56;0;1
319.62;0;1
320.96;0;1
321.96;0;1
323.11;0;1
324.16;0.01;3
325.42;0.01;1
332.77;0.01;1
333.88;0;1
334.9;0.01;3
346.35;0.01;1
347.57;0.01;1
351.61;0.01;1
354.06;0.01;1
364.27;0;1
367.58;0;1
372.17;0;1
373.3;0;1
374.99;0;1
380.6;0.01;1
385.9;0.01;1
387.48;0.01;1
388.8;0.01;1
391.85;0;1
395.29;0;1
398.22;0;1
399.22;0;2
400.24;0.01;3
401.25;0;2
402.32;0;2
403.44;0;1
404.46;0;1
405.55;0;2
412.54;0.01;1
413.57;0.01;1
414.61;0.01;1
415.7;0.01;2
416.83;0.01;1
419.48;0.01;1
420.52;0;1
423.89;0;1
424.92;0;1
427.73;0;1
430.31;0.01;1
431.53;0.01;1
433.61;0.01;1
435.53;0.01;1
436.53;0.01;2
437.53;0.01;1
438.71;0.01;1
439.75;0.01;1
441.06;0.01;2
442.09;0.01;1
443.15;0.01;1
444.33;0.01;1
446.61;0.02;1
447.67;0.02;1
452.76;0.01;1
454.04;0.01;1
455.15;0.01;1
456.17;0.01;1
457.19;0.01;3
458.25;0.02;2
459.46;0.02;2
460.54;0.01;1
461.66;0.01;1
462.98;0.01;1
464.15;0.01;1
465.29;0.01;1
466.65;0.01;1
471.24;0.01;1
474.7;0.01;1
475.71;0.01;2
476.71;0.01;3
478;0.01;3
479.04;0.01;1
480.09;0.01;2
481.13;0.01;2
482.18;0.01;2
491.14;0.01;1
493.27;0.01;1
496.19;0.01;1
497.6;0.01;1
500.84;0.02;1
502.03;0.01;1
503.16;0.01;1
504.29;0.01;2
505.37;0.01;1
506.37;0.01;2
507.38;0.01;1
508.42;0.01;1
510.95;0.01;1
516.75;0.01;1
523.95;0.01;1
524.97;0;1
526.48;0.01;1
527.68;0.01;2
528.76;0;1
529.94;0.01;2
538.23;0.01;1
545.73;0.01;1
549.6;0.01;1
554.04;0;1
555.15;0;1
557.78;0;2
564.04;0;1
571.68;0;1
580.03;0;1
582.29;0;1
584.68;0;1
587.2;0.01;1
596.46;0;1
601.2;0;1
602.26;0;1
603.35;0;1
605.51;0;1
611.38;0;1
612.49;0.01;2
615.19;0.01;1
618.19;0;1
619.22;0;1
620.24;0;1
621.27;0;1
622.27;0;1
623.29;0;1
624.29;0;1
625.34;0.03;1
626.38;0.02;3
627.43;0.02;1
628.47;0.02;1
629.47;0.02;2
630.52;0.02;1
631.55;0.02;1
632.59;0.01;2
633.59;0.01;1
636.64;0.01;1
638.71;0.01;1
639.98;0.01;1
641.01;0.01;1
643.38;0.02;1
647.42;0.02;1
649.21;0.02;1
650.91;0.02;1
652.99;0.01;1
659.4;0.01;1
660.54;0.01;1
663.22;0.01;1
664.47;0.01;2
665.61;0.01;3
666.82;0.01;2
675.69;0.02;1
678.82;0;1
682.33;0.01;1
689.81;0;1
693.85;0;1
695.18;0;1
697;0;1
698;0;1
704.8;0;1
706.05;0;1
707.68;0;1
708.85;0.01;1
709.89;0.01;1
711.77;0.01;1
716.71;0;1
717.8;0;1
720.18;0;1
721.52;0.01;2
722.6;0.01;1
727.84;0.01;1
728.85;0;1
729.85;0;1
730.89;0;1
731.92;0;1
732.96;0;1
734;0.01;2
735.04;0;1
736.09;0.01;4
739.46;0.01;1
740.85;0.01;1
742.91;0.01;1
744.23;0.01;1
748.01;0.01;1
749.35;0.01;1
750.35;0.01;2
751.39;0.01;1
752.4;0.01;1
753.4;0.01;1
755.1;0.01;1
756.35;0.01;1
757.97;0.01;1
759.38;0.01;1
766.44;0.01;1
767.59;0.01;1
768.8;0.01;1
770.8;0.01;2
772.34;0.01;1
773.51;0.01;1
774.53;0.01;1
775.55;0.01;1
778.02;0.01;1
780.55;0.01;1
781.74;0.01;1
786.41;0.01;1
791.19;0.01;1
792.36;0.01;1
793.9;0.01;1
795.06;0.01;1
796.35;0.01;2
797.94;0.01;1
798.97;0.01;1
800;0.01;1
803.57;0.01;2
811.64;0.01;1
816.57;0;1
821.58;0;1
826.58;0;1
828.99;0;1
830;0;1
832.31;0;1
833.48;0;1
841.23;0;1
850.45;0;1
852.76;0;2
854.57;0;1
856.72;0.01;1
858.07;0.01;1
868.7;0.01;1
870.02;0.01;1
875.72;0.01;1
876.85;0.01;1
881.39;0;1
882.48;0.01;1
883.5;0.01;2
893.32;0.01;1
897.28;0;1
902.02;0;1
909.28;0.01;1
915.89;0;1
916.98;0;1
918.94;0;1
920.46;0;1
921.5;0.01;1
923.06;0;1
924.86;0;1
928.12;0;1
929.12;0.01;1
930.12;0.01;2
931.14;0.01;2
932.19;0;1
933.23;0.01;3
934.59;0;1
938.35;0;1
939.38;0;1
940.66;0;1
941.86;0.01;2
943.03;0.01;1
944.11;0.01;1
947.52;0.01;1
948.66;0.01;1
952.16;0.01;1
953.41;0;1
954.5;0.02;3
955.75;0.01;2
956.88;0.01;1
957.93;0.02;2
958.96;0.01;2
960;0.01;2
961.04;0.01;3
962.09;0.01;3
963.16;0.01;1
964.25;0.02;2
965.37;0.05;1
966.37;0.05;1
967.38;0.03;2
968.43;0.03;1
975.55;0.02;1
976.55;0.02;1
977.55;0.02;1
978.6;0.02;1
979.62;0.02;1
980.67;0.02;1
981.71;0.02;3
982.75;0.02;2
983.89;0.02;1
984.97;0.02;2
986.02;0.01;2
988.06;0.01;1
989.1;0.01;1
991.27;0.01;1
992.27;0.01;1
993.3;0.01;1
994.34;0.01;2
1000.95;0;1
1002.18;0.01;1
1003.36;0.01;1
1008.56;0;1
1009.73;0;1
1011.39;0;1
1012.99;0;1
1014.01;0.01;1
1020.79;0.01;1
1022.81;0;1
1023.84;0;1
1029.04;0;1
1031.3;0;1
