#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;4;4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/11,1/11,2/11,3/11;0/0,1/0,2/0,3/0;0/11,1/11,2/11,3/11;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0
59.96;0;1;4;4;0/59.96,1/59.96,2/59.96,3/59.96;0/46.09,1/36.17,2/59.96,3/43.12;0/59.96,1/59.96,2/59.96,3/59.96;0/59.96,1/59.96,2/59.96,3/59.96;0/893,1/923,2/902,3/897;0/0,1/1,2/1,3/0;0/987,1/985,2/993,3/994;0/11,1/11,2/11,3/11;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/1;0/0,1/0,2/0,3/0;0/2,1/3,2/0,3/2
119.98;0;5;4;4;0/92.53,1/66.57,2/108.85,3/64.32;0/47.35,1/37.01,2/61.38,3/66.92;0/119.98,1/119.98,2/119.98,3/119.98;0/119.98,1/119.98,2/119.98,3/119.98;0/893,1/923,2/902,3/897;0/0,1/0,2/0,3/0;0/984,1/979,2/991,3/988;0/11,1/10,2/10,3/11;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/1,1/1,2/1,3/2;0/3,1/6,2/2,3/6;0/8,1/9,2/6,3/6
179.88;0;11;4;4;0/94.03,1/67.89,2/110.13,3/65.29;0/48.69,1/38.51,2/63.59,3/68.94;0/179.88,1/179.88,2/179.88,3/179.88;0/179.88,1/179.88,2/179.88,3/179.88;0/893,1/946,2/902,3/897;0/0,1/0,2/0,3/0;0/978,1/996,2/985,3/982;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/2,1/3,2/3,3/3;0/9,1/12,2/8,3/12;0/14,1/15,2/12,3/12
239.97;0;14;4;4;0/94.79,1/69.26,2/111.79,3/65.88;0/50.35,1/40.37,2/65.55,3/70.41;0/239.97,1/239.97,2/239.97,3/239.97;0/239.97,1/239.97,2/239.97,3/239.97;0/916,1/946,2/902,3/920;0/0,1/0,2/0,3/1;0/995,1/990,2/979,3/999;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/3,1/4,2/4,3/3;0/15,1/18,2/14,3/18;0/20,1/21,2/18,3/18
299.92;0;19;4;4;0/95.41,1/70.15,2/112.33,3/66.74;0/51.49,1/42.23,2/66.33,3/71.04;0/299.92,1/299.92,2/299.92,3/299.92;0/299.92,1/299.92,2/299.92,3/299.92;0/916,1/946,2/925,3/920;0/0,1/0,2/0,3/0;0/989,1/984,2/996,3/993;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/5,1/5,2/5,3/4;0/21,1/24,2/20,3/24;0/26,1/27,2/24,3/24
359.92;0;23;4;4;0/96.71,1/71.27,2/112.95,3/67.34;0/52.19,1/43.58,2/68.39,3/71.66;0/359.92,1/359.92,2/359.92,3/359.92;0/359.92,1/359.92,2/359.92,3/359.92;0/916,1/946,2/925,3/920;0/0,1/0,2/0,3/0;0/983,1/978,2/990,3/987;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/5,1/7,2/6,3/5;0/27,1/30,2/26,3/30;0/32,1/33,2/30,3/30
419.98;3;28;4;4;0/97.19,1/77.92,2/119.67,3/74.29;0/52.96,1/44.81,2/71.04,3/72.97;0/419.98,1/419.98,2/419.98,3/419.98;0/419.98,1/419.98,2/419.98,3/419.98;0/916,1/939,2/896,3/889;0/0,1/0,2/0,3/0;0/977,1/996,2/985,3/982;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/1,2/1,3/1;0/7,1/8,2/7,3/6;0/33,1/35,2/31,3/35;0/37,1/39,2/36,3/35
479.99;4;32;4;4;0/104.03,1/78.73,2/120.21,3/74.69;0/54.84,1/45.79,2/72.86,3/74.61;0/479.99,1/479.99,2/479.99,3/479.99;0/479.99,1/479.99,2/479.99,3/479.99;0/914,1/939,2/896,3/889;0/0,1/0,2/0,3/2;0/999,1/990,2/979,3/976;0/11,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/1,2/1,3/1;0/9,1/8,2/8,3/7;0/39,1/41,2/37,3/41;0/43,1/44,2/42,3/41
539.99;4;37;4;4;0/105.11,1/80.13,2/121.6,3/75.2;0/55.6,1/47.82,2/74.92,3/76.74;0/539.99,1/539.99,2/539.99,3/539.99;0/539.99,1/539.99,2/539.99,3/539.99;0/914,1/939,2/921,3/916;0/0,1/0,2/0,3/1;0/993,1/984,2/998,3/997;0/10,1/11,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/1,2/1,3/1;0/11,1/9,2/9,3/8;0/45,1/47,2/43,3/47;0/49,1/50,2/48,3/47
599.66;4;42;4;4;0/105.58,1/80.86,2/122.71,3/76.16;0/59.06,1/49.27,2/77.05,3/83.66;0/599.66,1/599.66,2/599.66,3/599.66;0/599.66,1/599.66,2/599.66,3/599.66;0/914,1/939,2/921,3/916;0/1,1/0,2/0,3/0;0/988,1/978,2/992,3/991;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/1,2/1,3/1;0/12,1/10,2/9,3/11;0/50,1/53,2/49,3/53;0/55,1/56,2/54,3/53
