#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;100;100;0;0;0;0;0;0.43
59.96;100;100;54.02;53.55;54.28;59.96;0.37;0.43
119.99;100;100;114.03;90.21;114.28;119;0.37;0.44
179.97;100;100;173.22;96.9;174.21;163.16;0.37;0.43
239.79;100;100;230.72;104.04;233.94;206.73;0.37;0.45
299.92;100;100;289.35;80.13;294.02;203.22;0.35;0.38
359.69;100;100;349.06;91.9;353.75;228.56;0.35;0.4
419.99;100;100;407.23;85.54;413.53;225.5;0.35;0.41
479.92;100;100;464.03;60.97;472.32;252.62;0.35;0.44
539.97;100;100;520.67;67.77;530.88;275.57;0.35;0.46
599.94;100;100;576.79;68.13;588.89;318.54;0.36;0.46
659.94;100;100;636.65;60.35;648.83;273.54;0.36;0.4
719.9;100;100;691.77;66.58;705.85;288.71;0.36;0.37
779.94;100;100;741.2;61.65;758.94;251.99;0.36;0.38
839.99;100;100;795.93;66.15;814.44;269.88;0.36;0.42
899.94;100;100;855.62;67.48;874.24;254.09;0.36;0.4
959.96;100;100;909.25;64;930.19;300.71;0.37;0.41
1019.96;100;100;962.56;64;985.18;278.68;0.37;0.41
1079.89;100;100;1015.74;66.65;1040;272.66;0.37;0.44
1139.96;100;100;1068.75;63.42;1094.58;315.64;0.37;0.44
1199.97;100;100;1128.33;69.37;1154.32;375.87;0.37;0.42
1259.75;100;100;1179.82;73.2;1207.59;371.66;0.37;0.44
1319.94;100;100;1222.84;63.31;1254.06;458.31;0.38;0.46
1379.97;100;100;1274.16;60.8;1306.85;477.33;0.38;0.43
1439.87;100;100;1333.43;72.07;1366.32;463.28;0.38;0.46
1499.84;100;100;1392.77;76.14;1425.86;295.98;0.38;0.45
1559.98;100;100;1442.29;71.83;1477.23;394.83;0.38;0.5
1619.89;100;100;1471.49;58.07;1511.05;470.49;0.38;0.49
1679.98;100;100;1530.77;57.49;1570.56;411.8;0.38;0.46
1739.99;100;100;1589.93;68.15;1629.94;426.03;0.39;0.46
1799.66;100;100;1637.53;79.23;1679.26;497.86;0.39;0.48
1859.93;100;100;1685.76;66.57;1729.2;383.66;0.39;0.47
1919.67;100;100;1722.25;65.82;1768.63;368.84;0.39;0.44
1979.99;100;100;1781.4;64.39;1828.06;356.01;0.39;0.42
2039.9;100;100;1840.11;64.19;1887.05;324.43;0.39;0.43
2099.71;100;100;1885.4;58.68;1934.25;244.61;0.4;0.45
2159.96;100;100;1904.7;61.75;1958.04;213.43;0.4;0.45
2219.96;100;100;1963.64;67.69;2017.18;430.77;0.4;0.48
2279.85;100;100;2023.7;68.31;2077.01;491.27;0.4;0.48
2339.73;100;100;2084.2;71.85;2137.06;439.97;0.4;0.46
2399.85;100;100;2128.72;64.72;2182.77;367.38;0.4;0.43
2459.96;100;100;2142.01;60.76;2199.79;252.81;0.41;0.42
2519.95;100;100;2201.82;63.35;2259.26;441.75;0.41;0.45
2579.97;100;100;2260.47;66.94;2318.09;482.93;0.41;0.48
2639.9;100;100;2318.47;68.3;2376.45;378.38;0.41;0.45
2700;100;100;2376.6;60.41;2434.94;332.07;0.41;0.46
2759.75;100;100;2362.01;59.96;2426.52;338.28;0.41;0.47
2819.94;100;100;2421.21;63.82;2485.96;323.04;0.42;0.51
2879.83;100;100;2485.11;64.15;2549.5;231.96;0.42;0.47
2939.96;100;100;2549.75;61.63;2613.65;448.47;0.42;0.48
2999.88;100;100;2614.23;62.48;2677.6;541.91;0.42;0.47
3059.95;100;100;2605.55;66.95;2673.76;474.39;0.42;0.51
3119.7;100;100;2673.28;67.08;2740.93;389.26;0.42;0.52
3179.97;100;100;2743.13;63.5;2810.07;333.51;0.42;0.52
3239.96;100;100;2815.84;66.85;2881.34;365.73;0.43;0.51
3299.94;100;100;2868.85;65.04;2934.34;384.8;0.43;0.51
3359.85;100;100;2878.91;62.24;2947.71;336.21;0.43;0.5
3419.98;100;100;2951.8;63.87;3019.65;283.11;0.43;0.48
3479.8;100;100;3023.78;69.66;3090.78;316.01;0.43;0.49
3539.96;100;100;3098.37;65.13;3164;348.28;0.43;0.53
3599.93;100;100;3114.71;66.21;3182.91;317.89;0.44;0.51
3659.99;100;100;3167.01;64.99;3235.58;295.83;0.44;0.55
3719.88;100;100;3237.65;61.33;3304.89;295.97;0.44;0.54
3779.98;100;100;3302.27;70.61;3368.82;320.53;0.44;0.52
3839.97;100;100;3339.95;63.19;3407.05;308.77;0.44;0.49
3899.98;100;100;3368.5;67.24;3437.46;367.81;0.44;0.53
3959.99;100;100;3406.13;61.9;3476.56;362.55;0.45;0.52
4019.89;100;100;3445.19;67.53;3516.25;372.08;0.45;0.53
4079.86;100;100;3510.4;70.61;3581;471.57;0.45;0.52
4139.97;100;100;3544.61;61.5;3616.37;447.02;0.45;0.53
4199.85;100;100;3582.24;61.49;3655.13;417.82;0.45;0.51
4259.88;100;100;3623.45;61.68;3696.97;428.71;0.45;0.51
4319.94;100;100;3662.73;66.93;3736.52;503.76;0.45;0.53
4379.99;100;100;3733.61;74.42;3806.62;459.5;0.45;0.52
4439.94;100;100;3806.22;66.35;3878.35;426.78;0.46;0.51
4499.98;100;100;3792.86;63.43;3868.65;367.26;0.46;0.52
4559.61;100;100;3837.36;74.82;3913.24;304.42;0.46;0.54
4619.58;100;100;3913.2;65.73;3988.15;262.06;0.46;0.52
4679.95;100;100;3986.6;65.29;4060.89;360.97;0.46;0.48
4739.97;100;100;4031.77;60.57;4106.74;300.46;0.46;0.51
4799.97;100;100;4048.05;62.55;4125.08;353.53;0.47;0.49
4859.99;100;100;4093.11;69.04;4170.3;391.02;0.47;0.5
4919.99;100;100;4167.64;68.66;4244.03;379.35;0.47;0.51
4979.96;100;100;4245.03;68.49;4320.5;330.47;0.47;0.55
5039.69;100;100;4288.93;66.27;4364.92;253.87;0.47;0.58
5099.97;100;100;4305.08;60.97;4382.55;294.45;0.47;0.58
5159.78;100;100;4348.92;63.51;4426.32;326.35;0.48;0.54
5219.92;100;100;4425.17;70.27;4501.71;406.86;0.48;0.51
5279.62;100;100;4499.6;67.8;4575.43;476.26;0.48;0.53
5339.65;100;100;4541.74;63.65;4618.3;501.56;0.48;0.52
5399.98;100;100;4551.94;61.8;4630.48;344.67;0.48;0.56
5459.86;100;100;4591.3;68.91;4670.1;437.54;0.48;0.57
5519.91;100;100;4663;62.96;4741.46;416.9;0.45;0.51
5579.95;100;100;4740.26;61.13;4818.25;404.62;0.46;0.52
5639.97;100;100;4817.72;63.76;4895.03;417.51;0.46;0.51
5699.8;100;100;4782.28;67.38;4863.81;410.22;0.46;0.49
5759.59;100;100;4862.66;72.5;4943.18;388.83;0.46;0.51
5819.7;100;100;4905.03;62.63;4985.69;315.79;0.46;0.49
5879.96;100;100;4990.28;63.33;5070.05;284.97;0.46;0.52
5939.84;100;100;5075.44;66.71;5154;340.48;0.47;0.55
5999.6;100;100;5047.21;61.79;5128.39;277.45;0.47;0.54
6059.63;100;100;5130.69;62.32;5210.84;373.37;0.47;0.55
6119.83;100;100;5173.96;64.17;5254.28;405.57;0.47;0.5
6179.9;100;100;5260.65;68.33;5339.92;463.73;0.47;0.53
6239.87;100;100;5347.58;71.25;5425.42;387.85;0.47;0.54
6299.94;100;100;5314.17;75.28;5394.92;395.45;0.47;0.56
6359.68;100;100;5399.91;69.5;5479.57;294.72;0.47;0.58
6419.85;100;100;5448.72;68.29;5528.29;434.85;0.48;0.54
6479.99;100;100;5538.2;62.98;5616.88;580.07;0.48;0.55
6539.98;100;100;5627.88;64.13;5705.26;527.55;0.48;0.54
6599.77;100;100;5588.67;68.48;5669.67;369.72;0.48;0.54
6659.96;100;100;5678.05;75.1;5758.2;289.64;0.48;0.53
6719.97;100;100;5713.75;64.29;5794.22;454.19;0.48;0.55
6779.94;100;100;5795.55;67.45;5875.6;481.62;0.48;0.59
6839.73;100;100;5877.45;68.42;5956.96;536.22;0.49;0.63
6899.59;100;100;5822.04;70.64;5905.5;484.36;0.49;0.59
6959.99;100;100;5905.65;90.77;5988.36;514.79;0.49;0.62
7019.7;100;100;5949.9;93.93;6032.4;412.93;0.46;0.55
7079.99;100;100;6040.7;73.92;6122.34;377.53;0.46;0.58
7139.92;100;100;6132.87;71.57;6213.55;441.12;0.46;0.59
7199.86;100;100;6129.45;70.6;6212.23;305.65;0.47;0.54
7259.83;100;100;6173.71;71.22;6256.52;293;0.47;0.54
7319.98;100;100;6220.04;60.36;6302.57;267.39;0.47;0.53
7379.98;100;100;6314.06;68.56;6395.66;280.02;0.47;0.53
7439.97;100;100;6408.49;69.95;6489.04;324.62;0.47;0.54
7499.97;100;100;6358.25;63.21;6441.87;399.58;0.47;0.53
7559.89;100;100;6450.49;62.2;6533.04;420.44;0.47;0.51
7619.75;100;100;6496.24;67.55;6578.64;364.37;0.47;0.53
7679.78;100;100;6591.99;63.52;6673.33;365.45;0.48;0.51
7740;100;100;6688.38;61.17;6768.6;385.46;0.45;0.51
7799.96;100;100;6784.96;69.64;6863.79;374.11;0.45;0.54
7859.92;100;100;6723.21;69.54;6805.92;376.76;0.45;0.5
7919.98;100;100;6766.98;64.3;6849.25;301.06;0.46;0.48
7979.85;100;100;6861.13;59.91;6942.58;300.03;0.46;0.51
8039.99;100;100;6959.09;61.9;7039.52;317.59;0.46;0.53
8100;100;100;7057.37;68.6;7136.43;423.26;0.46;0.53
8159.91;100;100;6985.29;63.99;7068.67;501.57;0.46;0.57
8219.91;100;100;7025.66;67.31;7108.39;505.37;0.46;0.55
8279.93;100;100;7116.28;60.39;7198.22;359.85;0.46;0.56
8339.9;100;100;7209.91;67.78;7290.98;335.22;0.47;0.57
8399.79;100;100;7303.86;61.72;7383.6;379.31;0.47;0.55
8459.59;100;100;7339.65;62.19;7419.92;432.02;0.47;0.51
