#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/32,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.96;5;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/19,Rest/1
119.99;18;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
179.93;17;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/15,Rest/6
239.8;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/9,Rest/9
299.89;10;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/11,Rest/9
359.68;15;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/18,Rest/2
419.86;14;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/16,Rest/4
479.65;12;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/15,Rest/5
539.99;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
599.98;14;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/14,Rest/2
660;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
719.98;13;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/13,Rest/7
779.85;10;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/16,Rest/4
839.96;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
899.94;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/12,Rest/6
959.71;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
1019.84;14;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/18,Rest/1
1079.96;10;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
1140;8;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
1199.94;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
1259.73;16;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
1319.67;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/11,Rest/7
1380;10;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/14,Rest/5
1439.93;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
1499.9;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
1559.99;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
1619.82;13;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/14,Rest/2
1679.92;12;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/17,Rest/3
1739.98;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
1799.85;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
1859.99;12;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/15,Rest/1
1919.98;15;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/17,Rest/0
1979.97;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/13,Rest/5
2039.89;10;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
2099.96;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
2159.86;14;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
2219.81;16;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/15,Rest/4
2279.85;11;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/18,Rest/0
2339.93;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
2399.95;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
2459.71;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/18,Rest/1
2519.96;14;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/14,Rest/6
2579.67;9;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/13,Rest/5
2639.97;12;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/16,Rest/4
2699.61;16;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
2759.95;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/17,Rest/0
2819.97;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
2879.71;10;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/14,Rest/4
2939.99;10;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
2999.83;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/14,Rest/5
3059.91;12;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/18,Rest/2
3119.87;14;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
3180;10;None/0,ParkPod/7,RepositionPod/0,Insert/9,Extract/16,Rest/0
3239.99;10;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
3300;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
3359.97;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
3419.99;14;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/13,Rest/4
3479.98;9;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/17,Rest/2
3539.99;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
3599.99;14;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/13,Rest/3
3659.97;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
3719.66;14;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/15,Rest/2
3779.97;11;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/14,Rest/4
3839.64;10;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
3899.99;13;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/14,Rest/6
3960;12;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/15,Rest/5
4019.79;15;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/15,Rest/3
4079.73;12;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/17,Rest/4
4139.76;9;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
4199.97;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/17,Rest/0
4259.9;15;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/15,Rest/2
4319.8;13;None/0,ParkPod/6,RepositionPod/0,Insert/10,Extract/15,Rest/1
4379.91;10;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
4439.78;8;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
4499.77;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
4559.96;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
4619.99;16;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/18,Rest/2
4679.97;12;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/15,Rest/3
4739.93;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
4799.89;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/18,Rest/0
4859.98;14;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
4919.97;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
4979.71;8;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/15,Rest/1
5039.88;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
5099.83;13;None/0,ParkPod/6,RepositionPod/0,Insert/10,Extract/13,Rest/3
5159.96;13;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
5219.98;10;None/0,ParkPod/6,RepositionPod/0,Insert/10,Extract/15,Rest/1
5279.88;10;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/13,Rest/4
5339.96;10;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/16,Rest/4
5399.8;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
5460;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/13,Rest/6
5519.69;12;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/17,Rest/3
5579.84;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
5640;10;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
5699.91;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/18,Rest/1
5759.98;15;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/17,Rest/1
5819.99;12;None/0,ParkPod/6,RepositionPod/0,Insert/10,Extract/13,Rest/3
5879.94;9;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/16,Rest/3
5939.96;10;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/13,Rest/5
5999.95;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
6059.98;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/19,Rest/0
6119.94;13;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/17,Rest/2
6179.67;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
6239.77;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/12,Rest/6
6299.98;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
6359.99;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
6419.82;16;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
6479.94;12;None/0,ParkPod/1,RepositionPod/0,Insert/10,Extract/17,Rest/4
6539.97;12;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/15,Rest/1
6599.92;13;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/18,Rest/1
6659.97;12;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/15,Rest/3
6719.99;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
6779.86;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/13,Rest/5
6839.85;10;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
6899.99;14;None/0,ParkPod/6,RepositionPod/0,Insert/11,Extract/13,Rest/2
6959.84;13;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/15,Rest/3
7019.75;10;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
7079.7;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
7139.91;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
7199.92;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/12,Rest/7
7259.97;10;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/14,Rest/4
7320;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
7379.98;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
7439.97;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
7499.71;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
7559.97;11;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/11,Rest/6
7619.96;8;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/18,Rest/1
7679.92;16;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
7739.98;10;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
7799.97;11;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
7859.74;11;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/11,Rest/7
7919.97;10;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
7979.93;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/18,Rest/1
8039.99;11;None/0,ParkPod/7,RepositionPod/0,Insert/11,Extract/13,Rest/1
8099.7;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
8159.99;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
8219.85;8;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/18,Rest/0
8279.91;16;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
8339.6;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/18,Rest/0
8399.8;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/12,Rest/6
8459.86;11;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/16,Rest/3
8519.87;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
8579.91;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
8639.89;13;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/12,Rest/5
8699.88;11;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/18,Rest/2
8759.66;14;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/14,Rest/2
8819.84;11;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
8879.99;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
8939.94;12;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/18,Rest/1
8999.96;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/17,Rest/1
9059.91;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
9119.92;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
9179.96;11;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/15,Rest/2
9239.97;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/17,Rest/1
9299.95;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
9359.88;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
9419.99;12;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/14,Rest/5
9479.72;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/14,Rest/5
9539.96;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
