#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;123.78;0.09;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.96;159.2;27.13;PP/25.42,TA/1.29,IS/0.01,PS/0.17,RB/0.01,OB/0.02,RP/0
119.89;159.11;29.71;PP/27.25,TA/1.93,IS/0.01,PS/0.81,RB/0.01,OB/0.03,RP/0
179.94;159.21;29.82;PP/27.29,TA/1.95,IS/0.01,PS/0.82,RB/0.01,OB/0.03,RP/0
239.84;159.34;30.16;PP/27.32,TA/2.21,IS/0.01,PS/0.82,RB/0.01,OB/0.04,RP/0
299.98;159.56;30.62;PP/27.58,TA/2.33,IS/0.01,PS/0.84,RB/0.01,OB/0.04,RP/0
359.97;159.6;31.66;PP/27.79,TA/3.09,IS/0.01,PS/0.86,RB/0.01,OB/0.05,RP/0
419.98;160.12;32.82;PP/28.21,TA/3.76,IS/0.01,PS/1.26,RB/0.01,OB/0.06,RP/0
479.72;160.18;33.6;PP/28.51,TA/4.16,IS/0.01,PS/1.42,RB/0.01,OB/0.06,RP/0
539.92;160.46;34.18;PP/28.65,TA/4.53,IS/0.01,PS/1.43,RB/0.01,OB/0.07,RP/0
599.78;160.37;34.86;PP/29.01,TA/4.78,IS/0.01,PS/1.45,RB/0.01,OB/0.08,RP/0
659.8;160.26;35.22;PP/29.1,TA/5,IS/0.01,PS/1.47,RB/0.01,OB/0.08,RP/0
719.96;160.42;35.75;PP/29.3,TA/5.26,IS/0.01,PS/1.52,RB/0.01,OB/0.09,RP/0
780;160.92;36.62;PP/29.7,TA/5.63,IS/0.01,PS/1.63,RB/0.01,OB/0.1,RP/0
839.95;160.71;37.29;PP/30.18,TA/5.76,IS/0.01,PS/1.67,RB/0.01,OB/0.1,RP/0
899.83;161.14;37.94;PP/30.41,TA/6.11,IS/0.01,PS/1.68,RB/0.01,OB/0.11,RP/0
959.97;161.13;38.38;PP/30.57,TA/6.32,IS/0.01,PS/1.69,RB/0.01,OB/0.11,RP/0
1019.81;160.96;39.06;PP/31.1,TA/6.4,IS/0.01,PS/1.72,RB/0.01,OB/0.12,RP/0
1079.98;161;39.73;PP/31.35,TA/6.72,IS/0.01,PS/1.78,RB/0.01,OB/0.13,RP/0
1139.84;162.3;40.42;PP/31.76,TA/6.93,IS/0.01,PS/1.83,RB/0.01,OB/0.14,RP/0
1199.97;162.33;40.81;PP/31.89,TA/7.13,IS/0.01,PS/1.84,RB/0.01,OB/0.14,RP/0
1259.74;162.51;41.47;PP/32.18,TA/7.43,IS/0.01,PS/1.85,RB/0.01,OB/0.15,RP/0
1319.94;162.73;42.02;PP/32.32,TA/7.77,IS/0.01,PS/1.88,RB/0.01,OB/0.16,RP/0
1379.98;162.55;42.64;PP/32.67,TA/7.95,IS/0.01,PS/1.97,RB/0.01,OB/0.16,RP/0
1439.59;162.97;43.16;PP/32.93,TA/8.14,IS/0.01,PS/2,RB/0.01,OB/0.17,RP/0
1499.92;163.04;43.36;PP/33.04,TA/8.18,IS/0.01,PS/2,RB/0.01,OB/0.18,RP/0
1559.96;163.09;43.99;PP/33.25,TA/8.53,IS/0.01,PS/2.02,RB/0.01,OB/0.18,RP/0
1619.97;162.82;44.48;PP/33.61,TA/8.59,IS/0.01,PS/2.05,RB/0.01,OB/0.19,RP/0
1679.77;162.93;44.99;PP/33.84,TA/8.8,IS/0.01,PS/2.09,RB/0.01,OB/0.19,RP/0
1740;163.1;45.91;PP/34.48,TA/9,IS/0.01,PS/2.11,RB/0.01,OB/0.2,RP/0
1799.98;163.1;46.19;PP/34.55,TA/9.15,IS/0.01,PS/2.12,RB/0.02,OB/0.21,RP/0
1859.82;163.21;46.47;PP/34.66,TA/9.25,IS/0.01,PS/2.14,RB/0.02,OB/0.21,RP/0
1919.97;163.62;47;PP/34.79,TA/9.58,IS/0.01,PS/2.17,RB/0.02,OB/0.22,RP/0
1979.95;163.82;47.55;PP/35.17,TA/9.69,IS/0.01,PS/2.21,RB/0.02,OB/0.23,RP/0
2039.99;163.88;48.04;PP/35.41,TA/9.87,IS/0.01,PS/2.24,RB/0.02,OB/0.23,RP/0
2100;163.93;48.6;PP/35.69,TA/10.07,IS/0.01,PS/2.25,RB/0.02,OB/0.24,RP/0
