#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.6;1000;0;0;0;0;0;0;0;0;0
599.79;0.6;1000;0;0;0;0;0;0;0;0;0
1199.98;0.6;1000;0;0;0;0;0;0;0;0;0
1799.99;0.6;1000;0;0;0;0;0;0;0;0;0
2399.94;0.6;1000;0;0;0;0;0;0;0;0;0
2999.78;0.6;1000;0;0;0;0;0;0;0;0;0
3599.96;0.6;1000;0;0;0;0;0;0;0;0;0
4199.96;0.6;1000;0;0;0;0;0;0;0;0;0
4799.75;0.6;1000;0;0;0;0;0;0;0;0;0
5399.85;0.6;1000;0;0;0;0;0;0;0;0;0
5999.96;0.6;1000;0;0;0;0;0;0;0;0;0
6599.79;0.6;1000;0;0;0;0;0;0;0;0;0
7199.92;0.6;1000;0;0;0;0;0;0;0;0;0
7799.9;0.6;1000;0;0;0;0;0;0;0;0;0
8399.93;0.6;1000;0;0;0;0;0;0;0;0;0
8999.64;0.6;1000;0;0;0;0;0;0;0;0;0
9599.83;0.6;1000;0;0;0;0;0;0;0;0;0
10199.97;0.6;1000;0;0;0;0;0;0;0;0;0
10799.96;0.6;1000;0;0;0;0;0;0;0;0;0
11399.98;0.6;1000;0;0;0;0;0;0;0;0;0
11999.76;0.6;1000;0;0;0;0;0;0;0;0;0
12599.99;0.6;1000;0;0;0;0;0;0;0;0;0
13199.77;0.6;1000;0;0;0;0;0;0;0;0;0
13800;0.6;1000;0;0;0;0;0;0;0;0;0
14399.96;0.6;1000;0;0;0;0;0;0;0;0;0
14999.99;0.6;1000;0;0;0;0;0;0;0;0;0
15599.77;0.6;1000;0;0;0;0;0;0;0;0;0
16199.99;0.6;1000;0;0;0;0;0;0;0;0;0
16799.92;0.6;1000;0;0;0;0;0;0;0;0;0
17399.98;0.6;1000;0;0;0;0;0;0;0;0;0
17999.99;0.6;1000;0;0;0;0;0;0;0;0;0
18599.9;0.6;1000;0;0;0;0;0;0;0;0;0
19199.95;0.6;1000;0;0;0;0;0;0;0;0;0
19799.98;0.6;1000;0;0;0;0;0;0;0;0;0
20399.99;0.6;1000;0;0;0;0;0;0;0;0;0
20999.79;0.6;1000;0;0;0;0;0;0;0;0;0
21599.91;0.6;1000;0;0;0;0;0;0;0;0;0
22199.9;0.6;1000;0;0;0;0;0;0;0;0;0
22799.96;0.6;1000;0;0;0;0;0;0;0;0;0
23399.77;0.6;1000;0;0;0;0;0;0;0;0;0
23999.84;0.6;1000;0;0;0;0;0;0;0;0;0
24599.77;0.6;1000;0;0;0;0;0;0;0;0;0
25199.94;0.6;1000;0;0;0;0;0;0;0;0;0
25799.98;0.6;1000;0;0;0;0;0;0;0;0;0
26399.99;0.6;1000;0;0;0;0;0;0;0;0;0
27000;0.6;1000;0;0;0;0;0;0;0;0;0
27599.97;0.6;1000;0;0;0;0;0;0;0;0;0
28199.95;0.6;1000;0;0;0;0;0;0;0;0;0
28800;0.6;1000;0;0;0;0;0;0;0;0;0
