#TimeStamp;TripTime;Type
27;12;O
29;16;O
37;13;O
44;27;O
44;22;O
50;25;O
51;19;O
55;38;I
57;40;O
59;15;I
59;34;O
60;40;O
63;31;O
68;31;O
74;53;O
75;42;O
80;44;I
81;53;O
85;47;I
90;38;O
92;55;O
92;65;O
93;43;I
95;44;I
98;59;O
99;22;I
100;42;I
104;57;O
104;50;I
122;69;I
138;93;O
151;22;O
160;84;I
164;32;O
285;21;O
310;25;O
315;33;O
316;35;O
327;32;O
329;33;O
355;14;O
361;37;O
383;34;O
386;29;O
393;18;O
402;33;O
425;25;O
427;14;I
436;18;O
438;23;O
439;18;O
446;30;O
459;22;O
462;22;O
479;37;I
488;42;I
505;35;O
517;21;O
522;34;O
527;51;I
530;31;O
542;27;O
547;22;O
566;35;O
593;31;O
600;21;O
607;27;O
609;26;O
620;42;O
645;37;O
648;34;O
678;27;O
680;22;O
691;25;O
703;27;O
714;23;O
722;29;O
730;34;O
739;40;O
762;29;O
779;41;O
782;40;I
789;32;I
796;53;O
798;32;O
803;46;O
812;42;O
813;31;I
813;42;I
853;34;O
862;21;O
863;22;O
865;18;O
869;38;O
889;32;O
894;18;O
906;19;O
914;33;O
917;24;O
924;19;O
932;19;O
966;27;O
968;51;O
1019;23;O
1033;36;O
1045;19;O
1055;26;O
1055;26;O
1060;25;I
1061;81;O
1064;26;O
1065;27;O
1076;60;O
1093;32;O
1103;35;I
1117;21;O
1117;16;O
1125;32;I
1137;31;O
1138;21;O
1143;42;I
1165;32;O
1168;38;O
1170;19;O
1177;20;O
1184;11;O
1188;19;O
1215;25;O
1241;58;O
1262;22;O
1276;35;O
1281;22;O
1305;45;O
1314;32;O
1318;47;O
1327;37;O
1356;26;O
1367;30;O
1376;26;I
1379;39;O
1391;27;I
1393;38;O
1400;23;O
1400;41;O
1413;25;O
1422;19;I
1427;34;O
1436;35;O
1443;46;O
1444;56;O
1459;35;O
1478;20;O
1478;61;I
1481;31;O
1526;41;O
1535;29;O
1537;42;O
1549;31;O
1560;25;O
1562;18;O
1566;35;O
1567;30;O
1570;30;O
1570;42;O
1588;25;O
1604;24;O
1607;13;O
1621;34;O
1634;23;O
1658;23;O
1683;35;I
1687;29;O
1713;36;O
1715;26;I
1715;24;O
1720;39;I
1743;26;O
1750;34;I
1750;19;O
1769;26;O
1776;36;O
1791;25;O
1796;21;O
1812;21;O
1825;18;O
1831;29;O
1836;31;O
1838;44;O
1850;25;O
1859;39;O
1859;36;O
1870;37;O
1874;11;O
1882;24;O
1918;20;O
1943;40;O
1957;40;O
1967;38;O
1971;34;O
1975;20;O
1995;40;O
1997;40;I
1999;32;O
2012;23;O
2013;36;O
2019;39;O
2023;39;O
2028;31;I
2030;33;O
2034;61;I
2048;17;O
2081;42;I
2088;27;O
2114;26;O
2120;29;O
2138;27;O
2143;35;O
2145;25;O
2159;37;O
2161;25;O
2182;34;O
2188;29;O
2188;23;O
2189;21;O
2199;20;O
2210;19;O
2219;21;O
2239;19;O
2259;68;O
2266;20;O
2276;50;O
2287;33;I
2295;38;O
2296;53;O
2318;35;O
2319;63;O
2324;6;I
2332;42;O
2337;51;O
2337;64;I
2349;47;I
2354;27;O
2355;32;O
2364;26;O
2374;46;O
2399;33;O
2414;29;O
2417;47;O
2425;33;O
2447;24;O
2456;33;O
2458;37;O
2463;34;O
2464;26;O
2469;20;O
2506;29;O
2519;7;O
2522;19;O
2526;34;O
2533;30;O
2535;28;O
2546;25;O
2567;46;O
2582;36;I
2587;31;O
2588;38;I
2597;14;O
2602;30;O
2605;56;O
2630;56;O
2631;43;O
2635;46;I
2636;82;O
2637;13;O
2654;28;O
2669;41;O
2671;23;O
2673;44;I
2686;43;O
2689;27;O
2695;27;O
2704;20;O
2718;6;O
2720;19;O
2721;50;O
2739;23;O
2754;31;O
2760;36;O
2768;21;O
2771;42;O
2775;23;O
2793;19;O
2795;39;O
2809;32;O
2813;32;O
2854;20;O
2856;28;O
2858;25;O
2865;32;O
2866;35;O
2870;41;I
2874;48;O
2881;46;O
2885;43;O
2892;20;O
2895;47;O
2911;22;O
2918;43;I
2924;27;O
2935;20;O
2954;65;I
2957;18;O
2964;28;O
2964;41;I
2978;41;O
2979;29;O
2999;7;O
3009;30;O
3019;47;O
3022;41;O
3044;25;O
3050;31;O
3053;30;O
3067;29;O
3067;29;O
3075;17;O
3075;32;O
3114;21;O
3120;32;O
3127;51;O
3127;37;O
3133;39;O
3147;32;O
3153;19;O
3156;24;O
3165;31;O
3181;27;O
3184;23;O
3195;43;O
3197;23;O
3202;70;I
3225;53;I
3228;36;O
3234;13;O
3244;29;O
3252;47;I
3257;71;I
3265;28;O
3285;26;O
3287;36;O
3304;23;O
3305;18;O
3307;21;O
3320;23;O
3335;37;O
3335;34;O
3347;39;O
3347;70;O
3348;27;O
3354;21;O
3354;22;O
3355;40;O
3377;43;O
3380;59;O
3397;24;O
3408;27;O
3425;38;I
3435;32;O
3438;25;O
3452;47;O
3459;34;O
3466;54;O
3470;70;O
3490;18;O
3505;18;O
3510;22;I
3511;38;O
3517;32;O
3523;46;O
3539;30;O
3545;39;O
3558;77;I
3558;73;I
3560;14;O
3579;18;O
3588;34;O
3606;56;O
3614;38;O
3619;26;O
3625;58;O
3637;60;O
3644;27;O
3664;43;O
3671;28;O
3689;38;O
3703;23;O
