#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;4;4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/11,1/11,2/11,3/11;0/0,1/0,2/0,3/0;0/11,1/11,2/11,3/11;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0
59.96;0;2;4;4;0/59.96,1/59.96,2/59.96,3/59.96;0/41.26,1/35.69,2/51.42,3/44.06;0/59.96,1/59.96,2/59.96,3/59.96;0/59.96,1/59.96,2/59.96,3/59.96;0/893,1/923,2/902,3/897;0/0,1/1,2/1,3/0;0/987,1/985,2/993,3/994;0/11,1/11,2/11,3/11;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/1,1/0,2/0,3/1;0/0,1/0,2/0,3/0;0/2,1/3,2/1,3/2
119.96;0;6;4;4;0/91.79,1/65.95,2/98.49,3/64.34;0/42.7,1/36.88,2/53.49,3/48.69;0/119.96,1/119.96,2/119.96,3/119.96;0/119.96,1/119.96,2/119.96,3/119.96;0/893,1/923,2/902,3/897;0/0,1/0,2/0,3/0;0/984,1/979,2/990,3/988;0/11,1/11,2/11,3/11;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/2,1/1,2/1,3/2;0/3,1/6,2/3,3/6;0/8,1/9,2/7,3/8
179.77;0;9;4;4;0/92.38,1/67.31,2/99.26,3/65.38;0/43.26,1/38.79,2/55.42,3/49.62;0/179.77,1/179.77,2/179.77,3/179.77;0/179.77,1/179.77,2/179.77,3/179.77;0/893,1/946,2/902,3/897;0/0,1/0,2/0,3/0;0/978,1/996,2/984,3/982;0/11,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/3,1/2,2/2,3/2;0/9,1/12,2/9,3/12;0/14,1/15,2/13,3/14
239.91;0;13;4;4;0/93.16,1/68.58,2/100.65,3/66.74;0/46.51,1/40.79,2/56.78,3/51.49;0/239.91,1/239.91,2/239.91,3/239.91;0/239.91,1/239.91,2/239.91,3/239.91;0/916,1/946,2/902,3/920;0/0,1/1,2/0,3/1;0/995,1/990,2/978,3/999;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/3,1/3,2/3,3/4;0/15,1/18,2/15,3/18;0/20,1/21,2/19,3/20
299.91;0;18;4;4;0/93.74,1/69.51,2/102.05,3/67.3;0/47.36,1/42.05,2/57.7,3/52.84;0/299.91,1/299.91,2/299.91,3/299.91;0/299.91,1/299.91,2/299.91,3/299.91;0/916,1/946,2/925,3/920;0/0,1/0,2/0,3/2;0/989,1/984,2/995,3/993;0/10,1/10,2/10,3/11;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/5,1/5,2/4,3/4;0/21,1/24,2/21,3/24;0/26,1/27,2/25,3/25
359.97;0;23;4;4;0/94.31,1/70.46,2/103.07,3/68.1;0/48.55,1/43.12,2/59.72,3/54.02;0/359.97,1/359.97,2/359.97,3/359.97;0/359.97,1/359.97,2/359.97,3/359.97;0/916,1/946,2/925,3/920;0/0,1/1,2/0,3/3;0/983,1/978,2/989,3/987;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/5,1/6,2/5,3/7;0/27,1/30,2/27,3/30;0/32,1/32,2/31,3/31
419.81;3;27;4;4;0/95.24,1/77.12,2/110.17,3/75.05;0/49.91,1/44.52,2/62.24,3/56.23;0/419.81,1/419.81,2/419.81,3/419.81;0/419.81,1/419.81,2/419.81,3/419.81;0/916,1/939,2/896,3/889;0/0,1/3,2/0,3/0;0/977,1/996,2/984,3/982;0/10,1/11,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/1,2/1,3/1;0/7,1/6,2/5,3/9;0/33,1/35,2/32,3/35;0/38,1/38,2/37,3/37
479.96;4;36;4;4;0/102.88,1/78.31,2/111.54,3/76.05;0/51.62,1/58.92,2/64.5,3/57.5;0/479.96,1/479.96,2/479.96,3/479.96;0/479.96,1/479.96,2/479.96,3/479.96;0/912,1/939,2/896,3/889;0/0,1/3,2/0,3/0;0/997,1/990,2/978,3/976;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/1,2/1,3/1;0/9,1/9,2/8,3/10;0/39,1/41,2/38,3/41;0/44,1/43,2/43,3/43
539.91;4;42;4;4;0/103.57,1/78.78,2/112.47,3/76.89;0/55.24,1/60.64,2/66.43,3/58.85;0/539.91,1/539.91,2/539.91,3/539.91;0/539.91,1/539.91,2/539.91,3/539.91;0/912,1/939,2/922,3/916;0/0,1/0,2/1,3/1;0/992,1/984,2/998,3/997;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/1,2/1,3/1;0/11,1/10,2/10,3/11;0/44,1/47,2/44,3/47;0/49,1/49,2/49,3/49
599.98;4;47;4;4;0/104.3,1/79.27,2/112.82,3/78.03;0/56.47,1/61.9,2/68.23,3/59.91;0/599.98,1/599.98,2/599.98,3/599.98;0/599.98,1/599.98,2/599.98,3/599.98;0/912,1/939,2/922,3/916;0/0,1/0,2/1,3/0;0/986,1/978,2/992,3/991;0/10,1/11,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/1,2/1,3/1;0/12,1/12,2/11,3/12;0/50,1/53,2/50,3/53;0/55,1/55,2/54,3/55
