#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;123.82;0.07;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.96;183.49;24.78;PP/22.71,TA/1.66,IS/0.01,PS/0.47,RB/0.01,OB/0.02,RP/0
119.65;183.07;26.66;PP/24.14,TA/2.03,IS/0.01,PS/0.84,RB/0.01,OB/0.02,RP/0
179.9;183.03;26.76;PP/24.18,TA/2.04,IS/0.01,PS/0.84,RB/0.01,OB/0.03,RP/0
239.92;183.17;26.99;PP/24.21,TA/2.18,IS/0.01,PS/0.85,RB/0.01,OB/0.03,RP/0
299.98;183.14;27.95;PP/24.49,TA/2.81,IS/0.01,PS/0.87,RB/0.01,OB/0.04,RP/0
359.8;184.34;28.64;PP/24.72,TA/3.2,IS/0.01,PS/0.89,RB/0.01,OB/0.05,RP/0
419.93;184.41;29.36;PP/24.83,TA/3.73,IS/0.01,PS/1.23,RB/0.01,OB/0.05,RP/0
479.9;184.59;30.35;PP/25.31,TA/4.16,IS/0.01,PS/1.39,RB/0.01,OB/0.06,RP/0
539.96;184.61;31.39;PP/25.78,TA/4.64,IS/0.01,PS/1.41,RB/0.01,OB/0.07,RP/0
599.83;184.62;31.69;PP/25.87,TA/4.8,IS/0.01,PS/1.44,RB/0.01,OB/0.08,RP/0
659.96;184.62;32.23;PP/26.05,TA/5.08,IS/0.01,PS/1.45,RB/0.01,OB/0.08,RP/0
719.98;184.57;32.79;PP/26.21,TA/5.42,IS/0.01,PS/1.52,RB/0.01,OB/0.09,RP/0
779.98;183.93;33.62;PP/26.53,TA/5.84,IS/0.01,PS/1.63,RB/0.01,OB/0.1,RP/0
839.84;184.43;34.37;PP/26.78,TA/6.27,IS/0.01,PS/1.65,RB/0.01,OB/0.1,RP/0
899.84;184.67;34.91;PP/27.03,TA/6.48,IS/0.01,PS/1.66,RB/0.01,OB/0.11,RP/0
959.71;183.58;35.46;PP/27.5,TA/6.51,IS/0.01,PS/1.68,RB/0.01,OB/0.12,RP/0
1019.82;183.46;35.83;PP/27.67,TA/6.64,IS/0.01,PS/1.7,RB/0.01,OB/0.12,RP/0
1079.89;183.5;36.52;PP/28.03,TA/6.89,IS/0.01,PS/1.75,RB/0.01,OB/0.13,RP/0
1139.87;183.74;37.15;PP/28.34,TA/7.14,IS/0.01,PS/1.78,RB/0.01,OB/0.14,RP/0
1200;183.8;37.76;PP/28.55,TA/7.48,IS/0.01,PS/1.8,RB/0.01,OB/0.14,RP/0
1259.82;184.09;38.47;PP/28.87,TA/7.79,IS/0.01,PS/1.81,RB/0.01,OB/0.15,RP/0
1319.96;184.16;38.89;PP/29.06,TA/7.95,IS/0.01,PS/1.83,RB/0.01,OB/0.16,RP/0
1379.81;184.2;39.63;PP/29.48,TA/8.2,IS/0.01,PS/1.88,RB/0.01,OB/0.16,RP/0
1439.96;184.49;40.75;PP/30.26,TA/8.44,IS/0.01,PS/1.9,RB/0.01,OB/0.17,RP/0
1499.87;184.49;41.38;PP/30.63,TA/8.62,IS/0.01,PS/1.92,RB/0.01,OB/0.18,RP/0
1559.83;184.61;41.86;PP/30.88,TA/8.79,IS/0.01,PS/1.93,RB/0.01,OB/0.18,RP/0
1619.87;184.61;42.12;PP/30.97,TA/8.9,IS/0.01,PS/1.98,RB/0.01,OB/0.19,RP/0
1679.91;183.91;43.16;PP/31.53,TA/9.25,IS/0.01,PS/2.08,RB/0.01,OB/0.2,RP/0
